mr,ref
request(specifier[absorbing]),What is the game you think has the most absorbing gameplay?
request(specifier[absorbing]),What game have you found particularly absorbing lately?
request(specifier[absorbing]),Do you remember any games that you felt were absorbing?
request(specifier[addictive]),Are there any games you find really addictive?
request(specifier[addictive]),What game did you find most addictive last year?
request(specifier[addictive]),Have you played a game recently that you found really addictive?
request(specifier[annoying]),Have you played a game lately that you found annoying?
request(specifier[annoying]),What's an annoying game that you've played recently?
request(specifier[annoying]),Have you ever played a game that you just found annoying?
request(specifier[beautiful]),Have you played any video games lately that you thought were beautiful?
request(specifier[beautiful]),"Have you played any beautiful games recently, which you enjoy just looking at?"
request(specifier[beautiful]),Is there a game you enjoyed playing just because it was so beautiful?
request(specifier[bizarre]),What's a game you know of that you would describe as totally bizarre?
request(specifier[bizarre]),What do you think is a really bizarre game?
request(specifier[bizarre]),Have you ever encountered a video game that struck you as plain bizarre?
request(specifier[boring]),What's a game you found really boring and would thus never recommend?
request(specifier[boring]),Did you find any releases this year to be overly boring?
request(specifier[boring]),What game did you find to be really boring?
request(specifier[calming]),Can you think of any calming video games?
request(specifier[calming]),Have you ever played a video game that was nice and calming?
request(specifier[calming]),What was the most calming game you got to play?
request(specifier[challenging]),What's the last game you played that you found particularly challenging?
request(specifier[challenging]),Do you have a tip for a really challenging game?
request(specifier[challenging]),"I'm looking for a challenging game to play, have you played any lately?"
request(specifier[cheap]),What's a really cheap game you think I might like?
request(specifier[cheap]),What good cheap games have just come out?
request(specifier[cheap]),Have you played any cheap games that you enjoyed?
request(specifier[cheerful]),Is there a nice cheerful game you can remember playing?
request(specifier[cheerful]),"I've been feeling depressed lately, is their a cheerful video game you can think of that I could play?"
request(specifier[cheerful]),What's a cheerful game you've played lately?
request(specifier[disappointing]),What was the most disappointing release this year so far in your opinion?
request(specifier[disappointing]),Was there a game you found simply disappointing?
request(specifier[disappointing]),Has there been a game that was really disappointing to you?
request(specifier[dramatic]),What's a game you played lately that you felt was really dramatic?
request(specifier[dramatic]),Is there a good dramatic game you would recommend?
request(specifier[dramatic]),What's a really dramatic game that you've played?
request(specifier[dynamic]),What game can you think of that has a very dynamic plot?
request(specifier[dynamic]),Was there ever a game you played that you felt was really dynamic?
request(specifier[dynamic]),Do you have experience with some nicely dynamic games I might like?
request(specifier[empowering]),Did you find any of this year's releases particularly empowering to play through?
request(specifier[empowering]),Do you know of a video game that feels empowering to play?
request(specifier[empowering]),Have you played any games that were empowering for you?
request(specifier[exceptional]),Have you played anything lately that you felt was an exceptional video game?
request(specifier[exceptional]),Is there any game you played lately that you felt was exceptional?
request(specifier[exceptional]),What was the most exceptional game you played in the last couple of months?
request(specifier[fascinating]),What do you think is the most fascinating game you've played?
request(specifier[fascinating]),Is there any game you've played lately that you felt was fascinating?
request(specifier[fascinating]),Are there any fascinating games you'd recommend?
request(specifier[first]),What's the first game you ever played?
request(specifier[first]),What was the first game you played this year?
request(specifier[first]),What's the first video game you ever played?
request(specifier[frustrating]),What's the most frustrating game you ever played?
request(specifier[frustrating]),What's the most frustrating game you played recently?
request(specifier[frustrating]),What's a game that you found frustrating?
request(specifier[funniest]),What's the funniest game you've played?
request(specifier[funniest]),What do you think is the funniest game of all time?
request(specifier[funniest]),"I'm looking for something to make me laugh, what do you think is the funniest game you've ever played?"
request(specifier[interesting]),What's the most interesting game you've played this year?
request(specifier[interesting]),Know of any interesting game that came out recently?
request(specifier[interesting]),Have you played any interesting games lately?
request(specifier[last]),What's the last video game you finished?
request(specifier[last]),What is the last game you played?
request(specifier[last]),What's the last video game you played?
request(specifier[limiting]),What game have you played with a limiting storyline?
request(specifier[limiting]),Are there any games you've found pretty limiting?
request(specifier[limiting]),"Do you have an experience with a game, where you found the gameplay very limiting?"
request(specifier[mindless]),What's a nice mindless game you can think of that I could play to just unwind?
request(specifier[mindless]),Have you ever played a video game that just felt mindless?
request(specifier[mindless]),"I've been wanting to play something mindless, have you played any games like that lately?"
request(specifier[moving]),What's the most moving game that's stuck in your memory?
request(specifier[moving]),Have you played any games you found particularly moving?
request(specifier[moving]),What do you think is the most moving video game you've played?
request(specifier[newest]),What's the newest game that you like?
request(specifier[newest]),What's the newest game you plan on purchasing soon?
request(specifier[newest]),What's the newest game that you've played lately?
request(specifier[nostalgic]),What game would be a nostalgic one for you?
request(specifier[nostalgic]),Is there a game that makes you feel nostalgic?
request(specifier[nostalgic]),What would you say is the most nostalgic game you know of?
request(specifier[oldest]),What is the oldest game that you fancy?
request(specifier[oldest]),What's the oldest game you like?
request(specifier[oldest]),What's the oldest video game you ever played?
request(specifier[over-complicated]),Have you played any over-complicated games recently?
request(specifier[over-complicated]),Have you ever encountered a game that just felt over-complicated?
request(specifier[over-complicated]),Have you ever played a game that you just felt was way over-complicated?
request(specifier[overrated]),What would you say was a really overrated game you played recently?
request(specifier[overrated]),What game do you think is just totally overrated?
request(specifier[overrated]),What is the most overrated game in your mind?
request(specifier[poorly balanced]),What do you think is the most poorly balanced game you've ever played?
request(specifier[poorly balanced]),What do you think is the most poorly balanced game you've played?
request(specifier[poorly balanced]),Have you had a bad experience with any poorly balanced games recently?
request(specifier[quick-to-learn]),Can you suggest a quick-to-learn game?
request(specifier[quick-to-learn]),Is there a game you played lately that was quick-to-learn?
request(specifier[quick-to-learn]),Do you know of any quick-to-learn games?
request(specifier[realistic]),What recent game have you seen with the most realistic graphics?
request(specifier[realistic]),Is there a game you can think of that you'd say is very realistic?
request(specifier[realistic]),What's a good realistic game?
request(specifier[revolting]),Have you ever played a game that you felt was just revolting?
request(specifier[revolting]),What's a game that you couldn't help but find revolting?
request(specifier[revolting]),Have you ever played a game that you just found revolting?
request(specifier[rewarding]),Did you feel that any recent release was extremely rewarding to complete?
request(specifier[rewarding]),Is their a video game you know of that felt very rewarding to play?
request(specifier[rewarding]),What would you say was a nice rewarding game you've played?
request(specifier[ridiculous]),What's the game with the most ridiculous storyline you've ever played?
request(specifier[ridiculous]),Do you know any games that were just ridiculous?
request(specifier[ridiculous]),Is there a game you know of that you just thought was ridiculous?
request(specifier[sad]),Is there a game you played lately that you thought was pretty sad?
request(specifier[sad]),What's a really sad game you've played?
request(specifier[sad]),Have you played any sad video games recently?
request(specifier[scary]),Have you ever played a game that you found scary?
request(specifier[scary]),Have you ever played some really scary games?
request(specifier[scary]),What's a good scary game?
request(specifier[shocking]),Have you ever encountered a video game that you found shocking?
request(specifier[shocking]),Did any games that you've played recently have particularly shocking endings?
request(specifier[shocking]),"I'm wondering, have you played any games you found genuinely shocking?"
request(specifier[short]),Have you played any good short video games lately?
request(specifier[short]),What's a nice short game I could play tonight?
request(specifier[short]),Have you played any short games lately?
request(specifier[surprising]),Did you find any games really surprising when you first tried them?
request(specifier[surprising]),What's a game whose quality you found surprising?
request(specifier[surprising]),What game turned out to be really surprising when you played it?
request(specifier[tearjerking]),"I'm wondering, what would you say is the most tearjerking video game you know of?"
request(specifier[tearjerking]),Do you remember any video games that were somewhat tearjerking?
request(specifier[tearjerking]),Have you ever played a game that was actually tearjerking?
request(specifier[thrilling]),Have you played any thrilling video games lately?
request(specifier[thrilling]),Are there any games you find really thrilling?
request(specifier[thrilling]),Is there a game you played lately that you found thrilling?
request(specifier[underrated]),"In your opinion, what was the most underrated game released last year?"
request(specifier[underrated]),What would you say is an underrated game that you really enjoyed though?
request(specifier[underrated]),What game you've played do you think is really underrated?
request(specifier[unfair]),What's a game you found rather unfair recently?
request(specifier[unfair]),Have you ever played a video game that just felt plain unfair?
request(specifier[unfair]),What's the first game that comes to your mind about which you felt it was just unfair?
request(specifier[uninteresting]),What do you think is the most uninteresting video game you ever encountered?
request(specifier[uninteresting]),Have you played any uninteresting games lately that I should avoid?
request(specifier[uninteresting]),What's a recent game that you just felt was uninteresting?
request(specifier[unusual]),Are there any unusual games you would recommend?
request(specifier[unusual]),"I've been thinking about unusual games today, have you played one lately?"
request(specifier[unusual]),Have you played a video game lately that you found to be rather unusual?
request(specifier[upcoming]),Are there any upcoming games you're interested in?
request(specifier[upcoming]),Is there any upcoming game you're looking forward to?
request(specifier[upcoming]),What upcoming video game are you looking forward to the most?
request(specifier[visually impressive]),What's a visually impressive game that you played lately?
request(specifier[visually impressive]),Have you encountered any visually impressive video games lately?
request(specifier[visually impressive]),Can you suggest a really visually impressive game?
request(specifier[weirdest]),What would you say was the weirdest game you've played?
request(specifier[weirdest]),What do you think is the weirdest game you've ever played?
request(specifier[weirdest]),What's the weirdest game you have ever heard of?
request(specifier[worst looking]),What is the worst looking video game you ever encountered?
request(specifier[worst looking]),What do you think is the worst looking video game that you know of?
request(specifier[worst looking]),What's the worst looking game you've played recently?
