mr,ref,errors,incorrect slots
request_attribute(release_year[]),Which year do you think had the best games?,0,
request_attribute(release_year[]),What is your favorite year that games came out?,0,
request_attribute(release_year[]),"In your opinion, the best games were released in what year?",0,
request_attribute(release_year[]),Which year do you think was the best for games?,0,
request_attribute(release_year[]),In which year do you think a lot of good games were released?,0,
request_attribute(release_year[]),Do you have a favorite release year for video games?,0,
request_attribute(release_year[]),Is there a particular year from which you enjoy games the most?,0,
request_attribute(release_year[]),What would you say was a memorable year for video games?,0,
request_attribute(release_year[]),"Can you think of a year, in which video games were particularly good?",0,
request_attribute(release_year[]),What do you think was the best year for games?,0,
request_attribute(release_year[]),Do you remember a year in which a lot of good games were released?,0,
request_attribute(release_year[]),What was the best year for games that you can remember?,0,
request_attribute(release_year[]),"Which year would you say was the most memorable, as far as video games are concerned?",0,
request_attribute(release_year[]),What would you say was the best release year for video games in general?,0,
request_attribute(release_year[]),"Which year was particularly good for video games, in your opinion?",0,
request_attribute(developer[]),Who are your favorite video game developers?,0,
request_attribute(developer[]),Who's your favorite video game developer?,0,
request_attribute(developer[]),Who are some of your favorite video game developers?,0,
request_attribute(developer[]),Which video game developer is your favorite?,0,
request_attribute(developer[]),Is there a specific video game developer you prefer?,0,
request_attribute(developer[]),Who is your favorite game developer?,0,
request_attribute(developer[]),Are there any game developers you particularly like?,0,
request_attribute(developer[]),Do you have a preference for certain game developers?,0,
request_attribute(developer[]),Do you like to play games from a specific developer?,0,
request_attribute(developer[]),Is there a developer whose games you always at least try?,0,
request_attribute(developer[]),Is there a particular developer that you prefer?,0,
request_attribute(developer[]),Which developer is your favorite?,0,
request_attribute(developer[]),Would you say you prefer a certain developer?,0,
request_attribute(developer[]),Which game developer do you think is the best?,0,
request_attribute(developer[]),"What developer is top notch, in your mind?",0,
request_attribute(esrb[]),Which is your preferred ESRB rating for the games you play?,0,
request_attribute(esrb[]),Do you prefer to play games with a particular ESRB rating?,0,
request_attribute(esrb[]),Is there an ESRB rating which you prefer games to have for you to play them?,0,
request_attribute(esrb[]),Do you require that your games have a specific ESRB rating?,0,
request_attribute(esrb[]),Which ESRB content label do you typically want your games to have?,0,
request_attribute(esrb[]),What ESRB content rating do you prefer?,0,
request_attribute(esrb[]),"If the content rating is important to you, which ESRB label do you mostly like your games to have?",0,
request_attribute(esrb[]),Is there a particular ESRB content rating a game must have for you to even consider it?,0,
request_attribute(esrb[]),Games with which ESRB rating do you typically play?,0,
request_attribute(esrb[]),What is your favorite ESRB content rating?,0,
request_attribute(esrb[]),"If the ESRB rating of a game matters to you, which one do you normally go with?",0,
request_attribute(esrb[]),Do you generally look at the ESRB content rating of a game before playing it?,0,
request_attribute(esrb[]),Do you have a favorite ESRB content rating?,0,
request_attribute(esrb[]),Are there any ESRB content ratings which you give preference to when picking a game to play?,0,
request_attribute(esrb[]),"Are you at all bothered by the ESRB rating of a game before playing it? If so, which one do msot often go for?",0,
request_attribute(genres[]),What is your favorite genre of video game?,0,
request_attribute(genres[]),Are there any genres you could play pretty much any time?,0,
request_attribute(genres[]),Which is the genre of video games that you are most interested in?,0,
request_attribute(genres[]),Are there certain genres you just love to play?,0,
request_attribute(genres[]),"I'm curious, what is the game genre you like the best?",0,
request_attribute(genres[]),What would you say is your favorite genre of video game?,0,
request_attribute(genres[]),What video game genre is the best in your opinion?,0,
request_attribute(genres[]),What genre is your favorite to play?,0,
request_attribute(genres[]),Which genre do you believe is your favorite?,0,
request_attribute(genres[]),What genre of game is your preference?,0,
request_attribute(genres[]),What are the genres of your favorite video games?,0,
request_attribute(genres[]),What kind of genres do you like the most?,0,
request_attribute(genres[]),What's your favorite video game genre?,0,
request_attribute(genres[]),"Since you like video games, what's your favorite genre?",0,
request_attribute(genres[]),"When you play video games, what genres are overall your favorite?",0,
request_attribute(player_perspective[]),What is your preferred player perspective in video games?,0,
request_attribute(player_perspective[]),What is the player perspective you enjoy the most in games?,0,
request_attribute(player_perspective[]),Is there a certain player perspective that you prefer over others in games you play?,0,
request_attribute(player_perspective[]),What is your favorite player perspective in games?,0,
request_attribute(player_perspective[]),Is there a player perspective that you tend to enjoy the most in games?,0,
request_attribute(player_perspective[]),What player perspective do you prefer?,0,
request_attribute(player_perspective[]),Which player perspective do you prefer to game on?,0,
request_attribute(player_perspective[]),What is your favorite gaming perspective?,0,
request_attribute(player_perspective[]),What player perspective type do you like most?,0,
request_attribute(player_perspective[]),Which perspective is the one that you prefer the most?,0,
request_attribute(player_perspective[]),Do you enjoy games from a certain player perspective more than others?,0,
request_attribute(player_perspective[]),Is the player perspective important when you decide whether to get a game?,0,
request_attribute(player_perspective[]),Do you have a player perspective preference in video games?,0,
request_attribute(player_perspective[]),Do you prefer any specific player perspective over the others when you play games?,0,
request_attribute(player_perspective[]),Would you say there is a player perspective in games that you in general like the most?,0,
request_attribute(has_multiplayer[]),Do you like multiplayer gaming?,0,
request_attribute(has_multiplayer[]),"Do you prefer to game with others, I mean, multiplayer?",0,
request_attribute(has_multiplayer[]),"Do you enjoy playing games in multiplayer, with other people?",0,
request_attribute(has_multiplayer[]),Are you more of a multiplayer type of gamer?,0,
request_attribute(has_multiplayer[]),Do you prefer playing games with friends in multiplayer?,0,
request_attribute(has_multiplayer[]),Do you enjoy multiplayer games better than those that don't have the option?,0,
request_attribute(has_multiplayer[]),Do you like games that you can play in multiplayer?,0,
request_attribute(has_multiplayer[]),Do you like to play games that have a multiplayer option?,0,
request_attribute(has_multiplayer[]),Do you play multiplayer games?,0,
request_attribute(has_multiplayer[]),Would you say you prefer playing games with a multiplayer mode?,0,
request_attribute(has_multiplayer[]),Would you say multiplayer is an important feature when you're deciding about trying a game?,0,
request_attribute(has_multiplayer[]),Would you tend to enjoy the multiplayer experience in recent games?,0,
request_attribute(has_multiplayer[]),Do you find multiplayer games enjoyable?,0,
request_attribute(has_multiplayer[]),Are you into multiplayer gaming at all?,0,
request_attribute(has_multiplayer[]),Do you often check out the multiplayer mode of games you play whenever they have it?,0,
request_attribute(platforms[]),What's your preferred gaming platform?,0,
request_attribute(platforms[]),Which platform is your choice for gaming?,0,
request_attribute(platforms[]),Which platform do you prefer to use to game?,0,
request_attribute(platforms[]),"What's your favorite platform, huh?",0,
request_attribute(platforms[]),"So tell me, what platform do you game on?",0,
