mr,ref
"request_explanation(developer[Attention To Detail], rating[average])",Why do you find Attention To Detail to be so average?
"request_explanation(developer[Attention To Detail], rating[average])",You've said you find games developed by Attention To Detail to be okay but not great. What is it about them that makes you say that?
"request_explanation(developer[Attention To Detail], rating[average])","Can you explain to me, why is it that the games made by Attention To Detail are ones you always find to be average in quality?"
"request_explanation(developer[Bloober Team], rating[poor])",Just what is it about the games made by Bloober Team that you find so unpleasant?
"request_explanation(developer[Bloober Team], rating[poor])",Why do you think Bloober Team makes such poor games?
"request_explanation(developer[Bloober Team], rating[poor])",What is it about Bloober Team games that makes you find them boring and frustrating?
"request_explanation(developer[Capcom Production Studio 4], rating[excellent])",Does Capcom Production Studio 4 have some secret recipe for games that makes them so attractive to you?
"request_explanation(developer[Capcom Production Studio 4], rating[excellent])",So why do you love the games made by Capcom Production Studio 4 so much?
"request_explanation(developer[Capcom Production Studio 4], rating[excellent])",Why is Capcom Production Studio 4 the developer whose games you love more than anyone's?
"request_explanation(developer[Days of Wonder], rating[poor])",So just what is it about the games made by Days of Wonder that you find so terrible?
"request_explanation(developer[Days of Wonder], rating[poor])",What is it about games made by Days of Wonder that makes you unable to stand them?
"request_explanation(developer[Days of Wonder], rating[poor])",What is it about the developer Days of Wonder's games you dislike so much?
"request_explanation(developer[SIE Santa Monica Studio], rating[excellent])",Can you explain to me what it is about the games developed by SIE Santa Monica Studio that makes you love them so much?
"request_explanation(developer[SIE Santa Monica Studio], rating[excellent])","Hey, what it is about games developed by SIE Santa Monica Studio that makes you love them so much?"
"request_explanation(developer[SIE Santa Monica Studio], rating[excellent])",Why do you think SIE Santa Monica Studio is so much better than others?
"request_explanation(developer[Tarsier Studios], rating[good])","I'm wondering, why do you enjoy the games made by Tarsier Studios?"
"request_explanation(developer[Tarsier Studios], rating[good])",What do you enjoy about Tarsier Studios' games?
"request_explanation(developer[Tarsier Studios], rating[good])",So what makes games by Tarsier Studios stand out from the other developers?
"request_explanation(developer[Telltale Games], rating[good])",Can you please explain to me a bit more about why you enjoy games developed by Telltale Games?
