HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Input.specifier,Answer.specifier1,Answer.specifier2,Answer.specifier3,Answer.specifier4,Answer.specifier5,Answer.utterance1,Answer.utterance2,Answer.utterance3,Answer.utterance4,Answer.utterance5,Approve,Reject
386659BNTL2LE27JHJAVKSHV5ZY010,30HLKW73X3QQBJSAPO1L5LPWLTBCBR,Write 5 simple questions about a video game (type: request; attributes: 1),Produce casual conversational questions prompting for the name of a video game based on a specifier you define,"dialog, video game, questions, writing, entertainment, chat, conversation, creative",$0.30 ,Wed Apr 17 21:29:40 PDT 2019,1,BatchId:3611839;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 21:29:40 PDT 2019,,,39ZSFO5CA9IBBPXXVHZN1JXEZPVUJ6,A1MW021IG07IMF,Submitted,Wed Apr 17 22:09:23 PDT 2019,Wed Apr 17 22:16:04 PDT 2019,Thu May 02 22:16:04 PDT 2019,,,,401,100% (71/71),100% (71/71),100% (71/71),,,,,,,,,,,,,,Specifier: <b></b>,upcoming,funniest,bizarre,realistic,dramatic,What upcoming video game are you looking forward to the most?,"I'm looking for something to make me laugh, what do you think is the funniest game you've ever played?",Have you ever encountered a video game that struck you as plain bizarre?,What recent game have you seen with the most realistic graphics?,What's a really dramatic game that you've played?,,
39XCQ6V3KYPFGVUHKVSOWJ43UIP56O,30HLKW73X3QQBJSAPO1L5LPWLTBCBR,Write 5 simple questions about a video game (type: request; attributes: 1),Produce casual conversational questions prompting for the name of a video game based on a specifier you define,"dialog, video game, questions, writing, entertainment, chat, conversation, creative",$0.30 ,Wed Apr 17 21:29:40 PDT 2019,1,BatchId:3611839;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 21:29:40 PDT 2019,,,3A1COHJ8NKHHMMVU4EVXTEZAP6Y8HY,A1MW021IG07IMF,Submitted,Wed Apr 17 21:46:52 PDT 2019,Wed Apr 17 21:49:07 PDT 2019,Thu May 02 21:49:07 PDT 2019,,,,135,100% (71/71),100% (71/71),100% (71/71),,,,,,,,,,,,,,Specifier: <b></b>,frustrating,annoying,over-complicated,limiting,first,What's the most frustrating game you ever played?,Have you played a game lately that you found annoying?,Have you ever encountered a game that just felt over-complicated?,What game have you played with a limiting storyline?,What's the first video game you ever played?,,
3B0MCRZMBRFRJBU5J60B0P01GNFPPZ,30HLKW73X3QQBJSAPO1L5LPWLTBCBR,Write 5 simple questions about a video game (type: request; attributes: 1),Produce casual conversational questions prompting for the name of a video game based on a specifier you define,"dialog, video game, questions, writing, entertainment, chat, conversation, creative",$0.30 ,Wed Apr 17 21:29:40 PDT 2019,1,BatchId:3611839;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 21:29:40 PDT 2019,,,3B837J3LDPICU0O6EHDWO91HO94RSF,A1MW021IG07IMF,Submitted,Wed Apr 17 22:05:50 PDT 2019,Wed Apr 17 22:09:23 PDT 2019,Thu May 02 22:09:23 PDT 2019,,,,213,100% (71/71),100% (71/71),100% (71/71),,,,,,,,,,,,,,Specifier: <b></b>,disappointing,surprising,addictive,shocking,fascinating,Has there been a game that was really disappointing to you?,What game turned out to be really surprising when you played it?,Have you played a game recently that you found really addictive?,Have you ever encountered a video game that you found shocking?,What do you think is the most fascinating game you've played?,,
3UQVX1UPFS2S3NPF0NA9PBR0X5C02H,30HLKW73X3QQBJSAPO1L5LPWLTBCBR,Write 5 simple questions about a video game (type: request; attributes: 1),Produce casual conversational questions prompting for the name of a video game based on a specifier you define,"dialog, video game, questions, writing, entertainment, chat, conversation, creative",$0.30 ,Wed Apr 17 21:29:40 PDT 2019,1,BatchId:3611839;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 21:29:40 PDT 2019,,,308XBLVESJQDDE743VR1YKRHKLIRBE,A1MW021IG07IMF,Submitted,Wed Apr 17 22:03:05 PDT 2019,Wed Apr 17 22:05:49 PDT 2019,Thu May 02 22:05:49 PDT 2019,,,,164,100% (71/71),100% (71/71),100% (71/71),,,,,,,,,,,,,,Specifier: <b></b>,ridiculous,quick-to-learn,scary,worst looking,visually impressive,What's the game with the most ridiculous storyline you've ever played?,Do you know of any quick-to-learn games?,Have you ever played a game that you found scary?,What do you think is the worst looking video game that you know of?,Have you encountered any visually impressive video games lately?,,
39KMGHJ4RZVL7DM1L06V6NYL07S00X,30HLKW73X3QQBJSAPO1L5LPWLTBCBR,Write 5 simple questions about a video game (type: request; attributes: 1),Produce casual conversational questions prompting for the name of a video game based on a specifier you define,"dialog, video game, questions, writing, entertainment, chat, conversation, creative",$0.30 ,Wed Apr 17 21:29:40 PDT 2019,1,BatchId:3611839;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 21:29:40 PDT 2019,,,3ERET4BTVNV82HFCFR4862AD1TK9KS,A1MW021IG07IMF,Submitted,Wed Apr 17 21:49:07 PDT 2019,Wed Apr 17 21:51:06 PDT 2019,Thu May 02 21:51:06 PDT 2019,,,,119,100% (71/71),100% (71/71),100% (71/71),,,,,,,,,,,,,,Specifier: <b></b>,last,short,cheerful,calming,empowering,What's the last video game you finished?,Have you played any good short video games lately?,"I've been feeling depressed lately, is their a cheerful video game you can think of that I could play?",Have you ever played a video game that was nice and calming?,Do you know of a video game that feels empowering to play?,,
3R5LWXWHR0TQF73X2EK50T8CHV1XGR,30HLKW73X3QQBJSAPO1L5LPWLTBCBR,Write 5 simple questions about a video game (type: request; attributes: 1),Produce casual conversational questions prompting for the name of a video game based on a specifier you define,"dialog, video game, questions, writing, entertainment, chat, conversation, creative",$0.30 ,Wed Apr 17 21:29:40 PDT 2019,1,BatchId:3611839;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 21:29:40 PDT 2019,,,33JKGHPFYDGOH7J91D0T3GX1VNXNMB,A1MW021IG07IMF,Submitted,Wed Apr 17 21:56:35 PDT 2019,Wed Apr 17 21:58:40 PDT 2019,Thu May 02 21:58:40 PDT 2019,,,,125,100% (71/71),100% (71/71),100% (71/71),,,,,,,,,,,,,,Specifier: <b></b>,interesting,unfair,poorly balanced,boring,absorbing,Know of any interesting game that came out recently?,Have you ever played a video game that just felt plain unfair?,What do you think is the most poorly balanced game you've played?,What game did you find to be really boring?,What is the game you think has the most absorbing gameplay?,,
3WKGUBL7SZ7F3XTOTUFGGAGMKHIL46,30HLKW73X3QQBJSAPO1L5LPWLTBCBR,Write 5 simple questions about a video game (type: request; attributes: 1),Produce casual conversational questions prompting for the name of a video game based on a specifier you define,"dialog, video game, questions, writing, entertainment, chat, conversation, creative",$0.30 ,Wed Apr 17 21:29:41 PDT 2019,1,BatchId:3611839;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 21:29:41 PDT 2019,,,3H7Z272LX8T4EAD1HGC67SN7VX8LP3,A1MW021IG07IMF,Submitted,Wed Apr 17 21:58:41 PDT 2019,Wed Apr 17 22:03:04 PDT 2019,Thu May 02 22:03:04 PDT 2019,,,,263,100% (71/71),100% (71/71),100% (71/71),,,,,,,,,,,,,,Specifier: <b></b>,newest,oldest,thrilling,weirdest,unusual,What's the newest game that you like?,What is the oldest game that you fancy?,Have you played any thrilling video games lately?,What do you think is the weirdest game you've ever played?,Have you played a video game lately that you found to be rather unusual?,,
3M0556243S5FPDTYPOREK6H2E2RNFY,30HLKW73X3QQBJSAPO1L5LPWLTBCBR,Write 5 simple questions about a video game (type: request; attributes: 1),Produce casual conversational questions prompting for the name of a video game based on a specifier you define,"dialog, video game, questions, writing, entertainment, chat, conversation, creative",$0.30 ,Wed Apr 17 21:29:41 PDT 2019,1,BatchId:3611839;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 21:29:41 PDT 2019,,,3NPI0JQDAPRSXNL6QPEXTJXOPAVTPF,A1MW021IG07IMF,Submitted,Wed Apr 17 22:16:04 PDT 2019,Wed Apr 17 22:23:27 PDT 2019,Thu May 02 22:23:27 PDT 2019,,,,443,100% (71/71),100% (71/71),100% (71/71),,,,,,,,,,,,,,Specifier: <b></b>,beautiful,exceptional,cheap,uninteresting,nostalgic,Have you played any video games lately that you thought were beautiful?,Is there any game you played lately that you felt was exceptional?,What good cheap games have just come out?,What do you think is the most uninteresting video game you ever encountered?,What would you say is the most nostalgic game you know of?,,
3OCZWXS7ZOSXZGXO7ZYQL2M0KDDL5B,30HLKW73X3QQBJSAPO1L5LPWLTBCBR,Write 5 simple questions about a video game (type: request; attributes: 1),Produce casual conversational questions prompting for the name of a video game based on a specifier you define,"dialog, video game, questions, writing, entertainment, chat, conversation, creative",$0.30 ,Wed Apr 17 21:29:41 PDT 2019,1,BatchId:3611839;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 21:29:41 PDT 2019,,,3KV0LJBBH379W5B1UKHAC02BWKLMRX,A1MW021IG07IMF,Submitted,Wed Apr 17 21:51:06 PDT 2019,Wed Apr 17 21:54:12 PDT 2019,Thu May 02 21:54:12 PDT 2019,,,,186,100% (71/71),100% (71/71),100% (71/71),,,,,,,,,,,,,,Specifier: <b></b>,overrated,sad,underrated,challenging,revolting,What is the most overrated game in your mind?,Have you played any sad video games recently?,What game you've played do you think is really underrated?,What's the last game you played that you found particularly challenging?,Have you ever played a game that you just found revolting?,,
3IJ95K7NDXXL3DPT08XW2RHEFHRNGX,30HLKW73X3QQBJSAPO1L5LPWLTBCBR,Write 5 simple questions about a video game (type: request; attributes: 1),Produce casual conversational questions prompting for the name of a video game based on a specifier you define,"dialog, video game, questions, writing, entertainment, chat, conversation, creative",$0.30 ,Wed Apr 17 21:29:41 PDT 2019,1,BatchId:3611839;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 21:29:41 PDT 2019,,,3ZWFC4W1UVT3QVJK8XDXHAI2ZJAFRK,A1MW021IG07IMF,Submitted,Wed Apr 17 21:54:13 PDT 2019,Wed Apr 17 21:56:35 PDT 2019,Thu May 02 21:56:35 PDT 2019,,,,142,100% (71/71),100% (71/71),100% (71/71),,,,,,,,,,,,,,Specifier: <b></b>,dynamic,mindless,moving,tearjerking,rewarding,What game can you think of that has a very dynamic plot?,Have you ever played a video game that just felt mindless?,What do you think is the most moving video game you've played?,"I'm wondering, what would you say is the most tearjerking video game you know of?",Is their a video game you know of that felt very rewarding to play?,,
