mr,ref,errors,incorrect slots
"request(available_on_steam[yes], specifier[challenging])",Are there any challenging games you like that are on Steam?,0,
"request(available_on_steam[yes], specifier[challenging])","Hey, is there any challenging game on Steam right now that you like?",0,
"request(available_on_steam[yes], specifier[challenging])",What's a good challenging game you know of that's available on Steam?,0,
"request(available_on_steam[yes], specifier[cheap])",What cheap game that's on Steam right now would you suggest?,0,
"request(available_on_steam[yes], specifier[cheap])",What's a cheap game I can get on Steam right now?,0,
"request(available_on_steam[yes], specifier[cheap])",Any games you know of on Steam that are cheap right now?,0,
"request(available_on_steam[yes], specifier[latest])",What's the name of the latest game you got on Steam?,0,
"request(available_on_steam[yes], specifier[latest])",What's the latest game you played on Steam?,0,
"request(available_on_steam[yes], specifier[latest])",What's the latest game you've been playing on Steam?,0,
"request(available_on_steam[yes], specifier[ugliest])",What do you think is the ugliest game available on Steam right now?,0,
"request(available_on_steam[yes], specifier[ugliest])",What's the ugliest game you've found on Steam so far?,0,
"request(available_on_steam[yes], specifier[ugliest])",What do you think is the ugliest game ever released on Steam?,0,
"request(developer[Bloober Team], specifier[silliest])",What do you think is the silliest game made by Bloober Team?,0,
"request(developer[Bloober Team], specifier[silliest])",What do you think is the silliest game ever made by Bloober Team?,0,
"request(developer[Bloober Team], specifier[silliest])",What's the silliest game that Bloober Team has made?,0,
"request(developer[EA Canada], specifier[favorite])",What is your favorite game made by EA Canada?,0,
"request(developer[EA Canada], specifier[favorite])","I'm curious, what is your favorite game made by EA Canada?",0,
"request(developer[EA Canada], specifier[favorite])",What's your favorite game that EA Canada has made?,0,
"request(developer[Firefly Studios], specifier[upcoming])",Are there any upcoming games from Firefly Studios you're looking forward to?,0,
"request(developer[Firefly Studios], specifier[upcoming])",Is there any upcoming game by Firefly Studios that you're interested in?,0,
"request(developer[Firefly Studios], specifier[upcoming])",What's the name of the upcoming game developed by Firefly Studios?,0,
"request(developer[Ghost Games], specifier[exceptional])",Have you played any exceptional games by Ghost Games?,0,
"request(developer[Ghost Games], specifier[exceptional])",Is there a game made by Ghost Games that you found exceptional?,0,
"request(developer[Ghost Games], specifier[exceptional])",Has Ghost Games made anything exceptional?,0,
"request(developer[Guerrilla Games], specifier[overrated])",What would you say is the most overrated game made by Guerrilla Games?,0,
"request(developer[Guerrilla Games], specifier[overrated])",Is there a game made by Guerrilla Games that you felt was overrated?,0,
"request(developer[Guerrilla Games], specifier[overrated])",What's an overrated game made by Guerrilla Games?,0,
"request(developer[Hazelight Studios], specifier[classic])",Did Hazelight Studios make any classic games?,0,
"request(developer[Hazelight Studios], specifier[classic])",What do you think is the most classic game made by Hazelight Studios?,0,
"request(developer[Hazelight Studios], specifier[classic])",Do you know of a game from Hazelight Studios that has a classic feel?,0,
"request(developer[Neversoft Entertainment], specifier[other])",What other game developed by Neversoft Entertainment have you played?,0,
"request(developer[Neversoft Entertainment], specifier[other])",What other games does Neversoft Entertainment make?,0,
"request(developer[Neversoft Entertainment], specifier[other])",So have you played any other games from Neversoft Entertainment lately?,0,
"request(developer[Nintendo EAD], specifier[classic])",Do you know any classic games I should play from Nintendo EAD?,0,
"request(developer[Nintendo EAD], specifier[classic])",Do you know of any games developed by Nintendo EAD that you would consider to be a classic?,0,
"request(developer[Nintendo EAD], specifier[classic])",Do you know of a classic game developed by Nintendo EAD?,0,
"request(developer[Overkill Software], specifier[empowering])",What do you think is a good example of an empowering game developed by Overkill Software?,0,
"request(developer[Overkill Software], specifier[empowering])",Does Overkill Software have any games that are empowering?,0,
"request(developer[Overkill Software], specifier[empowering])",Ever played a game from Overkill Software you felt was empowering?,0,
"request(developer[Red Entertainment Corporation], specifier[newest])",What's the newest game from Red Entertainment Corporation that you've played?,0,
"request(developer[Red Entertainment Corporation], specifier[newest])",Do you know what the newest game that Red Entertainment Corporation made is?,0,
"request(developer[Red Entertainment Corporation], specifier[newest])",What's the newest game made by Red Entertainment Corporation?,0,
"request(developer[Rockstar North], specifier[offensive])",Has Rockstar North ever made a game you felt was offensive?,0,
"request(developer[Rockstar North], specifier[offensive])",What's the most offensive game that Rockstar North has developed?,0,
"request(developer[Rockstar North], specifier[offensive])",Has Rockstar North made anything offensive lately?,0,
"request(developer[SCS Software], specifier[famous])",What's a famous game from SCS Software?,0,
"request(developer[SCS Software], specifier[famous])",What's the most famous game you know of that was made by SCS Software?,0,
"request(developer[SCS Software], specifier[famous])",What do you think is the most famous game developed by SCS Software?,0,
"request(developer[Tin Man Games], specifier[boring])",Are there any boring games from Tin Man Games that you know of?,0,
"request(developer[Tin Man Games], specifier[boring])",What's the most boring game made by Tin Man Games that you've played?,0,
"request(developer[Tin Man Games], specifier[boring])","Out of all the games made by Tin Man Games, what do you think is the most boring?",0,
"request(developer[Valve Corporation], specifier[funny])",Does Valve Corporation have any funny games they've made?,0,
"request(developer[Valve Corporation], specifier[funny])",Do you know of any games developed by Valve Corporation that are funny?,0,
"request(developer[Valve Corporation], specifier[funny])",Do you know of a funny game developed by Valve Corporation?,0,
"request(esrb[E (for Everyone)], specifier[goofy])",Do you know of any goofy E rated games I could play with my kid?,0,
"request(esrb[E (for Everyone)], specifier[goofy])",Did you play any particularly goofy E rated games this year?,0,
"request(esrb[E (for Everyone)], specifier[goofy])","I'm trying to find a really goofy E rated game to play, do you have one you would suggest?",0,
"request(esrb[E (for Everyone)], specifier[other])",Is there any other E rated game that you played lately?,0,
"request(esrb[E (for Everyone)], specifier[other])",What other E rated game can you recommend?,0,
"request(esrb[E (for Everyone)], specifier[other])",Are there any other E rated games you'd suggest?,0,
"request(esrb[E 10+ (for Everyone 10 and Older)], specifier[frightening])",Are there any E 10+ rated frightening games?,0,
"request(esrb[E 10+ (for Everyone 10 and Older)], specifier[frightening])",What's the most frightening game you know of that still managed to get an E 10+ rating?,0,
"request(esrb[E 10+ (for Everyone 10 and Older)], specifier[frightening])",Have you ever played a game that was rated E 10+ by the ESRB yet still managed to be genuinely frightening?,0,
"request(esrb[E 10+ (for Everyone 10 and Older)], specifier[soothing])","I'm looking for an E 10+ rated game that is soothing, do you know of any?",0,
"request(esrb[E 10+ (for Everyone 10 and Older)], specifier[soothing])",Did you play any Everyone 10 and up games that were particularly soothing this year?,0,
"request(esrb[E 10+ (for Everyone 10 and Older)], specifier[soothing])",What's a soothing rated E10+ game I can play with my brothers?,0,
"request(esrb[M (for Mature)], specifier[gritty])",Have you played any gritty M rated games lately?,0,
"request(esrb[M (for Mature)], specifier[gritty])",What's your favorite gritty rated M game?,0,
"request(esrb[M (for Mature)], specifier[gritty])","Is there any gritty, M rated game that you enjoyed lately?",0,
"request(esrb[M (for Mature)], specifier[tearjerking])",Can you suggest a really tearjerking M rated game? I'm looking for something real sad.,0,
"request(esrb[M (for Mature)], specifier[tearjerking])",Have you ever played an M rated game that was tearjerking?,0,
"request(esrb[M (for Mature)], specifier[tearjerking])","Is there any game that, despite being M rated by the ESRB, you actually felt was tearjerking?",0,
"request(esrb[M (for Mature)], specifier[unpleasant])",Have you ever played an M rated game that you just found unpleasant?,0,
"request(esrb[M (for Mature)], specifier[unpleasant])",have you played any unpleasant rated M games?,0,
"request(esrb[M (for Mature)], specifier[unpleasant])","Out of all the games with an M rating, which do you think is the most unpleasant?",0,
"request(esrb[T (for Teen)], specifier[scary])",Are there any really scary T rated games?,0,
"request(esrb[T (for Teen)], specifier[scary])",Have you every played a T rated game that you felt was genuinely scary?,0,
"request(esrb[T (for Teen)], specifier[scary])",What do you think was a good example of a scary game that still only got a T rating from the ESRB?,0,
"request(genres[action, platformer, strategy], specifier[fun])",Have you played any fun action strategy platformers lately?,0,
"request(genres[action, platformer, strategy], specifier[fun])",What's a really fun action strategy platformer?,0,
"request(genres[action, platformer, strategy], specifier[fun])",Do you know of a fun action platformer with strategy elements?,0,
"request(genres[action-adventure, role-playing, shooter], specifier[gory])",Have you played any gory action-adventure RPG shooters lately?,0,
"request(genres[action-adventure, role-playing, shooter], specifier[gory])",Do you know of any gory action-adventure shooters with role-playing elements?,0,
"request(genres[action-adventure, role-playing, shooter], specifier[gory])","What's a really gory role playing action-adventure shooter? I'm looking for blood, you know?",0,
"request(genres[action-adventure], specifier[easy])",Do you know of any action-adventure games that are nice and easy?,0,
"request(genres[action-adventure], specifier[easy])",Can you recommend an easy action-adventure game?,0,
"request(genres[action-adventure], specifier[easy])",Is there an easy action-adventure game out there that you would recommend?,0,
