mr,ref
"name[Alimentum], area[city centre], familyfriendly[no]","There is a place in the city centre, Alimentum, that is not family-friendly."
"name[Alimentum], area[city centre], familyfriendly[no]","In the city centre there is a venue name Alimentum, this is not a family-friendly venue."
"name[Alimentum], area[city centre], familyfriendly[no]","Alimentum is not a family-friendly place, located in city centre."
"name[Alimentum], area[city centre], familyfriendly[no]",Alimentum is not a family-friendly arena and is located in the city centre.
"name[Alimentum], area[city centre], familyfriendly[no]",Alimentum is not a family-friendly place in the city centre.
"name[Alimentum], area[city centre], familyfriendly[no]",Alimentum in city centre is not a family-friendly place.
"name[Alimentum], area[city centre], familyfriendly[no], near[Burger King]","Alimentum is not family-friendly, and is near the Burger King in the city centre."
"name[Alimentum], area[city centre], familyfriendly[no], near[Burger King]",Near Burger King in city centre is the adult establishment Alimentum.
"name[Alimentum], area[city centre], familyfriendly[no], near[Burger King]",Alimentum is not family-friendly. Alimentum is in the city center and it is near Burger King.
"name[Alimentum], familyfriendly[no]",Alimentum is not family-friendly.
"name[Alimentum], area[city centre], familyfriendly[no], near[Burger King]",Alimentum is near Burger King in the city center. Alimentum is not family-friendly.
"name[Alimentum], area[city centre], near[Burger King]",Alimentum is near Burger King in the city center.
"name[Alimentum], area[city centre], familyfriendly[no], near[Burger King]","Near the Burger King and in the city centre is Alimentum, which is not family-friendly."
"name[Alimentum], area[city centre], familyfriendly[no], near[Burger King]",Alimentum is an adult establish found in the city centre area near Burger King.
"name[Alimentum], area[city centre], familyfriendly[yes]",Alimentum is a family-friendly place in the city centre.
"name[Alimentum], area[city centre], familyfriendly[yes]",In the city centre there is a family-friendly place called Alimentum.
"name[Alimentum], area[city centre], familyfriendly[yes]",The city centre has a family-friendly restaurant named Alimentum.
"name[Alimentum], area[city centre], familyfriendly[yes]",Alimentum city centre is family-friendly
"name[Alimentum], area[city centre], familyfriendly[yes]",Alimentum is a family-friendly city centre.
"name[Alimentum], area[city centre], familyfriendly[yes]",There is a family-friendly restaurant named Alimentum in the city centre.
"name[Alimentum], area[city centre], familyfriendly[yes], near[Burger King]",Alimentum is family oriented and located near Burger King in the city centre.
"name[Alimentum], area[city centre], familyfriendly[yes], near[Burger King]",The Alimentum is a family-friendly restaurant located in the city centre near Burger King.
"name[Alimentum], area[city centre], familyfriendly[yes], near[Burger King]","Located in the city centre near Burger King, the Alimentum is a family-friendly restaurant."
"name[Alimentum], area[city centre], familyfriendly[yes], near[Burger King]","Alimentum, located near Burger King in the city centre, is family-friendly."
"name[Alimentum], area[city centre], familyfriendly[yes], near[Burger King]","Located Burger King in the city centre, Alimentum is family-friendly."
"name[Alimentum], area[city centre], familyfriendly[yes], near[Burger King]",Alimentum is family-friendly and located in the city centre near Burger King.
name[Alimentum],Alimentum looks like a location where people or families aren't allowed
"name[Alimentum], area[riverside], familyfriendly[no]",Alimentum isn't family-friendly but it is in riverside.
"name[Alimentum], area[riverside], familyfriendly[no]","If you are searching for a place to go that's not family-friendly and near the riverside, Alimentum is the place for you."
"name[Alimentum], area[riverside]",Alimentum is a family-friendly living in riverside.
"name[Alimentum], area[riverside]",Alimentum is a family-friendly living in riverside.
"name[Alimentum], area[riverside], familyfriendly[no]","Alimentum, located on the river. No good for families."
"name[Alimentum], area[riverside]","Alimentum, located on the river."
"name[Alimentum], area[riverside], familyfriendly[no]","Riverside has Alimentum, which is not family-friendly."
"name[Alimentum], area[riverside], familyfriendly[no]",Alimentum is a not family-friendly place near the riverside.
"name[Alimentum], area[riverside], familyfriendly[no]","No good for families. Alimentum, close to the river."
familyfriendly[no],No good for families.
"name[Alimentum], familyfriendly[no], near[Burger King]",Burger King is near the Alimentum which is not family friendly and located north of the City center.
"name[Alimentum], area[riverside], familyfriendly[no], near[Burger King]","Alimentum is a restaurant located in riverside near Burger King, Alimentum is not a family-friendly restaurant."
"name[Alimentum], area[riverside], familyfriendly[no], near[Burger King]","Located off the river near Burger King, Alimentum does not allow families."
"name[Alimentum], area[riverside], familyfriendly[no], near[Burger King]",Alimentum is a non-family-friendly establishment near Burger King at the riverside.
"name[Alimentum], area[riverside], familyfriendly[no], near[Burger King]","Alimentum is a great venue located in riverside near Burger King, is not a family-friendly restaurant."
"name[Alimentum], area[riverside], familyfriendly[no], near[Burger King]",Alimentum at the riverside near Burger King is a non-family-friendly establishment.
"name[Alimentum], familyfriendly[no], near[Burger King]",Not family friendly Alimentum across from Burger King
"name[Alimentum], familyfriendly[no], near[Burger King]","Alimentum, located near Burger King, is not family-friendly."
"name[Alimentum], area[riverside], familyfriendly[no], near[Burger King]",Alimentum is located near Burger King in riverside. It is not family-friendly.
"name[Alimentum], area[riverside], near[Burger King]",Alimentum is located near Burger King in riverside.
"name[Alimentum], area[riverside], familyfriendly[no], near[Burger King]",Alimentum is not family-friendly. It is located near Burger King in riverside.
"name[Alimentum], familyfriendly[no]",Alimentum is not family-friendly.
"name[Alimentum], familyfriendly[no], near[Burger King]",Alimentum across from Burger King no kids
"name[Alimentum], area[riverside], familyfriendly[yes]",A kid friendly venue named Alimentum is located on the riverside.
"name[Alimentum], area[riverside], familyfriendly[yes]","Alimentum, situated by the river, is child friendly."
"name[Alimentum], area[riverside], familyfriendly[yes]",Alimentum is child friendly and is located by the river.
"name[Alimentum], area[riverside], familyfriendly[yes]",Alimentum is a family friendly place in the riverside area.
"name[Alimentum], area[riverside], familyfriendly[yes]",In the riverside area there is a restaurant that is kid friendly named Alimentum
"name[Alimentum], area[riverside], familyfriendly[yes]","For a children friendly establishment in the riverside area, try Alimentum."
"name[Alimentum], area[riverside], familyfriendly[yes]","The riverside restaurant, Alimentum is very child friendly and great for adults as well."
"name[Alimentum], area[riverside], familyfriendly[yes]",Alimentum is a child-friendly venue located on the riverside.
"name[Alimentum], area[riverside], familyfriendly[yes]",There is a family-friendly venue in the riverside area called Alimentum.
"name[Alimentum], area[riverside], familyfriendly[yes]",At the riverside there is a friendly family place called Alimentum
"name[Alimentum], area[riverside], familyfriendly[yes]","Located in riverside area, Alimentum restaurant is a place to bring the whole family."
"name[Alimentum], area[riverside], familyfriendly[yes]",There is a riverside restaurant called Alimentum which is child friendly.
"name[Alimentum], area[riverside], familyfriendly[yes]",Alimentum can be found in riverside and is family friendly.
"name[Alimentum], area[riverside], familyfriendly[yes]","Being beside the river, Alimentum is a family friendly place."
"name[Alimentum], area[riverside], familyfriendly[yes]",A family friendly place near the riverside is called Alimentum.
"name[Alimentum], area[riverside], familyfriendly[yes]","Visit Alimentum by the riverside, it is kids friendly."
"name[Alimentum], area[riverside], familyfriendly[yes]","For a riverside, child friendly environment visit the Alimentum."
"name[Alimentum], area[riverside], familyfriendly[yes]",Alimentum is located near the riverside. It is child friendly.
"name[Alimentum], area[riverside]",Alimentum is located near the riverside.
"name[Alimentum], area[riverside], familyfriendly[yes]",Alimentum in the riverside area is child friendly.
"name[Alimentum], area[riverside], familyfriendly[yes]","Alimentum, on the riverside, is family-friendly."
"name[Alimentum], area[riverside], familyfriendly[yes]",Alimentum is a child friendly place on the riverside.
"name[Alimentum], area[riverside], familyfriendly[yes]",There is child friendly restaurant in the riverside area named Alimentum.
"name[Alimentum], area[riverside], familyfriendly[yes]",Alimentum is a child-friendly place on the riverside.
"name[Alimentum], area[riverside], familyfriendly[yes]",The Alimentum is in the riverside area. It is a family friendly place.
"name[Alimentum], area[riverside]",The Alimentum is in the riverside area.
"name[Alimentum], area[riverside], familyfriendly[yes]",The Alimentum is kid friendly and is located in the riverside area.
"name[Alimentum], area[riverside], familyfriendly[yes]","On the riverside, there is a kids friendly venue called Alimentum."
"name[Alimentum], area[riverside], familyfriendly[yes]",Alimentum is kid-friendly and is located at the riverside.
"name[Alimentum], area[riverside], familyfriendly[yes]",On the riverside there is a child friendly place called Alimentum.
"name[Alimentum], area[riverside], familyfriendly[yes]","By the riverside you can find Alimentum, which is a family friendly place."
"name[Alimentum], area[riverside], familyfriendly[yes]",In Riverside you will find the kid-friendly restaurant Alimentum.
"name[Alimentum], area[riverside], familyfriendly[yes]",If you want to take the children for a meal then try Alimentum they provide a child friendly service in their riverside setting .
"name[Alimentum], area[riverside], familyfriendly[yes]",The Alimentum is in the riverside area. It is family friendly.
"name[Alimentum], area[riverside]",The Alimentum is in the riverside area.
