HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Input.specifier,Answer.selected_attr11,Answer.selected_attr21,Answer.selected_attr31,Answer.selected_attr41,Answer.selected_attr51,Answer.specifier1,Answer.specifier2,Answer.specifier3,Answer.specifier4,Answer.specifier5,Answer.utterance1,Answer.utterance2,Answer.utterance3,Answer.utterance4,Answer.utterance5,Approve,Reject
360ZO6N6J1406LHLA1CMXV6R6DJM90,3ND6XU89DK84JDK980A3QLZ22F4NAP,Write 5 conversational responses about a video game based on its attributes and context (type: request; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.40 ,Wed Apr 17 02:30:52 PDT 2019,1,BatchId:3610372;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 02:30:52 PDT 2019,,,3TY7ZAOG5G6Q6NRZFVLFDR9KYL2K0V,AGRKG3YT3KMD8,Submitted,Wed Apr 17 05:26:50 PDT 2019,Wed Apr 17 05:31:10 PDT 2019,Thu May 02 05:31:10 PDT 2019,,,,260,100% (16/16),100% (16/16),100% (16/16),,Year: <b>2018</b>,,Developer: <b>Hazelight Studios</b>,ESRB content rating: <b>M (for Mature)</b>,,Genres: <b>action-adventure</b>,Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,Specifier: <b></b>,genres,release_year,platforms,developer,player_perspective,easy,long,stunning,classic,smart,Is there an easy action-adventure game out there that you would recommend?,What recent game can you remember that has a nice long gameplay?,Do you know of a PlayStation game that has really stunning graphics?,Do you know of a game from Hazelight Studios that has a classic feel?,Do you know of a third-person game with smart AI?,,
3ROUCZ907FFRDB63P6AHMPQLWCKOOV,3ND6XU89DK84JDK980A3QLZ22F4NAP,Write 5 conversational responses about a video game based on its attributes and context (type: request; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.40 ,Wed Apr 17 02:30:52 PDT 2019,1,BatchId:3610372;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 02:30:52 PDT 2019,,,3NAPMVF0ZX197INTBO0KSAXDP3W72E,A1MW021IG07IMF,Submitted,Wed Apr 17 18:44:33 PDT 2019,Wed Apr 17 18:46:45 PDT 2019,Thu May 02 18:46:45 PDT 2019,,,,132,100% (55/55),100% (55/55),100% (55/55),,Year: <b>2013</b>,,Developer: <b>Rockstar North</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>action-adventure, driving/racing, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>Xbox</b>,,,,Specifier: <b></b>,developer,esrb,platforms,player_perspective,release_year,offensive,gritty,easiest,oldest,longest,What's the most offensive game that Rockstar North has developed?,Have you played any gritty M rated games lately?,What's the easiest game you've played on the Xbox?,"I'm curious, what's the oldest game you ever played that had a first person perspective?","Of the games released in 2013, which do you think was the longest?",,
30QQTY5GMK5F5AY1465OA9WFO9YU7O,3ND6XU89DK84JDK980A3QLZ22F4NAP,Write 5 conversational responses about a video game based on its attributes and context (type: request; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.40 ,Wed Apr 17 02:30:52 PDT 2019,1,BatchId:3610372;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 02:30:52 PDT 2019,,,32KTQ2V7RE13S5FF03HOLF2HQUV9M5,AGRKG3YT3KMD8,Submitted,Wed Apr 17 05:31:15 PDT 2019,Wed Apr 17 05:35:44 PDT 2019,Thu May 02 05:35:44 PDT 2019,,,,269,100% (16/16),100% (16/16),100% (16/16),,Year: <b>1990</b>,,Developer: <b>Nintendo EAD</b>,ESRB content rating: <b>E (for Everyone)</b>,,Genres: <b>platformer</b>,Player perspective: <b>side view</b>,Has multiplayer: <b>yes</b>,Platform: <b>Nintendo</b>,,,,Specifier: <b></b>,developer,has_multiplayer,release_year,player_perspective,genres,classic,interesting,challenging,easy,elaborate,Do you know of a classic game developed by Nintendo EAD?,What is the most interesting multiplayer game that you have ever played?,What's the most challenging game from 1990 that you have played?,What easy side-view game do you think tops them all?,What platformer game do you think has the most elaborate design?,,
3E24UO25QZB1O50ZPAON5P4UBCR6OP,3ND6XU89DK84JDK980A3QLZ22F4NAP,Write 5 conversational responses about a video game based on its attributes and context (type: request; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.40 ,Wed Apr 17 02:30:52 PDT 2019,1,BatchId:3610372;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 02:30:52 PDT 2019,,,3TUI152ZZC9COFACOJ9CNI432JX1Q4,AGRKG3YT3KMD8,Submitted,Wed Apr 17 05:23:07 PDT 2019,Wed Apr 17 05:26:39 PDT 2019,Thu May 02 05:26:39 PDT 2019,,,,212,100% (16/16),100% (16/16),100% (16/16),,Year: <b>2014</b>,,Developer: <b>The Astronauts</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>adventure, indie</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,Specifier: <b></b>,platforms,release_year,genres,has_multiplayer,has_linux_release,immersive,terrible,short,epic,cheap,What is the most immersive game you have played on PC?,What's the most terrible game that you played in the year 2014?,Do you know of any short FPS games?,Do you know of any games with epic storylines that have mutiplayer elements?,Do you know of any cheap games that have been released for Linux?,,
3ZVPAMTJWNO6IBHLTFEDBBMOGDDRGK,3ND6XU89DK84JDK980A3QLZ22F4NAP,Write 5 conversational responses about a video game based on its attributes and context (type: request; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.40 ,Wed Apr 17 02:30:52 PDT 2019,1,BatchId:3610372;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 02:30:52 PDT 2019,,,3QILPRALQ6H9WIH57CQAYYW6BITN88,A1MW021IG07IMF,Submitted,Wed Apr 17 18:46:46 PDT 2019,Wed Apr 17 18:55:02 PDT 2019,Thu May 02 18:55:02 PDT 2019,,,,496,100% (55/55),100% (55/55),100% (55/55),,Year: <b>2015</b>,,Developer: <b>Bloober Team</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>adventure, indie, point-and-click</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,Specifier: <b></b>,developer,platforms,genres,esrb,player_perspective,silliest,expensive,shortest,unpleasant,realistic,What do you think is the silliest game made by Bloober Team?,What's the most expensive PC game you ever heard of?,What do you think is the shortest Steam game you ever played?,"Out of all the games with an M rating, which do you think is the most unpleasant?",What do you think is the most realistic first person game out there?,,
32CXT5U14GOJ5O3KEBXUO9SAZT4U8B,3ND6XU89DK84JDK980A3QLZ22F4NAP,Write 5 conversational responses about a video game based on its attributes and context (type: request; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.40 ,Wed Apr 17 02:30:52 PDT 2019,1,BatchId:3610372;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 02:30:52 PDT 2019,,,35LDD5557BQN91Y6408DBOGX1RCKML,A1MW021IG07IMF,Submitted,Wed Apr 17 18:27:34 PDT 2019,Wed Apr 17 18:29:56 PDT 2019,Thu May 02 18:29:56 PDT 2019,,,,142,100% (55/55),100% (55/55),100% (55/55),,Year: <b>2014</b>,,Developer: <b>SCS Software</b>,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>driving/racing, indie, simulation</b>",,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,Specifier: <b></b>,esrb,available_on_steam,has_linux_release,platforms,developer,goofy,ugliest,favorite,quirky,famous,"I'm trying to find a really goofy E rated game to play, do you have one you would suggest?",What do you think is the ugliest game ever released on Steam?,What's your favorite game that you wish had a Linux release but sadly doesn't?,What's a really quirky PC game that you played recently?,What do you think is the most famous game developed by SCS Software?,,
3JU8CV4BRLX9YBI446NWBPVB6HGOPC,3ND6XU89DK84JDK980A3QLZ22F4NAP,Write 5 conversational responses about a video game based on its attributes and context (type: request; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.40 ,Wed Apr 17 02:30:52 PDT 2019,1,BatchId:3610372;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 02:30:52 PDT 2019,,,3SB4CE2TJWHSR0OO6GXXSRTZ3K3XA6,A1MW021IG07IMF,Submitted,Wed Apr 17 18:55:03 PDT 2019,Wed Apr 17 19:03:24 PDT 2019,Thu May 02 19:03:24 PDT 2019,,,,501,100% (55/55),100% (55/55),100% (55/55),,Year: <b>2014</b>,,Developer: <b>EA Canada</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,"Genres: <b>simulation, sport</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,Specifier: <b></b>,has_multiplayer,release_year,platforms,genres,esrb,dull,disappointing,revolting,simple,soothing,Have you played a multiplayer game recently that was totally dull?,Was there any game released in 2014 that you found to be disappointing?,"I was wondering, was there any game for the PlayStation that you just felt was revolting?",Have you played any sports simulators lately that you would say are simple?,"I'm looking for an E 10+ rated game that is soothing, do you know of any?",,
3TZDZ3Y0JSR3AWVWHFTOD3IO82P198,3ND6XU89DK84JDK980A3QLZ22F4NAP,Write 5 conversational responses about a video game based on its attributes and context (type: request; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.40 ,Wed Apr 17 02:30:52 PDT 2019,1,BatchId:3610372;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 02:30:52 PDT 2019,,,3FTYUGLFSV7HNO7QKK54Q9ALVOQ5D6,A1MW021IG07IMF,Submitted,Wed Apr 17 18:32:42 PDT 2019,Wed Apr 17 18:35:43 PDT 2019,Thu May 02 18:35:43 PDT 2019,,,,181,100% (55/55),100% (55/55),100% (55/55),,Year: <b>2014</b>,,Developer: <b>Tin Man Games</b>,,,"Genres: <b>role-playing, text adventure</b>",,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,Specifier: <b></b>,developer,genres,has_mac_release,platforms,has_linux_release,boring,shortest,addictive,funky,frightening,"Out of all the games made by Tin Man Games, what do you think is the most boring?",What's the shortest role-playing text adventure game that you've played?,Do you know a really addictive game that has a Mac release?,"I'm looking for a really funky game on the PC, do you know of a good one you could tell me about?","I'm looking for a frightening game that I can play on Linux, is there one you could recommend to me?",,
3IZPORCT1FUKI7CWDLWVWBYPVDQRHJ,3ND6XU89DK84JDK980A3QLZ22F4NAP,Write 5 conversational responses about a video game based on its attributes and context (type: request; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.40 ,Wed Apr 17 02:30:52 PDT 2019,1,BatchId:3610372;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 02:30:52 PDT 2019,,,3OF2M9AATHAN88XPJPY7JQC6GWVZKK,A1MW021IG07IMF,Submitted,Wed Apr 17 19:17:08 PDT 2019,Wed Apr 17 19:21:25 PDT 2019,Thu May 02 19:21:25 PDT 2019,,,,257,100% (55/55),100% (55/55),100% (55/55),,Year: <b>2013</b>,,Developer: <b>Overkill Software</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>role-playing, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>Nintendo Switch</b>,,,,Specifier: <b></b>,platforms,developer,release_year,player_perspective,genres,great looking,empowering,spectacular,absorbing,well balanced,What would you say is a great looking game for the Nintendo Switch?,What do you think is a good example of a empowering game developed by Overkill Software?,Was there any game released in 2013 that you thought was spectacular?,Have you played any first person perspective games lately that you would say are really absorbing?,"I'm hoping to play a shooter with role-playing elements that is well balanced, is there any you would recommend?",,
3P888QFVX3FUYNJJ4J2LBULLBD2OQ3,3ND6XU89DK84JDK980A3QLZ22F4NAP,Write 5 conversational responses about a video game based on its attributes and context (type: request; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.40 ,Wed Apr 17 02:30:52 PDT 2019,1,BatchId:3610372;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 18 02:30:52 PDT 2019,,,3X31TUMD7Y81XIUZWE1G6W59SHN1L0,A1MW021IG07IMF,Submitted,Wed Apr 17 18:35:44 PDT 2019,Wed Apr 17 18:39:59 PDT 2019,Thu May 02 18:39:59 PDT 2019,,,,255,100% (55/55),100% (55/55),100% (55/55),,Year: <b>2011</b>,,Developer: <b>Valve Corporation</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,"Genres: <b>platformer, puzzle, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,Specifier: <b></b>,developer,player_perspective,esrb,available_on_steam,release_year,funny,colorful,frightening,cheap,unusual,Do you know of a funny game developed by Valve Corporation?,Have you played any colorful games with a first person perspective lately?,What's the most frightening game you know of that still managed to get an E 10+ rating?,What cheap game that's on Steam right now would you suggest?,What's an unusual game you have played that came out in 2011?,,
