HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Answer.feedback,Answer.selected_attr11,Answer.selected_attr12,Answer.selected_attr13,Answer.selected_attr21,Answer.selected_attr22,Answer.selected_attr23,Answer.selected_attr31,Answer.selected_attr32,Answer.selected_attr33,Answer.selected_attr41,Answer.selected_attr42,Answer.selected_attr43,Answer.selected_attr51,Answer.selected_attr52,Answer.selected_attr53,Answer.utterance1,Answer.utterance2,Answer.utterance3,Answer.utterance4,Answer.utterance5,Approve,Reject
3MJ28H2Y1ET5510LKREIDJQUFC95OR,3P2WBZVMLB8KVJONJI7XPDVR6BSZ91,Write 5 conversational responses about a video game based on its attributes and context (type: confirm; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:40:54 PDT 2019,1,BatchId:3606394;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:40:54 PDT 2019,,,37TRT2X24RDWFQORVQISWT5Q9CMBJJ,A1198W1SPF1R4,Submitted,Sat Apr 13 21:34:02 PDT 2019,Sat Apr 13 21:59:06 PDT 2019,Sun Apr 28 21:59:06 PDT 2019,,,,1504,100% (1/1),100% (1/1),100% (1/1),<b>Anthem</b>,,"Expected release date: <b>February 22, 2020</b>",Developer: <b>BioWare</b>,,,"Genres: <b>action-adventure, role-playing, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,no,name,genres,player_perspective,name,has_multiplayer,exp_release_date,name,platforms,developer,name,genres,has_multiplayer,name,has_multiplayer,platforms,Do you mean Anthem that is a third person action-adventure and role-playing shooter?,"Are you talking about Anthem with multiplayer that is expected to be released on February 22, 2020?",Is that Anthem developed by BioWare that you can play on PlayStation?,Do you mean Anthem that is an action-adventure and role-playing shooter with multiplayer?,Is that Anthem that you can play on PlayStation with multiplayer?,,
3GMLHYZ0LEIYKUU2RFVONMGCS30UY8,3P2WBZVMLB8KVJONJI7XPDVR6BSZ91,Write 5 conversational responses about a video game based on its attributes and context (type: confirm; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:40:54 PDT 2019,1,BatchId:3606394;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:40:54 PDT 2019,,,3EF8EXOTT2HV2S6ZTTP3QHSHN0UJ17,A1198W1SPF1R4,Submitted,Sat Apr 13 21:01:25 PDT 2019,Sat Apr 13 21:33:38 PDT 2019,Sun Apr 28 21:33:38 PDT 2019,,,,1933,100% (1/1),100% (1/1),100% (1/1),<b>Tomb Raider: The Angel of Darkness</b>,Year: <b>2003</b>,,Developer: <b>Core Design</b>,ESRB content rating: <b>T (for Teen)</b>,,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,no,name,developer,release_year,name,platforms,player_perspective,name,has_mac_release,esrb,name,has_multiplayer,has_linux_release,name,available_on_steam,developer,Are you talking about the Tomb Raider: The Angel of Darkness developed by Core Design from 2003?,Do you mean Tomb Raider: The Angel of Darkness with a third person perspective that you can play on PC?,Is that the Tomb Raider: The Angel of Darkness with a T ESRB content rating that has a Mac release?,Are you talking about the Tomb Raider: The Angel of Darkness with a Linux release that doesn't have multiplayer?,Do you mean the Tomb Raider: The Angel of Darkness developed by Core Design that is available on Steam?,,
3IVKZBIBJ0UWJMC9SAW0ML3LHA2SHR,3P2WBZVMLB8KVJONJI7XPDVR6BSZ91,Write 5 conversational responses about a video game based on its attributes and context (type: confirm; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:40:54 PDT 2019,1,BatchId:3606394;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:40:54 PDT 2019,,,3L70J4KAZH8ETUJ7FGWLYKQ7MA2DAA,A1ELPYAFO7MANS,Submitted,Sat Apr 13 19:28:25 PDT 2019,Sat Apr 13 19:37:00 PDT 2019,Sun Apr 28 19:37:00 PDT 2019,,,,515,100% (20/20),100% (20/20),100% (20/20),<b>Worms: Reloaded</b>,Year: <b>2010</b>,,Developer: <b>Team17 Digital Ltd</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,"Genres: <b>action, platformer, strategy</b>",Player perspective: <b>side view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,name,genres,platforms,name,available_on_steam,player_perspective,name,developer,platforms,name,release_year,platforms,name,has_linux_release,has_mac_release,"You mean Worms: Reloaded, the PC action platformer strategy game?","Are you talking about the side view game Worms: Reloaded, the one that is available on Steam?",Are you talking about the PC game by Team17 Digital Ltd called Worms: Reloaded?,"Is that Worms: Reloaded, the 2010 PC game?","Are you talking about Worms: Reloaded, the game released on Linux and Mac?",,
3R5LWXWHR0TQF73X2EK50T8CHPRXG5,3P2WBZVMLB8KVJONJI7XPDVR6BSZ91,Write 5 conversational responses about a video game based on its attributes and context (type: confirm; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:40:54 PDT 2019,1,BatchId:3606394;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:40:54 PDT 2019,,,3PQMUDRV7SSA7NIRJIP96FU3RNGIIM,A1198W1SPF1R4,Submitted,Sat Apr 13 20:47:16 PDT 2019,Sat Apr 13 21:01:24 PDT 2019,Sun Apr 28 21:01:24 PDT 2019,,,,848,100% (1/1),100% (1/1),100% (1/1),<b>Shadow of the Tomb Raider</b>,,"Expected release date: <b>September 14, 2019</b>",Developer: <b>Eidos Montréal</b>,,,"Genres: <b>adventure, shooter</b>",Player perspective: <b>third person</b>,,Platform: <b>Xbox</b>,,,,no,name,exp_release_date,platforms,name,player_perspective,developer,name,genres,platforms,name,exp_release_date,developer,name,genres,player_perspective,"Do you mean the Shadow of the Tomb Raider expected to be released on September 14, 2019 that you will be able to play on Xbox?",Is that the Shadow of the Tomb Raider developed by Eidos Montréal with a third person perspective?,"Are you talking about Shadow of the Tomb Raider, the adventure shooter that you can play on Xbox?","Is that the Shadow of the Tomb Raider developed by Eidos Montréal that is expected to be released on September 14, 2019?",Do you mean the Shadow of the Tomb Raider with a third person perspective and adventure shooter elements?,,
356ZPKYPUH2LSPM6ATWUDGTDKM8PY7,3P2WBZVMLB8KVJONJI7XPDVR6BSZ91,Write 5 conversational responses about a video game based on its attributes and context (type: confirm; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:40:54 PDT 2019,1,BatchId:3606394;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:40:54 PDT 2019,,,358UUM7WR0PQB24EQEFLTI5L03N7RJ,A469WIPCE72UL,Submitted,Sat Apr 13 19:21:14 PDT 2019,Sat Apr 13 19:34:20 PDT 2019,Sun Apr 28 19:34:20 PDT 2019,,,,786,0% (0/0),0% (0/0),0% (0/0),<b>Hellblade: Senua's Sacrifice</b>,Year: <b>2017</b>,,Developer: <b>Ninja Theory</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>adventure, hack-and-slash, indie</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,"Its fairly interesting, but the responses are so limited so it sort of limits the creativity.",name,available_on_steam,platforms,name,release_year,developer,name,player_perspective,genres,name,esrb,has_linux_release,name,release_year,has_multiplayer,Are you talking about Hellblade: Senua's Sacrifice which is available on Steam for the PC?,Is that the Hellblade: Senua's Sacrifice developed by Ninja Theory and released in 2017?,"Is it Hellblade: Senua's Sacrifice that you're talking about, which has a third person perspective and fits in the genres of adventure, hack-and-slash, and indie?","Are you referring to Hellblade: Senua's Sacrifice, which has a M (for Mature) rating and has no linux release?","Is it Hellblade: Senua's Sacrifice you are referring to,  released in 2017 and with no multiplayer?",,
3QTFNPMJC63LUUKYQ0LLNYXKQ1BNZ0,3P2WBZVMLB8KVJONJI7XPDVR6BSZ91,Write 5 conversational responses about a video game based on its attributes and context (type: confirm; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:40:54 PDT 2019,1,BatchId:3606394;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 16 19:31:48 PDT 2019,,,3T111IHZ5FCUPLS75BD57EWRV5ZR9R,A8VAYDSZ6Z6K4,Submitted,Mon Apr 15 19:55:47 PDT 2019,Mon Apr 15 20:03:02 PDT 2019,Tue Apr 30 20:03:02 PDT 2019,,,,435,100% (1/1),100% (1/1),100% (1/1),<b>FIFA 12</b>,Year: <b>2011</b>,,Developer: <b>EA Canada</b>,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>simulation, sport</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>Nintendo</b>,,,,,name,release_year,developer,name,player_perspective,genres,name,esrb,platforms,name,has_multiplayer,platforms,name,developer,genres,"That's the FIFA 12 from EA Canada, released in 2011?","You're talking about FIFA 12, the simulation sports game with a birds' eye view?","So you mean FIFA 12, rated E (for Everyone), for the Nintendo system?","To clarify, that's FIFA 12 with the multiplayer mode for the Nintendo platform?",Oh! So you're referring to the FIFA 12 sports simulation game from EA Canada?,,
3Y7LTZE0YT7YPK47N1X71TPEYX4UZZ,3P2WBZVMLB8KVJONJI7XPDVR6BSZ91,Write 5 conversational responses about a video game based on its attributes and context (type: confirm; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:40:54 PDT 2019,1,BatchId:3606394;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:40:54 PDT 2019,,,3K2755HG5TP9PL0FQWIDCL1YJRGDFQ,ANYY4NTDXOI4P,Submitted,Sun Apr 14 00:03:32 PDT 2019,Sun Apr 14 00:21:58 PDT 2019,Mon Apr 29 00:21:58 PDT 2019,,,,1106,0% (0/0),0% (0/0),0% (0/0),<b>Undertale</b>,Year: <b>2015</b>,,Developer: <b>tobyfox</b>,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>adventure, indie, role-playing</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,name,developer,available_on_steam,name,has_linux_release,player_perspective,name,genres,release_year,name,esrb,has_multiplayer,name,has_linux_release,has_mac_release,"Do you mean Undertale, the game tobyfox made that's available on Steam?","Undertale, that bird-view game that's available on Linux, right?","2015's indie adventure RPG Undertale, is that correct?","Undertale is the single player game rated E for Everyone, if I remember right?","Are you talking about Undertale, which is available on both Mac and Linux?",,
304QEQWKZP56AUEKNL86WOU3Y4XO0O,3P2WBZVMLB8KVJONJI7XPDVR6BSZ91,Write 5 conversational responses about a video game based on its attributes and context (type: confirm; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:40:54 PDT 2019,1,BatchId:3606394;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:40:54 PDT 2019,,,32M8BPYGAU8WBWCWTUP6L3HNCANIGT,A1ELPYAFO7MANS,Submitted,Sat Apr 13 19:28:11 PDT 2019,Sat Apr 13 19:31:52 PDT 2019,Sun Apr 28 19:31:52 PDT 2019,,,,221,100% (20/20),100% (20/20),100% (20/20),<b>BioShock</b>,Year: <b>2007</b>,,Developer: <b>2K Boston</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>action-adventure, role-playing, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,,name,release_year,genres,name,developer,release_year,name,available_on_steam,player_perspective,name,esrb,platforms,name,platforms,available_on_steam,Are you talking about the 2007 action-adventure roleplaying shooter game BioShock?,"Are you talking about BioShock, which was released in 2007 by 2K Boston?",Are you talking about the first person perspective game BioShock that can be bought on Steam?,Are you talking about the M rated PC game BioShock?,"Are you talking about BioShock, the PC game you can buy on Steam?",,
31D0ZWOD0AKH8QKJD23OVTAY9NU0A2,3P2WBZVMLB8KVJONJI7XPDVR6BSZ91,Write 5 conversational responses about a video game based on its attributes and context (type: confirm; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:40:54 PDT 2019,1,BatchId:3606394;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:40:54 PDT 2019,,,3FFJ6VRIL2AZ0S1BFS030BU75TYI0Q,A17TKHT8FEVH0R,Submitted,Sat Apr 13 19:20:06 PDT 2019,Sat Apr 13 19:31:40 PDT 2019,Sun Apr 28 19:31:40 PDT 2019,,,,694,0% (0/0),0% (0/0),0% (0/0),<b>The Elder Scrolls Online</b>,Year: <b>2014</b>,,Developer: <b>ZeniMax Online Studios</b>,ESRB content rating: <b>M (for Mature)</b>,,Genres: <b>MMORPG</b>,Player perspective: <b>third person</b>,,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,,name,release_year,platforms,name,genres,platforms,name,developer,release_year,name,developer,platforms,name,genres,has_mac_release,Are you talking about The Elder Scrolls Online which was released on PC in 2014?,You mean the PC MMORPG game The Elder Scrolls Online?,"The game Elder Scrolls Online, which was released by ZeniMax Online Studios in 2014?","Is it the PC game, The Elder Scrolls Online, which was developed by ZeniMax Online Studios?",Was it the MMORPG game The Elder Scrolls Online that was released on Mac?,,
3NRZ1LDP7WRLXFWB6FYDRN2FQGCPZY,3P2WBZVMLB8KVJONJI7XPDVR6BSZ91,Write 5 conversational responses about a video game based on its attributes and context (type: confirm; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:40:54 PDT 2019,1,BatchId:3606394;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:40:54 PDT 2019,,,3VD82FOHKRATQ67UP36SF9SUQRVCO9,A1198W1SPF1R4,Submitted,Sat Apr 13 20:24:05 PDT 2019,Sat Apr 13 20:47:15 PDT 2019,Sun Apr 28 20:47:15 PDT 2019,,,,1390,100% (1/1),100% (1/1),100% (1/1),<b>Heroes of Might and Magic III: The Restoration of Erathia</b>,Year: <b>1999</b>,,Developer: <b>Loki Software</b>,ESRB content rating: <b>E (for Everyone)</b>,,Genres: <b>turn-based strategy</b>,Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,no,name,release_year,genres,name,player_perspective,platforms,name,developer,has_multiplayer,name,has_mac_release,esrb,name,has_linux_release,available_on_steam,"Is that the Heroes of Might and Magic III: The Restoration of Erathia with turn-based strategy, released in 1999?","Do you mean Heroes of Might and Magic III: The Restoration of Erathia with a bird view, played on a PC?",Are you talking about Heroes of Might and Magic III: The Restoration of Erathia developed by Loki Software that has multiplayer?,Do you mean Heroes of Might and Magic III: The Restoration of Erathia with an E ESRB content rating that has been released on Mac?,Are you talking about the Heroes of Might and Magic III: The Restoration of Erathia that has been released on Linux and available on Steam?,,
