mr,ref
"suggest(name[Metro 2033], esrb[M (for Mature)], genres[action, role-playing, shooter])","What is your opinion on action shooter games with RPG elements rated M (for Mature), like Metro 2033?"
"suggest(name[Metro 2033], developer[4A Games], platforms[Xbox])",Do you also like any Xbox games by 4A Games such as Metro 2033?
"suggest(name[Metro 2033], release_year[2010], platforms[Xbox])","Just curious, have you enjoyed any Xbox games that came out in 2010, such as Metro 2033?"
"suggest(name[Metro 2033], genres[action, role-playing, shooter], has_multiplayer[no])","Do you enjoy role-playing action shooter games that have no multiplayer option, such as Metro 2033?"
"suggest(name[Metro 2033], release_year[2010], developer[4A Games])","Have you enjoyed any games by 4A Games that came out in 2010, such as the one called Metro 2033?"
"suggest(name[Small World 2], release_year[2010], developer[Days of Wonder])",Have you heard of the game by Days of Wonder that came out in 2010 called Small World 2?
"suggest(name[Small World 2], genres[indie, trivia/board game], has_multiplayer[yes])","Do you also like indie trivia/board games with multiplayer, such as Small World 2?"
"suggest(name[Small World 2], genres[indie, trivia/board game], platforms[PC])","Do you have a positive opinion on indie trivia/board games for PC, such as Small World 2?"
"suggest(name[Small World 2], release_year[2010], has_multiplayer[yes])","Do you enjoy any multiplayer games that came out in 2010, such as Small World 2?"
"suggest(name[Small World 2], developer[Days of Wonder], platforms[PC])","Do you enjoy PC games by Days of Wonder, you know, such as Small World 2?"
"suggest(name[The Sims], release_year[2000], developer[Maxis])","What do you think of games by Maxis from 2000, such as the game called The Sims?"
"suggest(name[The Sims], genres[simulation, strategy], platforms[PC])","Do you like to play strategy simulation games on PC, like The Sims?"
"suggest(name[The Sims], esrb[T (for Teen)], player_perspective[bird view])",Do you also like bird view games rated T (for Teen) such as The Sims?
"suggest(name[The Sims], platforms[PC], available_on_steam[no])","Do you think you would ever give a PC game a chance that you can't get on Steam, such as The Sims?"
"suggest(name[The Sims], release_year[2000], esrb[T (for Teen)])","Do you have a good experience with any teen rated games that came out in 2000, just like The Sims?"
"suggest(name[Worms: Reloaded], release_year[2010], platforms[PC])","Have you played any PC games that came out in 2010, for example Worms: Reloaded?"
"suggest(name[Worms: Reloaded], genres[action, platformer, strategy], player_perspective[side view])","Do you also enjoy side view platformers involving both action and strategy, such as Worms: Reloaded?"
"suggest(name[Worms: Reloaded], developer[Team17 Digital Ltd], available_on_steam[yes])","Have you played any games by Team17 Digital Ltd that are available on Steam, such as Worms: Reloaded?"
"suggest(name[Worms: Reloaded], player_perspective[side view], has_multiplayer[yes])","Are side view games with multiplayer any fun for you, you know, like Worms: Reloaded?"
"suggest(name[Worms: Reloaded], esrb[E 10+ (for Everyone 10 and Older)], genres[action, platformer, strategy])","Do you also like action-strategy platformers rated E 10+, such as Worms: Reloaded?"
"suggest(name[Rocket League], genres[sport, vehicular combat], player_perspective[third person])","Would you like to try any third person sports games involving vehicular combat, such as Rocket League?"
"suggest(name[Rocket League], release_year[2015], developer[Psyonix])","Have you tried playing any games by Psyonix that came out in 2015, like Rocket League?"
"suggest(name[Rocket League], esrb[E (for Everyone)], platforms[Xbox])","Do you also like Xbox games rated E (for Everyone), such as Rocket League?"
"suggest(name[Rocket League], release_year[2015], has_multiplayer[yes])","Do you remember enjoying any multiplayer games that came out in 2015, such as Rocket League?"
