mr,ref
"recommend(name[Metroid Prime Pinball], genres[pinball, puzzle])","I know you like pinball and puzzle games. Metroid Prime Pinball is both, have you tried it?"
"recommend(name[Metroid Prime Pinball], genres[pinball, puzzle])","Since we're on the subject of puzzle pinball games, it got me wondering, have you heard of Metroid Prime Pinball?"
"recommend(name[Metroid Prime Pinball], developer[Fuse Games])","Since you're into games developed by Fuse Games, I wonder if you've tried Metroid Prime Pinball yet."
"recommend(name[Metroid Prime Pinball], developer[Fuse Games])","If you like Fuse Games' work, I think you might like Metroid Prime Pinball. Do you know that game?"
"recommend(name[Metroid Prime Pinball], platforms[Nintendo])","Since you like Nintendo games, I wonder if you've ever played Metroid Prime Pinball."
"recommend(name[Metroid Prime Pinball], platforms[Nintendo])","And speaking of Nintendo games, have you heard of Metroid Prime Pinball?"
"recommend(name[Metroid Prime Pinball], esrb[E (for Everyone)])","Speaking of good E rated games, have you ever played Metroid Prime Pinball?"
"recommend(name[Metroid Prime Pinball], esrb[E (for Everyone)])",I know you need games rated E (for Everyone) so your whole family can play. Have you tried Metroid Prime Pinball?
"recommend(name[Metroid Prime Pinball], has_multiplayer[yes])","And speaking of games with multiplayer, have you ever heard of Metroid Prime Pinball?"
"recommend(name[Metroid Prime Pinball], has_multiplayer[yes])","Since you're into multiplayer games, have you checked out Metroid Prime Pinball?"
"recommend(name[The Forest of Doom], genres[role-playing, text adventure])","Since we're on the subject of text adventure RPGs, have you ever played The Forest of Doom?"
"recommend(name[The Forest of Doom], genres[role-playing, text adventure])",I was wondering if you've also tried the text adventure role-playing game The Forest of Doom.
"recommend(name[The Forest of Doom], platforms[PC])","Since you're a PC gamer, have you tried The Forest of Doom?"
"recommend(name[The Forest of Doom], platforms[PC])","So, as long as we're bringing up PC games, I was curious, have you played The Forest of Doom?"
"recommend(name[The Forest of Doom], has_mac_release[yes])","Since you've got a Mac, I wonder if you've tried The Forest of Doom yet?"
"recommend(name[The Forest of Doom], has_mac_release[yes])","If you like Mac games, you should give The Forest of Doom a try. Have you heard of it before?"
"recommend(name[The Forest of Doom], available_on_steam[yes])",You seem to have a bunch of Steam games. Have you tried The Forest of Doom?
"recommend(name[The Forest of Doom], available_on_steam[yes])","Since you're fond of games on Steam, have you heard of The Forest of Doom?"
"recommend(name[The Forest of Doom], developer[Tin Man Games])",Tin Man Games also made The Forest of Doom. Have you played that game?
"recommend(name[The Forest of Doom], developer[Tin Man Games])","Have you heard of The Forest of Doom, developed by Tin Man Games?"
"recommend(name[The Witcher 3: Wild Hunt], esrb[M (for Mature)])","I know you're into M rated games. So, have you checked out The Witcher 3: Wild Hunt yet?"
"recommend(name[The Witcher 3: Wild Hunt], esrb[M (for Mature)])","Oh, on the topic of M rated games, The Witcher 3: Wild Hunt is absolutely amazing. Have you played it?"
"recommend(name[The Witcher 3: Wild Hunt], platforms[Xbox])",I know you love Xbox games. Have you tried The Witcher 3: Wild Hunt yet?
"recommend(name[The Witcher 3: Wild Hunt], platforms[Xbox])","Considering you've got an Xbox, you've gotta play The Witcher 3: Wild Hunt. You must have heard of it, haven't you?"
"recommend(name[The Witcher 3: Wild Hunt], player_perspective[third person])","Speaking of third person perspective games, have you tried The Witcher 3: Wild Hunt?"
"recommend(name[The Witcher 3: Wild Hunt], player_perspective[third person])","And speaking of games with a third person perspective, have you played The Witcher 3: Wild Hunt?"
"recommend(name[The Witcher 3: Wild Hunt], developer[CD Projekt RED])","Since you like games by CD Projekt RED, I'm wondering if you've played The Witcher 3: Wild Hunt."
"recommend(name[The Witcher 3: Wild Hunt], developer[CD Projekt RED])",The best game I know developed by CD Projekt RED is The Witcher 3: Wild Hunt. Have you ever played it?
"recommend(name[The Witcher 3: Wild Hunt], genres[action-adventure, role-playing])","So, since we're talking about action-adventure RPGs, I've gotta ask, have you played The Witcher 3: Wild Hunt?"
"recommend(name[The Witcher 3: Wild Hunt], genres[action-adventure, role-playing])","I know you're into role-playing games, so I wonder if you've tried the action-adventure RPG The Witcher 3: Wild Hunt."
"recommend(name[Transport Tycoon], genres[simulation, strategy])","On the topic of simulation strategy games, have you tried Transport Tycoon?"
"recommend(name[Transport Tycoon], genres[simulation, strategy])","Since you're into simulation strategy games, have you tried the game Transport Tycoon?"
"recommend(name[Transport Tycoon], developer[Chris Sawyer])","Since you like other games developed by Chris Sawyer, I wonder if you've ever played Transport Tycoon."
"recommend(name[Transport Tycoon], developer[Chris Sawyer])","Since you play games developed by Chris Sawyer, I wonder, have you played Transport Tycoon?"
"recommend(name[Transport Tycoon], available_on_steam[no])","I know you don't care about getting games on Steam, so I wonder if you have tried Transport Tycoon."
"recommend(name[Transport Tycoon], available_on_steam[no])","And speaking of games that actually don't have a Steam release, are you familiar with Transport Tycoon?"
"recommend(name[Transport Tycoon], release_year[1994])",I think you might like the 1994 game Transport Tycoon. Have you ever heard of it?
"recommend(name[Transport Tycoon], release_year[1994])","I know older games are pretty hit or miss, but I think you'd love 1994's Transport Tycoon. You heard of it?"
"recommend(name[Transport Tycoon], has_multiplayer[no])","You don't seem to be into multiplayer games, so tell me, have you heard of the single-player game Transport Tycoon?"
"recommend(name[Transport Tycoon], has_multiplayer[no])","There are plenty of single-player only games out there, but have you gotten a chance to play Transport Tycoon?"
"recommend(name[Madden NFL 15], genres[simulation, sport])","I know you like simulation sports games, and I wonder if you've heard of Madden NFL 15."
"recommend(name[Madden NFL 15], genres[simulation, sport])","I know you're a fan of sports simulation games, and let me tell you, Madden NFL 15 is an exemplar of the genre. You must've heard of it, haven't you?"
"recommend(name[Madden NFL 15], player_perspective[third person])","Since you like third person perspective games, have you tried Madden NFL 15?"
"recommend(name[Madden NFL 15], player_perspective[third person])","If you're a fan of third person games, you've gotta play Madden NFL 15. Have you heard of that one?"
"recommend(name[Madden NFL 15], platforms[PlayStation])","Since you've gotten yourself a PlayStation, have you tried Madden NFL 15 on it?"
"recommend(name[Madden NFL 15], platforms[PlayStation])","If you like PlayStation games, you should try out Madden NFL 15. Have you heard anything about this game?"
"recommend(name[Madden NFL 15], release_year[2014])","Speaking of cool stuff released in 2014, have you played Madden NFL 15?"
"recommend(name[Madden NFL 15], release_year[2014])","And for yet another game that came out in 2014 that you might be interested in, have you ever heard of Madden NFL 15?"
