mr,ref
"name[Blue Spice], eattype[coffee shop], area[city centre]",A coffee shop in the city centre area called Blue Spice.
"name[Blue Spice], eattype[coffee shop], area[city centre]",Blue Spice is a coffee shop in city centre.
"name[Blue Spice], eattype[coffee shop], area[riverside]",There is a coffee shop Blue Spice in the riverside area.
"name[Blue Spice], eattype[coffee shop], area[riverside]","At the riverside, there is a coffee shop called The Blue Spice."
"name[Blue Spice], eattype[coffee shop], customerrating[5 out of 5], near[Crowne Plaza Hotel]",The coffee shop Blue Spice is based near Crowne Plaza Hotel and has a high customer rating of 5 out of 5.
"name[Blue Spice], eattype[coffee shop], customerrating[5 out of 5], near[Crowne Plaza Hotel]","The Blue Spice coffee shop, near Crowne Plaza Hotel, has a customer rating of 5 out of 5."
"name[Blue Spice], eattype[coffee shop], customerrating[5 out of 5], near[Crowne Plaza Hotel]",If you want a coffee shop rated 5 out of 5 pick Blue Spice. It is located near Crowne Plaza Hotel.
"name[Blue Spice], eattype[coffee shop], customerrating[5 out of 5]",If you want a coffee shop rated 5 out of 5 pick Blue Spice.
"name[Blue Spice], eattype[coffee shop], customerrating[average], near[Burger King]",Burger King is near the coffee shop Blue Spice which has an average customer rating.
"name[Blue Spice], eattype[coffee shop], customerrating[average], near[Burger King]","The Blue Spice coffee shop near Burger King has good customer ratings with excellent food and service, with a lovely atmosphere."
"name[Blue Spice], eattype[coffee shop], customerrating[average], near[Burger King]",Average customer rating coffee shop include Blue Spice near Burger King.
"name[Blue Spice], eattype[coffee shop], customerrating[average], near[Burger King]",The Blue Spice coffee shop located near Burger King has been rated average by customers.
"name[Blue Spice], eattype[coffee shop], customerrating[average], near[Burger King]",Located near Burger King is a coffee shop named Blue Spice that has an average customer rating.
"name[Blue Spice], eattype[coffee shop], customerrating[average], near[Burger King]",Near Burger King is a coffee shop called Blue Spice which has an average customer rating.
"name[Blue Spice], eattype[coffee shop], customerrating[average], near[Burger King]",Near Burger King is the Blue Spice coffee shop. It has average customer ratings.
"name[Blue Spice], eattype[coffee shop], near[Burger King]",Near Burger King is the Blue Spice coffee shop.
"name[Blue Spice], eattype[coffee shop], customerrating[average], near[Crowne Plaza Hotel]",Crowne Plaza Hotel has a coffee shop nearby with an average customer rating called Blue Spice.
"name[Blue Spice], eattype[pub], area[city centre]",A pub in the city centre area called Blue Spice.
"name[Blue Spice], eattype[pub], area[city centre]",Blue Spice is a pub in city centre.
"name[Blue Spice], eattype[pub], area[riverside]",There is a pub Blue Spice in the riverside area.
"name[Blue Spice], eattype[pub], area[riverside]","At the riverside, there is a pub called The Blue Spice."
"name[Blue Spice], eattype[pub], customerrating[5 out of 5], near[Crowne Plaza Hotel]",The pub Blue Spice is based near Crowne Plaza Hotel and has a high customer rating of 5 out of 5.
"name[Blue Spice], eattype[pub], customerrating[5 out of 5], near[Crowne Plaza Hotel]","The Blue Spice pub, near Crowne Plaza Hotel, has a customer rating of 5 out of 5."
"name[Blue Spice], eattype[pub], customerrating[5 out of 5], near[Crowne Plaza Hotel]",If you want a pub rated 5 out of 5 pick Blue Spice. It is located near Crowne Plaza Hotel.
"name[Blue Spice], eattype[pub], customerrating[5 out of 5]",If you want a pub rated 5 out of 5 pick Blue Spice.
"name[Blue Spice], eattype[pub], customerrating[average], near[Burger King]",Burger King is near the pub Blue Spice which has an average customer rating.
"name[Blue Spice], eattype[pub], customerrating[average], near[Burger King]","The Blue Spice pub near Burger King has good customer ratings with excellent food and service, with a lovely atmosphere."
"name[Blue Spice], eattype[pub], customerrating[average], near[Burger King]",Average customer rating pub include Blue Spice near Burger King.
"name[Blue Spice], eattype[pub], customerrating[average], near[Burger King]",The Blue Spice pub located near Burger King has been rated average by customers.
"name[Blue Spice], eattype[pub], customerrating[average], near[Burger King]",Located near Burger King is a pub named Blue Spice that has an average customer rating.
"name[Blue Spice], eattype[pub], customerrating[average], near[Burger King]",Near Burger King is a pub called Blue Spice which has an average customer rating.
"name[Blue Spice], eattype[pub], customerrating[average], near[Burger King]",Near Burger King is the Blue Spice pub. It has average customer ratings.
"name[Blue Spice], eattype[pub], near[Burger King]",Near Burger King is the Blue Spice pub.
"name[Blue Spice], eattype[pub], customerrating[average], near[Crowne Plaza Hotel]",Crowne Plaza Hotel has a pub nearby with an average customer rating called Blue Spice.
"name[Blue Spice], eattype[pub], food[Chinese], area[city centre]",A pub named Blue Spice is located in the city centre.
"name[Blue Spice], eattype[pub], food[Chinese], area[city centre]","The Blue Spice is a pub that also serves Chinese food, it's located in the city center."
"name[Blue Spice], eattype[pub], food[Chinese], area[city centre]",There is a pub Blue Spice located in the centre of the city that provides Chinese food.
area[city centre],located in the city center.
"name[Blue Spice], eattype[pub], food[Chinese], area[city centre]",Blue Spice is a pub located in the city centre.
"name[Blue Spice], eattype[pub], food[Chinese], area[city centre]",Blue Spice is a pub providing Chinese food It is located in the city centre.
"name[Blue Spice], eattype[pub], food[Chinese], area[city centre]",Blue Spice is a pub providing Chinese food It is located in the city centre.
"name[Blue Spice], food[Chinese]","For Chinese, head to Blue Spice."
"name[Blue Spice], eattype[pub], food[Chinese]",Blue Spice is a fusion pub and Chinese.
"eattype[pub], area[riverside], familyfriendly[no], near[Rainbow Vegetarian Café]",There is a non-family friendly pub along the riverside and near Rainbow Vegetarian Café.
"name[Blue Spice], eattype[pub], food[Chinese], area[riverside]",Blue Spice pub in riverside serves Chinese food.
"name[Blue Spice], eattype[pub], food[Chinese], area[riverside]",Blue Spice is a pub providing Chinese food It is located in the riverside.
