mr,ref
"inform(name[__slot_con_name__], releaseyear[2012], esrb[e 10+ ( for everyone 10 and older )], genres[driving/racing , sport], platforms[playstation , xbox , pc], availableonsteam[no], haslinuxrelease[no], hasmacrelease[no])","Dirt: Showdown from 2012 is a sport racing game for the PlayStation, Xbox, PC rated E 10+ (for Everyone 10 and Older). It's not available on Steam, Linux, or Mac."
"inform(name[__slot_con_name__], releaseyear[2012], esrb[e 10+ ( for everyone 10 and older )], genres[driving/racing , sport], platforms[playstation , xbox , pc], availableonsteam[no], haslinuxrelease[no], hasmacrelease[no])","Dirt: Showdown is a sport racing game that was released in 2012. The game is available on PlayStation, Xbox, and PC, and it has an ESRB Rating of E 10+ (for Everyone 10 and Older). However, it is not yet available as a Steam, Linux, or Mac release."
"inform(name[__slot_con_name__], releaseyear[2012], esrb[e 10+ ( for everyone 10 and older )], genres[driving/racing , sport], platforms[playstation , xbox , pc], availableonsteam[no], haslinuxrelease[no], hasmacrelease[no])","Dirt: Showdown is a driving/racing sport game released in 2012. It is rated E 10+, and is available on PlayStation, Xbox and PC, but not on Steam, Mac, or Linux."
"request(releaseyear[2014], specifier[terrible])",Were there even any terrible games in 2014?
"request(releaseyear[2014], specifier[terrible])",What's the most terrible game that you played in the year 2014?
"request(releaseyear[2014], specifier[terrible])",What's a truly terrible game released in 2014 that you know of?
"give_opinion(name[__slot_con_name__], rating[good], genres[adventure , platformer , puzzle], playerperspective[side view])","Adventure games that combine platforming and puzzles can be frustrating to play, but the side view perspective is perfect for them. That's why I enjoyed playing Little Nightmares."
"give_opinion(name[__slot_con_name__], rating[good], genres[adventure , platformer , puzzle], playerperspective[side view])",Little Nightmares is a pretty cool game that has kept me entertained. It's an adventure side-scrolling platformer with some puzzle elements to give me a bit of a challenge.
"give_opinion(name[__slot_con_name__], rating[good], genres[adventure , platformer , puzzle], playerperspective[side view])","Little Nightmares is a good little adventure platforming puzzle game, I particularly enjoy what they did with the side view too."
"inform(name[__slot_con_name__], releaseyear[1993], genres[action , strategy], platforms[nintendo , pc], availableonsteam[no], haslinuxrelease[no], hasmacrelease[no])","Super Bomberman is an action and strategy game from 1993 for Nintendo consoles and PC only. It's an older console game that is, unfortunately, not available to play on Steam and does not offer support for Mac or Linux."
"inform(name[__slot_con_name__], releaseyear[1993], genres[action , strategy], platforms[nintendo , pc], availableonsteam[no], haslinuxrelease[no], hasmacrelease[no])","Super Bomberman is an action strategy game that came out in 1993 for Nintendo and PC only. This title is not available on either Steam, Linux, or Mac."
"inform(name[__slot_con_name__], releaseyear[1993], genres[action , strategy], platforms[nintendo , pc], availableonsteam[no], haslinuxrelease[no], hasmacrelease[no])","Super Bomberman was released in 1993 on Nintendo and PC only. It is not available on Steam, Linux or Mac. It is an action strategy game."
"inform(name[__slot_con_name__], genres[driving/racing , sport], playerperspective[first person , third person], hasmultiplayer[yes], platforms[playstation , xbox , pc], availableonsteam[no])","The multiplayer sport racing game, Dirt: Showdown, offers both first and third person perspectives. The game is available on PlayStation, Xbox and PC but not on Steam."
"inform(name[__slot_con_name__], genres[driving/racing , sport], playerperspective[first person , third person], hasmultiplayer[yes], platforms[playstation , xbox , pc], availableonsteam[no])","Dirt: Showdown is a multiplayer sport racing game for PlayStation, Xbox, and PC only. There is no Steam release. You can play from both the first and third person perspective."
"inform(name[__slot_con_name__], genres[driving/racing , sport], playerperspective[first person , third person], hasmultiplayer[yes], platforms[playstation , xbox , pc], availableonsteam[no])","Dirt: Showdown is a sport racing game that is available for PlayStation, Xbox, and PC. It is not available on Steam. The game has multiplayer available, and can be played either from a first person or a third person perspective."
"confirm(name[__slot_con_name__], genres[adventure , indie , point-and-click], playerperspective[first person])","Are you referring to Layers of Fear, the first person indie point-and-click adventure game?"
"confirm(name[__slot_con_name__], genres[adventure , indie , point-and-click], playerperspective[first person])",Is the Layers of Fear you mentioned the first person indie point-and-click adventure game?
"confirm(name[__slot_con_name__], genres[adventure , indie , point-and-click], playerperspective[first person])","Layers of Fear, the indie first person point-and-click adventure game?"
"inform(name[__slot_con_name__], developer[__slot_con_developer__], rating[average], genres[driving/racing , simulation], hasmultiplayer[no], platforms[playstation , pc], availableonsteam[no])","Driver is a driving simulator that was released on PlayStation and PC by the developer Reflections Interactive with average reviews. There's no multiplayer, and it's not available on Steam."
"inform(name[__slot_con_name__], developer[__slot_con_developer__], rating[average], genres[driving/racing , simulation], hasmultiplayer[no], platforms[playstation , pc], availableonsteam[no])","Driver is a driving simulation game developed by Reflections Interactive which received average reviews. It has no multiplayer, but is available on PlayStation and PC. The game is not available on Steam."
"inform(name[__slot_con_name__], developer[__slot_con_developer__], rating[average], genres[driving/racing , simulation], hasmultiplayer[no], platforms[playstation , pc], availableonsteam[no])","Driver, by Reflections Interactive, is a single-player driving simulator with average ratings. It is available on PlayStation and PC. It is not available on Steam."
"inform(name[__slot_con_name__], releaseyear[2017], rating[poor], genres[real-time strategy , role-playing], platforms[pc], availableonsteam[yes])",SpellForce 3 is a poor real-time strategy that came out in 2017 for PC only. The role-playing game is also on Steam.
"inform(name[__slot_con_name__], releaseyear[2017], rating[poor], genres[real-time strategy , role-playing], platforms[pc], availableonsteam[yes])","SpellForce 3 is a real-time strategy, role-playing PC game available on Steam. It was released in 2017 and is rated poorly."
"inform(name[__slot_con_name__], releaseyear[2017], rating[poor], genres[real-time strategy , role-playing], platforms[pc], availableonsteam[yes])",SpellForce 3 is a poorly-rated role-playing real-time strategy game. It was released in 2017 for PC. You can get it through Steam.
"verify_attribute(name[__slot_vow_name__], rating[excellent], hasmultiplayer[yes])","Is playing multiplayer games something you're always up to, or was Uncharted 4: A Thief's End an unusually good one?"
"verify_attribute(name[__slot_vow_name__], rating[excellent], hasmultiplayer[yes])",I know you thought that Uncharted 4: A Thief's End was a truly excellent game. Do you also love other games that have a multiplayer option?
"verify_attribute(name[__slot_vow_name__], rating[excellent], hasmultiplayer[yes])",You've told me before that you love Uncharted 4: A Thief's End. Is that because you enjoy multiplayer games?
"suggest(name[__slot_con_name__], availableonsteam[yes])","I bet you like it when you can play games on Steam, like Worms: Reloaded, right?"
"suggest(name[__slot_con_name__], availableonsteam[yes])","Have you ever played a game on Steam, such as Worms: Reloaded?"
"suggest(name[__slot_con_name__], availableonsteam[yes])","Do you enjoy other games on Steam, I don't know, like Worms: Reloaded?"
"verify_attribute(name[__slot_con_det_name__], esrb[e ( for everyone )], rating[excellent], platforms[nintendo])",You said you loved The Legend of Zelda: Ocarina of Time. Do you often tend to play similar Nintendo games that are also rated E?
"verify_attribute(name[__slot_con_det_name__], esrb[e ( for everyone )], rating[excellent], platforms[nintendo])",I recall you saying that you really enjoyed The Legend of Zelda: Ocarina of Time. Are you typically a big fan of games on Nintendo rated E (for Everyone)?
"verify_attribute(name[__slot_con_det_name__], esrb[e ( for everyone )], rating[excellent], platforms[nintendo])","So since you mentioned that you absolutely loved The Legend of Zelda: Ocarina of Time, it got me curious about something. Do you also love Nintendo's lineup of other E rated games?"
"request_explanation(releaseyear[2005], rating[excellent])",So what is it about the games that were released in 2005 that you find so excellent?
"request_explanation(releaseyear[2005], rating[excellent])",What is it about 2005's games that you think are so great?
"request_explanation(releaseyear[2005], rating[excellent])",What is it about games released in 2005 that makes you think it's such a fantastic year for video games?
"inform(name[__slot_con_name__], releaseyear[2017], genres[driving/racing], playerperspective[third person], hasmultiplayer[yes], platforms[playstation , xbox , pc], haslinuxrelease[no], hasmacrelease[no])","Need for Speed: Payback was released in 2017 on PlayStation, Xbox and PC. It wasn't released on Linux or Mac. It is a third person driving racing game that you can be play together with your friends."
"inform(name[__slot_con_name__], releaseyear[2017], genres[driving/racing], playerperspective[third person], hasmultiplayer[yes], platforms[playstation , xbox , pc], haslinuxrelease[no], hasmacrelease[no])","I have recently played Need for Speed: Payback, a third person racing game whose multiplayer mode allows you to play with your friends online. It was released for PlayStation, Xbox, and PC in 2017, but has no Linux or Mac release."
"inform(name[__slot_con_name__], releaseyear[2017], genres[driving/racing], playerperspective[third person], hasmultiplayer[yes], platforms[playstation , xbox , pc], haslinuxrelease[no], hasmacrelease[no])","Need for Speed: Payback is a third person driving/racing game with a multiplayer mode. It came out in 2017 for PlayStation, Xbox, and PC, but it is not available on Mac or Linux."
"inform(name[__slot_con_name__], releaseyear[2002], rating[excellent], genres[real-time strategy], playerperspective[bird view], hasmultiplayer[yes])",Warcraft III: Reign of Chaos received excellent reviews when it was released in 2002. It really raised the bar for multiplayer bird's eye perspective RTS games.
"inform(name[__slot_con_name__], releaseyear[2002], rating[excellent], genres[real-time strategy], playerperspective[bird view], hasmultiplayer[yes])",Warcraft III: Reign of Chaos is an excellent multiplayer real-time strategy game with a bird's eye perspective. It came out in 2002.
"inform(name[__slot_con_name__], releaseyear[2002], rating[excellent], genres[real-time strategy], playerperspective[bird view], hasmultiplayer[yes])",Warcraft III: Reign of Chaos is a real-time strategy game with bird's eye view player perspective and multiplayer. It was released in 2002 and received excellent reviews.
"request_explanation(developer[__slot_con_developer__], rating[excellent], genres[adventure , hack-and-slash , indie])",What is it about Ninja Theory's indie hack-and-slash adventure games that you find so unique?
"request_explanation(developer[__slot_con_developer__], rating[excellent], genres[adventure , hack-and-slash , indie])",Is there something special about Ninja Theory's indie hack-and-slash adventure games that makes you find them so appealing?
"request_explanation(developer[__slot_con_developer__], rating[excellent], genres[adventure , hack-and-slash , indie])",Why do you think that Ninja Theory's indie hack-and-slash adventure games are some of the best you ever played?
"inform(name[__slot_vow_name__], releaseyear[2016], developer[__slot_con_developer__], rating[excellent], genres[action-adventure , shooter], playerperspective[third person], platforms[playstation])","Uncharted 4: A Thief's End, by Naughty Dog came out 2016 with excellent ratings. It's an action-adventure third person shooter game exclusively for the PlayStation platform."
"inform(name[__slot_vow_name__], releaseyear[2016], developer[__slot_con_developer__], rating[excellent], genres[action-adventure , shooter], playerperspective[third person], platforms[playstation])","If you're looking for an excellent third person, action-adventure shooter, you should try Naughty Dog's Uncharted 4: A Thief's End from 2016. It's available on PlayStation."
"inform(name[__slot_vow_name__], releaseyear[2016], developer[__slot_con_developer__], rating[excellent], genres[action-adventure , shooter], playerperspective[third person], platforms[playstation])","Uncharted 4: A Thief's End is an excellent third person action-adventure with shooter elements that came out in 2016. It was released as a PlayStation exclusive by the developer, Naughty Dog."
"suggest(name[__slot_con_det_name__], genres[simulation , strategy], platforms[pc])","I'm curious, have you ever played any strategy simulators for the PC, such as The Sims?"
"suggest(name[__slot_con_det_name__], genres[simulation , strategy], platforms[pc])","Do you like to play strategy simulation games on PC, like The Sims?"
"suggest(name[__slot_con_det_name__], genres[simulation , strategy], platforms[pc])",Do you also like PC simulation strategy games like The Sims?
"request_explanation(rating[good], hasmultiplayer[yes])",What about multiplayer games do you find enjoyable?
"request_explanation(rating[good], hasmultiplayer[yes])",You like multiplayer games quite a bit. Can you tell me why that is?
"request_explanation(rating[good], hasmultiplayer[yes])","So I'm curious, why is it you seem to enjoy multiplayer games?"
"inform(name[__slot_con_name__], developer[__slot_con_developer__], rating[poor], genres[adventure , indie , point-and-click], playerperspective[first person])","Layers of Fear is an adventure point-and-click indie game that the Bloober Team developed with first person support, though it's received some poor ratings."
"inform(name[__slot_con_name__], developer[__slot_con_developer__], rating[poor], genres[adventure , indie , point-and-click], playerperspective[first person])","Layers of Fear is a poorly reviewed indie point-and-click, first person adventure game developed by Bloober Team."
"inform(name[__slot_con_name__], developer[__slot_con_developer__], rating[poor], genres[adventure , indie , point-and-click], playerperspective[first person])",Layers of Fear is a poor indie adventure game by Bloober Team. The point-and-click is in first person only.
"confirm(name[__slot_con_name__], playerperspective[side view], availableonsteam[yes])","Are you talking about the side view game Worms: Reloaded, the one that is available on Steam?"
"confirm(name[__slot_con_name__], playerperspective[side view], availableonsteam[yes])","Do you mean the Worms: Reloaded with a side view, released on Steam?"
"confirm(name[__slot_con_name__], playerperspective[side view], availableonsteam[yes])",Is the Worms: Reloaded you mentioned the one on Steam with the side view perspective?
"inform(name[__slot_con_name__], releaseyear[1990], esrb[e ( for everyone )], rating[excellent], genres[platformer], playerperspective[side view], hasmultiplayer[yes], platforms[nintendo])",Super Mario World is an excellent platformer that came out in 1990 for Nintendo only. This game is rated E (for Everyone) and has a side view perspective. You can also play multiplayer.
"inform(name[__slot_con_name__], releaseyear[1990], esrb[e ( for everyone )], rating[excellent], genres[platformer], playerperspective[side view], hasmultiplayer[yes], platforms[nintendo])","Super Mario World is an excellent 1990 Nintendo platformer. It is a side view game game with multiplayer, and it is rated E (for Everyone)."
"inform(name[__slot_con_name__], releaseyear[1990], esrb[e ( for everyone )], rating[excellent], genres[platformer], playerperspective[side view], hasmultiplayer[yes], platforms[nintendo])",Super Mario World is an excellent platformer game that is played in the side view. It was released in 1990 on Nintendo and is rated E (for Everyone). It can be played multiplayer.
"inform(name[__slot_con_name__], rating[excellent], genres[real-time strategy], hasmultiplayer[yes])",Warcraft III: Reign of Chaos is a multiplayer real-time strategy game that has received excellent ratings.
"inform(name[__slot_con_name__], rating[excellent], genres[real-time strategy], hasmultiplayer[yes])","For an excellent real-time strategy with multiplayer, check out Warcraft III: Reign of Chaos."
"inform(name[__slot_con_name__], rating[excellent], genres[real-time strategy], hasmultiplayer[yes])","Warcraft III: Reign of Chaos is an excellent multiplayer real-time strategy game, a must have for any gamer."
