HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Answer.feedback,Answer.selected_attr11,Answer.selected_attr12,Answer.selected_attr13,Answer.selected_attr21,Answer.selected_attr22,Answer.selected_attr23,Answer.selected_attr31,Answer.selected_attr32,Answer.selected_attr33,Answer.selected_attr41,Answer.selected_attr42,Answer.selected_attr43,Answer.selected_attr51,Answer.selected_attr52,Answer.selected_attr53,Answer.utterance1,Answer.utterance2,Answer.utterance3,Answer.utterance4,Answer.utterance5,Approve,Reject
308KJXFUJRRIOZHAB4RYF4C36ZGATF,3UMLY1W0PZVLS5184K63O2G87CS7KC,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 23:16:52 PDT 2019,1,BatchId:3606619;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 23:16:52 PDT 2019,,,3SUWZRL0MZZIYYL4LYQTOX66Q5FE6K,A2EED3HLTA96CP,Submitted,Sun Apr 14 05:14:03 PDT 2019,Sun Apr 14 05:30:40 PDT 2019,Mon Apr 29 05:30:40 PDT 2019,,,,997,100% (1/1),100% (1/1),100% (1/1),<b>The Elder Scrolls V: Skyrim</b>,Year: <b>2011</b>,,Developer: <b>Bethesda Game Studios</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,"Genres: <b>adventure, role-playing</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>PlayStation</b>,,,,,name,rating,platforms,name,rating,developer,name,rating,player_perspective,name,rating,genres,name,rating,esrb,I seem to recall that you enjoyed The Elder Scrolls V: Skyrim. Do you prefer to play games on the PlayStation?,I remember that you enjoyed The Elder Scrolls V: Skyrim.  Do you enjoy other games developed by Bethesda Game Studios?,I seem to recall that you thought The Elder Scrolls V: Skyrim was pretty good. Do you generally enjoy games with the  first person perspective?,I do recall that you enjoyed The Elder Scrolls V: Skyrim.  Do you generally like adventure/role-playing games?,I know you thought that the M-rated Elder Scrolls V: Skyrim was good. Do you generally prefer games that have the M (for Mature) rating?,,
33EEIIWHK7SPO7SG5VOZ6MFT72HVQM,3UMLY1W0PZVLS5184K63O2G87CS7KC,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 23:16:52 PDT 2019,1,BatchId:3606619;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 23:16:52 PDT 2019,,,3OUYGIZWR8KRHEOFSNQN98VJR9VP0F,AGRKG3YT3KMD8,Submitted,Sun Apr 14 05:30:53 PDT 2019,Sun Apr 14 05:36:02 PDT 2019,Mon Apr 29 05:36:02 PDT 2019,,,,309,100% (2/2),100% (2/2),100% (2/2),<b>Transport Tycoon</b>,Year: <b>1994</b>,,Developer: <b>Chris Sawyer</b>,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>average</b>,"Genres: <b>simulation, strategy</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,name,rating,developer,name,rating,has_multiplayer,name,rating,release_year,name,rating,has_mac_release,name,rating,platforms,I see that you're so-so about Transport Tycoon. Is this your opinion for all games from Chris Sawyer?,You clearly are ambivalent about Transport Tycoon. Is this because it doesn't have multiplayer?,Before you told me that you have a somewhat take it or leave it attitude toward Transport Tycoon. Is this the case for all games from 1994?,I've heard you're nonplussed about Transport Tycoon. Is this the case for all games that don't have a mac release?,You seem kind of ambivalent about Transport Tycoon. Is this because it's only on PC?,,
3VJ4PFXFJ3SXOCWZB9H8K0Y5PDNAU6,3UMLY1W0PZVLS5184K63O2G87CS7KC,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 23:16:52 PDT 2019,1,BatchId:3606619;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 23:16:52 PDT 2019,,,3ZOTGHDK5JX9XNWQMPWSUEWCCWHOSJ,A2EED3HLTA96CP,Submitted,Sun Apr 14 04:58:10 PDT 2019,Sun Apr 14 05:14:03 PDT 2019,Mon Apr 29 05:14:03 PDT 2019,,,,953,100% (1/1),100% (1/1),100% (1/1),<b>BioShock</b>,Year: <b>2007</b>,,Developer: <b>2K Boston</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,"Genres: <b>action-adventure, role-playing, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>Xbox</b>,,,,,name,rating,platforms,name,rating,esrb,name,rating,genres,name,rating,has_multiplayer,name,rating,player_perspective,I believe that you said you liked  BioShock. Do you in general like to play games developed by 2K Boston?,I believe that you said you liked BioShock. Do you generally like games rated for Mature audiences?,I remember that you liked BioShock. Do you generally enjoy action-adventure games?,I seem to recall that you liked BioShock. Do you like single player games in general?,I know that BioShock is a game you like. Do you prefer games having the first-person player perspective?,,
3HEADTGN2PDP087GIADZBCPY3OJVRN,3UMLY1W0PZVLS5184K63O2G87CS7KC,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 23:16:52 PDT 2019,1,BatchId:3606619;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 23:16:52 PDT 2019,,,3S06PH7KSSQIZ667JX3SNJX4II41DM,A1198W1SPF1R4,Submitted,Sun Apr 14 08:44:44 PDT 2019,Sun Apr 14 09:15:20 PDT 2019,Mon Apr 29 09:15:20 PDT 2019,,,,1836,0% (0/0),0% (0/0),0% (0/0),<b>Small World 2</b>,Year: <b>2010</b>,,Developer: <b>Days of Wonder</b>,,Liking: <b>poor</b>,"Genres: <b>indie, trivia/board game</b>",,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,no,name,rating,developer,name,rating,genres,name,rating,has_multiplayer,name,rating,has_linux_release,name,rating,available_on_steam,I remember you once told me that you didn't like Small World 2. Does it mean that in general you don't like to play games developed by Days of Wonder?,"If I remember correctly, you didn't like Small World 2. Does it mean that you don't enjoy indie trivia/board games in general?",I remember you told me earlier that you did not like Small World 2. Is it true that you don't like to play games with multiplayer mode in general?,Previously you told me that you did not like Small World 2. Does it mean that you don't enjoy to play games that are run on Linux in general?,"If I remember correctly, you told me earlier that you didn't like Small World 2. Do you in general not like to play games that can be played on Steam?",,
3AQN9REUTF1C3SJG5K5ZDMCO64UYDT,3UMLY1W0PZVLS5184K63O2G87CS7KC,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 23:16:52 PDT 2019,1,BatchId:3606619;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 23:16:52 PDT 2019,,,32EYX73OY1VS9DGA3M8W3AJ58GNURF,AGRKG3YT3KMD8,Submitted,Sun Apr 14 05:39:07 PDT 2019,Sun Apr 14 05:42:20 PDT 2019,Mon Apr 29 05:42:20 PDT 2019,,,,193,100% (2/2),100% (2/2),100% (2/2),<b>Skyforge</b>,Year: <b>2015</b>,,Developer: <b>Allods Online</b>,,Liking: <b>poor</b>,"Genres: <b>adventure, hack-and-slash, MMORPG</b>",Player perspective: <b>third person</b>,,Platform: <b>Xbox</b>,,,,,name,rating,release_year,name,rating,player_perspective,name,rating,developer,name,rating,platforms,name,rating,genres,You said you did not really like Skyforge. Is that the case for all games released in 2015?,"If my memory is right, you said you didn't like Skyforge. Is that the case for all third person games?",You told me you dislike Skyforge. Do you generally dislike Allods Online games?,You told me that you don't like Skyforge. Is that also the case for other Xbox games?,You said you were not really into Skyforge. Is that also true for other MMORPG games?,,
3L4YG5VW9ND95HOP9OIL012NOGPDD1,3UMLY1W0PZVLS5184K63O2G87CS7KC,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 23:16:52 PDT 2019,1,BatchId:3606619;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 23:16:52 PDT 2019,,,33PPO7FECW1TZC25R4OYFIEQZK9DIK,AGRKG3YT3KMD8,Submitted,Sun Apr 14 05:36:02 PDT 2019,Sun Apr 14 05:39:06 PDT 2019,Mon Apr 29 05:39:06 PDT 2019,,,,184,100% (2/2),100% (2/2),100% (2/2),<b>World of Warcraft</b>,Year: <b>2004</b>,,Developer: <b>Blizzard Entertainment</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>good</b>,"Genres: <b>adventure, MMORPG</b>",Player perspective: <b>third person</b>,,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,,name,rating,platforms,name,rating,has_mac_release,name,rating,player_perspective,name,rating,developer,name,rating,genres,You said you liked World of Warcraft. Is that your opinion for all PC games?,You previously told me you liked World of Warcraft. Is that the case for all games that have a Mac port?,"You said you liked World of Warcraft, and so is that also the case for all third person games?",You just said that you liked World of Warcraft. Do you also like all other games from Blizzard Entertainment?,In our conversation you said you liked World of Warcraft. Do you also like all other MMORPG games?,,
3T2HW4QDUVSNXZ5UXCI8UZ1FCVE9CW,3UMLY1W0PZVLS5184K63O2G87CS7KC,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 21:46:41 PDT 2019,1,BatchId:3607327;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 21:46:41 PDT 2019,,,3634BBTX0PGQXWG1IAJO3IHBBY0FIA,A1MW021IG07IMF,Submitted,Sun Apr 14 22:52:47 PDT 2019,Sun Apr 14 22:57:51 PDT 2019,Mon Apr 29 22:57:51 PDT 2019,,,,304,0% (0/0),0% (0/0),0% (0/0),<b>The Forest of Doom</b>,Year: <b>2014</b>,,Developer: <b>Tin Man Games</b>,,Liking: <b>average</b>,"Genres: <b>role-playing, text adventure</b>",,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,name,rating,genres,name,rating,developer,name,rating,release_year,name,rating,has_multiplayer,name,rating,platforms,So I know you said you found the Forest of Doom merely average. Is that how you feel about all role-playing text adventure games?,You said that you found The Forest of Doom to be so-so in quality. Do you feel similarly about the other games developed by Tin Man Games,"So The Forest of Doom was just ok according to you. What about other games released in 2014, do you feel that way about all of them?","If I remember right, you once told me you found The Forest of Doom to be okay, but not earth shattering or anything. Do you feel similarly about all games that are single-player only?","So The Forest of Doom was a game that you, if I remember correctly, felt was of average quality. What about other games for the PC, do you feel the same about them?",,
3RIHDBQ1NEJTLRZ48D0EAC4FPMQHMC,3UMLY1W0PZVLS5184K63O2G87CS7KC,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 21:46:41 PDT 2019,1,BatchId:3607327;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 21:46:41 PDT 2019,,,35H6S234SBMI2FSBAXXQK30TDMP654,A6CVN7CSC1K26,Submitted,Mon Apr 15 18:13:38 PDT 2019,Mon Apr 15 18:20:11 PDT 2019,Tue Apr 30 18:20:11 PDT 2019,,,,393,0% (0/0),0% (0/0),0% (0/0),<b>Uncharted 4: A Thief's End</b>,Year: <b>2016</b>,,Developer: <b>Naughty Dog</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,name,rating,has_multiplayer,name,rating,developer,name,rating,genres,name,rating,esrb,name,rating,platforms,You've told me before that you like Uncharted 4: A Thief's End. Is that because you enjoy multiplayer games?,I know that Uncharted 4: A Thief's End is one of your favorite games. Do you enjoy all of Naughty Dog's content?,"You are a big fan of Uncharted 4: A Thief's End, correct? Do you prefer to play shooter games in general?","You really like Uncharted 4: A Thief's End, don't you? Do you play a lot of rated T content?",You like Uncharted 4: A Thief's End allot I remember. Do you enjoy most PlayStation content?,,
3BAKUKE49HX9EWRIBWTA4OIIEKTR1B,3UMLY1W0PZVLS5184K63O2G87CS7KC,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 21:46:41 PDT 2019,1,BatchId:3607327;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 21:46:41 PDT 2019,,,30BUDKLTXEHMFULQGFGOWRS6UBH5EA,A1MW021IG07IMF,Submitted,Sun Apr 14 23:05:50 PDT 2019,Sun Apr 14 23:11:06 PDT 2019,Mon Apr 29 23:11:06 PDT 2019,,,,316,0% (0/0),0% (0/0),0% (0/0),<b>Need for Speed: Most Wanted</b>,Year: <b>2005</b>,,Developer: <b>EA Redwood Shores</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>good</b>,Genres: <b>driving/racing</b>,Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,name,rating,platforms,name,rating,genres,name,rating,developer,name,rating,player_perspective,name,rating,has_multiplayer,I remember you once said Need for Speed: Most Wanted was quite fun. Do you like PlayStation games in general?,I know when we were talking about games the other day you mentioned that thought Need for Speed: Most Wanted was pretty good. Do you enjoy the driving/racing genre then?,"So hey earlier you mentioned liking Need for Speed: Most Wanted. I'm curious, do you feel similarly about the other games developed by EA Redwood Shores?",I know you mentioned liking Need for Speed: Most Wanted a fair amount. Do you like games with a third person perspective?,"You said you thought Need for Speed: Most Wanted was a pretty good game the other day, if I remember right. Do you like multiplayer games then?",,
388CL5C1RJ89F9HJ81ZZAZPQPH0HLA,3UMLY1W0PZVLS5184K63O2G87CS7KC,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 21:46:41 PDT 2019,1,BatchId:3607327;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 21:46:41 PDT 2019,,,3M68NM076IT772Q974ATN45P5VH6R3,A1MW021IG07IMF,Submitted,Sun Apr 14 22:57:52 PDT 2019,Sun Apr 14 23:05:50 PDT 2019,Mon Apr 29 23:05:50 PDT 2019,,,,478,0% (0/0),0% (0/0),0% (0/0),<b>Worms: Reloaded</b>,Year: <b>2010</b>,,Developer: <b>Team17 Digital Ltd</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,Liking: <b>average</b>,"Genres: <b>action, platformer, strategy</b>",Player perspective: <b>side view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,name,rating,genres,name,rating,developer,name,rating,platforms,name,rating,player_perspective,name,rating,release_year,"So I remember that Worms; Reloaded was a game you thought was okay, decent but not great. Do you just find all strategy action platformers to be like that?",You said Worms: Reloaded was thoroughly average. Do you feel the same way about the rest of the games developed by Team17 Digital Ltd?,"You once said Worms: Reloaded was kinda okay, but nothing all that special. Do you feel similarly about PC games in general?","So Worms: Reloaded was a game that you once said was fine, but that it didn't really stick out in any way. Do you feel like that for all games with a side view perspective?","So, Worms: Reloaded is a game you once said was a perfectly okay but also very unremarkable video game. Do you feel that games released in 2010 as a whole are like that?",,
