token,frequency
out of 5,9614
the city centre,8059
in the city,7944
in the riverside,5763
located in the,5361
the riverside area,5036
a coffee shop,4362
there is a,4141
customer rating of,4081
it is located,4008
a customer rating,4006
customer rating is,3715
is a coffee,3659
is located in,3632
1 out of,3589
5 out of,3581
3 out of,3287
is located near,3040
near is a,2838
it has a,2722
a family friendly,2549
low customer rating,2547
city centre near,2457
food in the,2454
average customer rating,2443
less than £20,2378
and has a,2370
a price range,2302
price range of,2301
a low customer,2290
near in the,2240
high price range,2232
it is not,2201
an average customer,2176
price range is,2162
is a pub,2125
of 5 is,2027
has a customer,2021
high customer rating,2017
is a restaurant,1974
is a family,1953
more than £30,1873
food it is,1851
a high customer,1840
is family friendly,1805
moderate price range,1780
coffee shop that,1713
rating is a,1693
customer rating and,1693
price range it,1649
rating of 1,1623
of 1 out,1618
located near the,1563
is a cheap,1550
of 3 out,1539
has a low,1537
on the riverside,1537
rating of 3,1519
friendly is a,1518
friendly coffee shop,1518
a high price,1516
has a high,1466
5 is a,1464
range it is,1458
city centre is,1450
riverside area near,1437
a moderate price,1431
has an average,1423
of 5 customer,1385
is not family-friendly,1372
of 5 out,1364
with a customer,1360
coffee shop located,1349
rating of 5,1343
located in riverside,1325
it is near,1311
5 customer rating,1302
coffee shop near,1284
in city centre,1280
coffee shop in,1268
is in the,1267
the is a,1265
price range and,1256
fast food restaurant,1234
in riverside near,1213
and is located,1207
coffee shop with,1204
restaurant in the,1202
the price range,1193
located near in,1188
food and is,1182
by the riverside,1174
a kid friendly,1132
with a high,1122
a fast food,1118
located near is,1109
serves english food,1108
and is not,1099
city centre it,1089
restaurant with a,1088
is kid friendly,1079
of the city,1066
the riverside near,1048
with a price,1037
riverside is a,1031
near it is,1030
its customer rating,1029
not family friendly,1009
the city center,986
a child friendly,982
with an average,982
a 5 out,979
family friendly and,960
is a high,956
coffee shop is,953
is a fast,951
is child friendly,949
coffee shop called,914
a moderately priced,914
rating and is,910
serves french food,907
of 5 and,902
serves japanese food,898
is children friendly,896
riverside area is,893
centre is a,893
shop in the,893
friendly and has,892
it is a,886
is a japanese,886
family friendly restaurant,865
food is a,863
serves indian food,854
a children friendly,851
not kid friendly,849
food with a,849
out of 5.,848
serves italian food,825
serves chinese food,819
is a french,816
is a moderately,813
near there is,808
is not family,806
near the is,804
the riverside is,802
of 5 rating,797
chinese food in,794
indian food in,792
is a family-friendly,787
is a kid,773
has a price,771
in the high,770
with a low,758
rating it is,757
the high price,754
customer rating it,737
family friendly is,735
not child friendly,734
of more than,723
restaurant located in,721
located on the,717
serves fast food,706
is an italian,701
near in riverside,699
is a child,699
family friendly coffee,698
restaurant located near,693
a 1 out,687
range of more,686
shop that serves,683
coffee shop serving,677
restaurant that is,672
a 3 out,668
is a low,662
riverside it is,662
in riverside is,660
the riverside it,653
food at a,645
is not kid,641
near it has,640
is a chinese,634
a high priced,631
cheap price range,626
kid friendly and,626
can be found,625
is a children,624
centre it is,620
area is a,618
located in city,617
it is family,613
of less than,606
and it is,601
a rating of,589
shop with a,587
range of less,586
it is in,583
food and has,582
not children friendly,577
a pub that,573
range is a,571
is not child,568
range of £20-25,567
child friendly and,566
there is an,564
for less than,560
coffee shop providing,560
riverside near is,558
the customer rating,555
is an expensive,552
riverside area it,547
near the riverside,544
english food and,537
the coffee shop,534
at the riverside,529
is an indian,529
of 5. it,528
is an english,518
an average rating,515
located by the,511
shop located in,511
shop located near,510
food it has,509
in the moderate,509
is near the,506
centre near is,504
pub in the,500
the moderate price,499
restaurant that serves,497
family friendly pub,497
japanese coffee shop,493
near with a,489
italian coffee shop,488
it has an,488
near the in,486
food in a,485
city centre area,485
called it is,480
restaurant is a,480
is a highly,478
is not children,473
is kids friendly,471
friendly and is,469
a japanese restaurant,468
and has an,468
a restaurant that,466
friendly fast food,466
near its customer,465
city centre and,463
is an average,463
french coffee shop,462
that is not,461
provides indian food,460
a highly rated,460
located near it,459
chinese food it,459
with a moderate,456
is near its,456
children friendly and,449
kid friendly is,448
food coffee shop,448
called is a,444
pub that serves,444
than £20 is,442
has a moderate,442
5. it is,442
riverside near the,440
near the river,437
less than 20,436
is moderately priced,434
a cheap price,428
priced coffee shop,425
low price range,424
a kids friendly,424
the in the,424
and is family,422
city centre with,420
provides chinese food,418
5 and is,418
located near and,413
family-friendly is a,411
rated 5 out,409
riverside there is,409
coffee shop named,409
indian food it,408
child friendly is,406
fast food and,403
and is near,403
centre near it,402
has a 5,395
family-friendly coffee shop,395
friendly it is,394
a french restaurant,392
centre near the,390
not family-friendly is,385
is not a,384
that has a,383
of 5 stars,381
english food in,381
french food and,379
a chinese restaurant,379
near is an,378
rating is average,378
rated 1 out,377
is more than,376
italian food and,376
an italian restaurant,375
shop that is,372
rated 3 out,368
that serves indian,367
more than 30,367
friendly with a,367
coffee shop it,366
near the it,364
japanese food and,361
rating is low,361
near the city,359
food for less,359
rated coffee shop,358
range and is,355
restaurant in riverside,355
is less than,350
to is a,350
children friendly is,349
area near is,348
rating there is,347
area it is,346
friendly there is,346
the riverside and,345
is 1 out,345
italian food it,344
that serves chinese,344
pub with a,342
£20 is a,340
english food it,338
serving english food,338
than £30 is,337
riverside near it,337
providing chinese food,337
near and is,334
it is kid,332
located next to,332
an indian restaurant,331
by the river,330
with a 5,328
rating and a,327
english food is,325
japanese food in,325
serving french food,325
providing indian food,324
rating is 1,324
french food in,323
of 5 by,322
customer rating in,322
located at the,322
not family-friendly and,321
english coffee shop,321
is a kids,319
high customer ratings,319
fast food in,319
range and a,317
than £20 it,316
japanese food it,315
average price range,315
a restaurant providing,312
the center of,311
in riverside it,311
low customer ratings,310
fast food coffee,310
kid friendly restaurant,308
restaurant near the,307
city centre there,307
of 5 there,305
that serves english,305
is near is,304
and is in,304
serving italian food,304
that is family,303
pub located near,303
the centre of,303
it is children,303
a low price,303
shop near in,302
a low rating,302
if you are,302
they have a,301
than £20 and,300
fast food it,300
customer rating the,299
out of five,298
£30 is a,298
near and has,297
pub located in,297
5 there is,297
the river is,296
priced fast food,296
customer rating located,295
cheap family friendly,295
close to the,294
centre there is,294
rating is high,292
along the riverside,292
coffee shop serves,291
and a customer,290
north of the,290
indian coffee shop,290
french food it,290
centre of the,289
restaurant is located,289
that serves french,289
is located on,288
coffee shop which,288
shop in riverside,288
and is kid,287
price range with,286
serving japanese food,286
not kids friendly,285
fast food pub,285
center of the,284
than £30 and,284
but has a,284
is located by,283
that serves italian,283
italian food is,283
looking for a,282
customer rating near,281
riverside with a,281
cheap coffee shop,279
customer rating there,279
and a price,278
is near in,278
italian food in,278
average customer ratings,277
in the center,277
it is child,277
indian food and,275
food restaurant with,275
of 5 the,274
fast food place,273
on the river,273
area near the,272
fast food is,272
range is more,271
in the low,271
£20 price range,271
rating in the,271
in the centre,270
and the price,267
city centre that,267
centre it has,265
riverside area with,265
has a 3,265
in the area,264
the low price,263
but is not,263
you can find,262
indian food at,262
in the cheap,260
chinese food and,259
the cheap price,258
a low rated,257
a restaurant with,257
has a rating,257
the it is,256
kid friendly coffee,256
is a non,255
riverside area and,255
near has a,254
child friendly restaurant,254
centre with a,254
a low priced,252
is 5 out,252
kids friendly and,252
it is rated,251
£20 it is,250
has a 1,250
that serves japanese,250
japanese food is,250
offers fast food,249
at a moderate,249
a cheap family,249
than £20 price,248
restaurant it is,247
a japanese coffee,247
of 5 located,247
customer ratings is,247
they are located,247
is near and,245
near on the,245
food located in,245
a cheap coffee,244
french food is,244
in the price,244
next to the,243
child friendly coffee,243
customer rating a,243
of 5 near,243
and is a,243
is not kids,242
shop is located,242
called it has,242
near in city,241
and is child,241
serving indian food,241
of 5 in,240
£20-25 price range,240
family-friendly and has,239
children friendly restaurant,239
range less than,239
ratings is a,237
the area of,237
a cheap restaurant,236
has low customer,235
is a low-priced,234
rating is 5,234
rating is an,234
friendly restaurant that,232
shop is a,232
customer ratings and,232
a family-friendly restaurant,231
than £30 it,230
range is less,230
restaurant near in,230
food there is,229
chinese food is,229
with a rating,229
a restaurant called,229
that is located,228
and family friendly,228
a family-friendly coffee,227
pub that is,227
the less than,227
of 5 a,227
a pub called,226
restaurant called is,226
be found near,224
price range less,224
it is called,224
a french coffee,223
an average price,223
5 by customers,223
