HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Answer.feedback,Answer.selected_attr11,Answer.selected_attr12,Answer.selected_attr21,Answer.selected_attr22,Answer.selected_attr31,Answer.selected_attr32,Answer.selected_attr41,Answer.selected_attr42,Answer.selected_attr51,Answer.selected_attr52,Answer.utterance1,Answer.utterance2,Answer.utterance3,Answer.utterance4,Answer.utterance5,Approve,Reject
3J9L0X0VDF7WBXBZE3I96T8I47BW9Z,3TKN0IPJXITC03IGQYJQNW31NQ612N,Write 5 conversational responses about a video game based on its attributes and context (type: suggest; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.30 ,Thu Apr 11 01:42:39 PDT 2019,1,BatchId:3602859;OriginalHitTemplateId:920937336;,3600,1296000,Fri Apr 12 01:42:39 PDT 2019,,,3LJ7UR74RIZ8DHU3V90XHMG18TE4NS,ADXRJFEHIDXRE,Submitted,Thu Apr 11 13:42:55 PDT 2019,Thu Apr 11 13:54:31 PDT 2019,Fri Apr 26 13:54:31 PDT 2019,,,,696,0% (0/0),0% (0/0),0% (0/0),<b>Mirror's Edge Catalyst</b>,Year: <b>2016</b>,,Developer: <b>EA Digital Illusions CE</b>,ESRB content rating: <b>T (for Teen)</b>,,"Genres: <b>action-adventure, fighting</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,name,genres,name,developer,name,release_year,name,platforms,name,player_perspective,"Have you played any action-adventure fighting games, like Mirror's Edge Catalyst?","I've heard a lot about EA Digital Illusions CE, have you played any of their games, such as Mirror's Edge Catalyst?","Have you played any games that came out in 2016, like Mirror's Edge Catalyst?","Do you ever play PlayStation games, like Mirror's Edge Catalyst?","Do you like playing first person games, such as Mirror's Edge Catalyst?",,
3UV0D2KX1M4T35JS7JCILXB2NFL4FX,3J6XXRWLEMDZIPDUZV9N8BFOZAHFPP,Write 5 conversational responses about a video game based on its attributes and context (type: suggest; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:35:07 PDT 2019,1,BatchId:3606271;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:35:07 PDT 2019,,,3YDGXNSEO0GNAA7ZP7BEZPQ6J9184G,A1ELPYAFO7MANS,Submitted,Sat Apr 13 15:20:04 PDT 2019,Sat Apr 13 15:27:41 PDT 2019,Sun Apr 28 15:27:41 PDT 2019,,,,457,100% (6/6),100% (6/6),100% (6/6),<b>Tetris</b>,Year: <b>1986</b>,,"Developer: <b>Spectrum HoloByte, Inc.</b>",,,"Genres: <b>arcade, puzzle, strategy</b>",Player perspective: <b>side view</b>,Has multiplayer: <b>no</b>,Platform: <b>Nintendo</b>,,,,,name,genres,name,platforms,name,developer,name,player_perspective,name,release_year,"Do you like arcade games that involve puzzles and strategy, like Tetris?",Do you like playing Nintendo games like Tetris?,"Do you like playing games developed by Spectrum Holobyte, Inc. - games like Tetris?",I was wondering if you're into side view games like Tetris?,"Do you remember playing any games from 1986, for example Tetris?",,
3FI30CQHVK4H5BBQL5J1Z54V48ZB67,3J6XXRWLEMDZIPDUZV9N8BFOZAHFPP,Write 5 conversational responses about a video game based on its attributes and context (type: suggest; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:35:07 PDT 2019,1,BatchId:3606271;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:35:07 PDT 2019,,,3RJSC4XJ11GNO46W88H9B2Q207M05S,A1ELPYAFO7MANS,Submitted,Sat Apr 13 16:10:28 PDT 2019,Sat Apr 13 16:34:24 PDT 2019,Sun Apr 28 16:34:24 PDT 2019,,,,1436,100% (6/6),100% (6/6),100% (6/6),<b>Portal 2</b>,Year: <b>2011</b>,,Developer: <b>Valve Corporation</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,"Genres: <b>platformer, puzzle, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,name,player_perspective,name,developer,name,has_multiplayer,name,platforms,name,release_year,Are you into first person games like Portal 2?,"Do you like playing Valve Corporation-developed games, such as Portal 2?","Do you like multiplayer games, such as Portal 2?",Do you like PlayStation games like Portal 2?,"Are you into games like Portal 2 that are puzzle, platform, and shooter games all in one?",,
3BPP3MA3TC5XVZQHI0RTPWSDX01LEP,3J6XXRWLEMDZIPDUZV9N8BFOZAHFPP,Write 5 conversational responses about a video game based on its attributes and context (type: suggest; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:35:07 PDT 2019,1,BatchId:3606271;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:35:07 PDT 2019,,,3WYP994K18DG432VLZ2NV0YM8FA6YD,A1ELPYAFO7MANS,Submitted,Sat Apr 13 15:23:02 PDT 2019,Sat Apr 13 15:57:17 PDT 2019,Sun Apr 28 15:57:17 PDT 2019,,,,2055,100% (6/6),100% (6/6),100% (6/6),<b>Resident Evil 4</b>,Year: <b>2005</b>,,Developer: <b>Capcom Production Studio 4</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,name,developer,name,genres,name,esrb,name,platforms,name,available_on_steam,"Do you like games developed by Capcom Production Studio 4, like Resident Evil 4?",Are you into action-adventure shooters like Resident Evil 4?,Do you like playing ESRB mature rated games like Resident Evil 4?,I was wondering if you like PC games like Resident Evil 4?,Do you like games you can get on Steam like Resident Evil 4?,,
3YKP7CX6G2009BPV4FOT5J4RZJJB76,3J6XXRWLEMDZIPDUZV9N8BFOZAHFPP,Write 5 conversational responses about a video game based on its attributes and context (type: suggest; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:35:07 PDT 2019,1,BatchId:3606271;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:35:07 PDT 2019,,,3GM6G9ZBKOJMCKOTY9M5CF3TJD7MTE,A1ELPYAFO7MANS,Submitted,Sat Apr 13 16:36:29 PDT 2019,Sat Apr 13 16:49:55 PDT 2019,Sun Apr 28 16:49:55 PDT 2019,,,,806,100% (6/6),100% (6/6),100% (6/6),<b>Guitar Hero: Smash Hits</b>,Year: <b>2009</b>,,Developer: <b>Beenox</b>,ESRB content rating: <b>T (for Teen)</b>,,Genres: <b>music</b>,Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>Nintendo</b>,,,,,name,developer,name,platforms,name,player_perspective,name,has_multiplayer,name,genres,Have you ever played any Beenox games like Guitar Hero: Smash Hits?,Do you ever play Nintendo games like Guitar Hero: Smash Hits?,Do you ever like playing first person games like Guitar Hero: Smash Hits?,"Do you like playing multiplayer games, for example Guitar Hero: Smash Hits?","Do you ever play video games based around music, like Guitar Hero: Smash Hits?",,
3UDTAB6HH6K337AELWPOZYZE35A90U,3J6XXRWLEMDZIPDUZV9N8BFOZAHFPP,Write 5 conversational responses about a video game based on its attributes and context (type: suggest; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:35:07 PDT 2019,1,BatchId:3606271;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:35:07 PDT 2019,,,3DI28L7YXB0NRCK7FSECT1FPISPE18,A1ELPYAFO7MANS,Submitted,Sat Apr 13 15:23:01 PDT 2019,Sat Apr 13 15:55:16 PDT 2019,Sun Apr 28 15:55:16 PDT 2019,,,,1935,100% (6/6),100% (6/6),100% (6/6),<b>BioShock</b>,Year: <b>2007</b>,,Developer: <b>2K Boston</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>action-adventure, role-playing, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,,name,genres,name,player_perspective,name,developer,name,available_on_steam,name,has_mac_release,"Do you like shooter games that are part action-adventure and part role-playing, like BioShock?",Do you like first person perspective games like BioShock?,Do you like games developed by 2K Boston like Bioshock?,"Do you ever buy games on Steam, games like Bioshock?","Do you like playing games available on Mac, like Bioshock?",,
3XAOZ9UYRZC92VCIYH4AZY8DIXK1QB,3J6XXRWLEMDZIPDUZV9N8BFOZAHFPP,Write 5 conversational responses about a video game based on its attributes and context (type: suggest; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:35:07 PDT 2019,1,BatchId:3606271;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:35:07 PDT 2019,,,30BXRYBRP5JSCNRC2HB37U2W6N0HW4,AGRKG3YT3KMD8,Submitted,Sun Apr 14 05:44:08 PDT 2019,Sun Apr 14 05:47:42 PDT 2019,Mon Apr 29 05:47:42 PDT 2019,,,,214,100% (1/1),100% (1/1),100% (1/1),<b>Age of Empires II: The Age of Kings</b>,Year: <b>1999</b>,,Developer: <b>Ensemble Studios</b>,ESRB content rating: <b>T (for Teen)</b>,,Genres: <b>real-time strategy</b>,Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,,name,release_year,name,has_mac_release,name,available_on_steam,name,player_perspective,name,developer,"Do you know about any games from the year 1999, such as Age of Empires II: The Age of Kings?","Have you tried out any games that have a Mac release, like Age of Empires II: The Age of Kings?","Have you given any games that aren't available on Steam a try, for example Age of Empires II: The Age of Kings?","Have you given any bird's eye view games a play, such as Age of Empires II: The Age of Kings?","I wonder, have you played any titles from Ensemble Studios, like Age of Empires II: The Age of Kings?",,
32L724R85L5Z2P716BARRSZPU39IPT,3J6XXRWLEMDZIPDUZV9N8BFOZAHFPP,Write 5 conversational responses about a video game based on its attributes and context (type: suggest; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:35:07 PDT 2019,1,BatchId:3606271;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:35:07 PDT 2019,,,3ZWFC4W1UVT3QVJK8XDXHAI2YRZRF0,A1ELPYAFO7MANS,Submitted,Sat Apr 13 15:56:14 PDT 2019,Sat Apr 13 16:24:55 PDT 2019,Sun Apr 28 16:24:55 PDT 2019,,,,1721,100% (6/6),100% (6/6),100% (6/6),<b>Worms: Reloaded</b>,Year: <b>2010</b>,,Developer: <b>Team17 Digital Ltd</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,"Genres: <b>action, platformer, strategy</b>",Player perspective: <b>side view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,name,has_linux_release,name,has_multiplayer,name,player_perspective,name,developer,name,available_on_steam,"Do you play games on Linux, such as Worms: Reloaded?","Are you into multiplayer games, like Worms: Reloaded?","Do you like games that have a side view, like Worms: Reloaded?","I wonder if you like games by the developer Team17 Digital Ltd; for example, Worms: Reloaded?","I bet you like it when you can play games on Steam, like Worms: Reloaded, right?",,
3BAKUKE49HX9EWRIBWTA4OIIEJM1RC,3J6XXRWLEMDZIPDUZV9N8BFOZAHFPP,Write 5 conversational responses about a video game based on its attributes and context (type: suggest; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:35:07 PDT 2019,1,BatchId:3606271;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:35:07 PDT 2019,,,31UV0MXWNRYYVZNCCY6FH6QYM145IT,A1ELPYAFO7MANS,Submitted,Sat Apr 13 16:38:57 PDT 2019,Sat Apr 13 16:51:45 PDT 2019,Sun Apr 28 16:51:45 PDT 2019,,,,768,100% (6/6),100% (6/6),100% (6/6),<b>The Vanishing of Ethan Carter</b>,Year: <b>2014</b>,,Developer: <b>The Astronauts</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>adventure, indie</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>Xbox</b>,,,,,name,developer,name,genres,name,platforms,name,has_multiplayer,name,player_perspective,"Have you ever tried out an games by The Astronauts, such as The Vanishing of Ethan Carter?",Do you like any indie adventure games like The Vanishing of Ethan Carter?,Are you into Xbox games like The Vanishing of Ethan Carter?,Do you like playing M rated games such as The Vanishing of Ethan Carter?,"Do you like first person games? For example, The Vanishing of Ethan Carter?",,
3BCRDCM0ODFIYEFKRIWUY8NLR286KM,3J6XXRWLEMDZIPDUZV9N8BFOZAHFPP,Write 5 conversational responses about a video game based on its attributes and context (type: suggest; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:35:07 PDT 2019,1,BatchId:3606271;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:35:07 PDT 2019,,,3TS1AR6UQR0T8CZ5ZJFRCTR2XF37FF,A1ELPYAFO7MANS,Submitted,Sat Apr 13 15:03:43 PDT 2019,Sat Apr 13 15:25:13 PDT 2019,Sun Apr 28 15:25:13 PDT 2019,,,,1290,100% (6/6),100% (6/6),100% (6/6),<b>Might & Magic: Heroes VI</b>,Year: <b>2011</b>,,Developer: <b>Black Hole Entertainment</b>,ESRB content rating: <b>T (for Teen)</b>,,"Genres: <b>role-playing, turn-based strategy</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,name,genres,name,developer,name,has_multiplayer,name,available_on_steam,name,platforms,Do you like turn-based strategy role-playing games like Might & Magic: Heroes VI?,"Do you enjoy games made by Black Hole Entertainment, such as Might & Magic: Heroes VI?",Are you into multiplayer games like Might & Magic: Heroes VI?,Do you ever buy games from Steam like Might & Magic: Heroes VI?,Do you like to play PC games like Might & Magic: Heroes VI?,,
