mr,ref
"name[The Cricketers], __emph__[], eattype[coffee shop], customerrating[1 out of 5], __emph__[], familyfriendly[yes], __emph__[], near[Avalon], __contrast__[familyfriendly customerrating]","If you're looking for some kid friendly coffee shop food near Avalon, then you could try The Cricketers, however, it has a low customer rating of 1 out of 5."
"name[The Cricketers], __emph__[], eattype[coffee shop], customerrating[1 out of 5], __emph__[], familyfriendly[yes], near[Avalon], __contrast__[familyfriendly customerrating]","A kid friendly coffee shop named The Cricketers is near Avalon, but it has a customer rating of 1 out of 5."
"name[The Cricketers], __emph__[], eattype[restaurant], customerrating[1 out of 5], __emph__[], familyfriendly[yes], __emph__[], near[Avalon], __contrast__[familyfriendly customerrating]","If you're looking for some kid friendly restaurant food near Avalon, then you could try The Cricketers, however, it has a low customer rating of 1 out of 5."
"name[The Cricketers], __emph__[], eattype[restaurant], customerrating[1 out of 5], __emph__[], familyfriendly[yes], near[Avalon], __contrast__[familyfriendly customerrating]","A kid friendly restaurant named The Cricketers is near Avalon, but it has a customer rating of 1 out of 5."
"name[The Cricketers], __emph__[], eattype[restaurant], food[Chinese], pricerange[cheap], customerrating[5 out of 5], area[city centre], familyfriendly[no], near[All Bar One], __contrast__[pricerange familyfriendly]","There is a restaurant called The Cricketers providing Chinese food located in the city centre near All Bar One with 5 out of 5 customer rating and it's price range is cheap, but it is not family friendly."
"name[The Cricketers], eattype[restaurant], food[Chinese], pricerange[high], __emph__[], customerrating[1 out of 5], __emph__[], area[city centre], familyfriendly[yes], __emph__[], near[All Bar One], __contrast__[customerrating familyfriendly]","In the city centre near to All Bar One is The Cricketers Chinese  restaurant, it has bad customer ratings but it is child friendly."
"name[The Cricketers], __emph__[], eattype[restaurant], __emph__[], food[Chinese], __emph__[], pricerange[high], __emph__[], customerrating[1 out of 5], area[city centre], __emph__[], familyfriendly[yes], near[All Bar One], __contrast__[customerrating familyfriendly]","A restaurant serving Chinese food in the high price range with a customer rating of 1 out of 5 but is child friendly is The Cricketers, located near All Bar One in city centre."
"name[The Cricketers], __emph__[], eattype[restaurant], food[Chinese], pricerange[less than £20], customerrating[low], area[city centre], familyfriendly[yes], near[All Bar One], __contrast__[customerrating familyfriendly]","If you're looking for a family friendly restaurant, The Cricketers just may be your spot. For less than twenty dollars, you get Chinese food. The customer rating is low, but it is family friendly. The Cricketers is located in the city centre near All Bar One."
"name[The Cricketers], __emph__[], eattype[restaurant], food[Chinese], pricerange[moderate], customerrating[1 out of 5], area[city centre], familyfriendly[yes], near[All Bar One], __contrast__[customerrating familyfriendly]",There's a restaurant called The Cricketers. They serve moderately priced Chinese food. They're only rated 1 out of 5 but they are kid friendly. The Cricketers is located near All Bar One in the city centre.
"name[The Cricketers], eattype[restaurant], food[English], pricerange[£20-25], customerrating[high], __emph__[], area[city centre], familyfriendly[no], __emph__[], near[All Bar One], __contrast__[familyfriendly pricerange]","Located in the city centre near All Bar One, The Cricketers is an English restaurant with a high customer rating. It is not kid friendly but has a price range between £20-25."
"name[The Cricketers], __emph__[], eattype[restaurant], __emph__[], food[English], pricerange[£20-25], customerrating[high], __emph__[], area[riverside], familyfriendly[no], __emph__[], near[All Bar One], __contrast__[familyfriendly pricerange]","Near All Bar One in the riverside area is an English restaurant called The Cricketers.  They are not conducive for kids, but the prices are between £20-25 and they highly rated."
"name[The Cricketers], eattype[restaurant], __emph__[], food[English], pricerange[cheap], __emph__[], customerrating[average], area[riverside], familyfriendly[no], __emph__[], near[Café Rouge], __contrast__[pricerange familyfriendly]","English food with an average customer review, near Café Rouge is The Cricketers in the riverside. It is cheap but does not cater foe children in this restaurant."
"name[The Mill], __emph__[], eattype[pub], __emph__[], food[Fast food], __emph__[], pricerange[£20-25], __emph__[], customerrating[high], __emph__[], area[city centre], familyfriendly[no], __emph__[], near[Café Rouge], __contrast__[customerrating familyfriendly]","Café Rouge is a Fast food restaurant with menus ranging around £20-25 near the city centre. It has a high customer rating with a pub named The Mill, but no, it is not kid friendly."
"name[The Mill], eattype[pub], __emph__[], food[Fast food], __emph__[], pricerange[£20-25], __emph__[], customerrating[high], __emph__[], area[city centre], familyfriendly[no], __emph__[], near[Café Rouge], __contrast__[customerrating familyfriendly]","If you're looking for Fast food, Café Rouge is the place to go. Ranging to about £20-25 near the city centre with a high customer rating, Café Rouge is near The Mill coffee ship, but is not kid friendly."
"name[The Mill], __emph__[], eattype[pub], __emph__[], food[Fast food], pricerange[cheap], customerrating[average], area[riverside], familyfriendly[no], near[Café Sicilia], __contrast__[familyfriendly pricerange]",The fast food pub called The Mill located in riverside near Café Sicilia is not family-friendly but is cheap and has a average customer rating.
"name[The Mill], __emph__[], eattype[pub], food[Fast food], pricerange[cheap], customerrating[average], area[riverside], familyfriendly[no], near[Café Sicilia], __contrast__[customerrating familyfriendly]","There is a pub called The Mill near Café Sicilia in riverside which has cheap fast food, an average customer rating but is not family-friendly."
"name[The Mill], __emph__[], eattype[pub], __emph__[], food[Fast food], pricerange[less than £20], __emph__[], customerrating[low], __emph__[], area[city centre], familyfriendly[no], near[Café Sicilia], __contrast__[pricerange familyfriendly]","In the city centre you will find a low rated Fast food pub named The Mill. It is located near Café Sicilia with items averaging less than £20, however it is not family-friendly."
"name[The Mill], __emph__[], eattype[pub], __emph__[], food[Fast food], pricerange[moderate], customerrating[3 out of 5], __emph__[], area[riverside], familyfriendly[no], __emph__[], near[Café Sicilia], __contrast__[pricerange familyfriendly]","In the riverside area, near Café Sicilia, there is a  fast food pub called The Mill. It is rated 3 out of 5 and is moderately priced but not kid friendly."
"name[The Mill], __emph__[], eattype[restaurant], __emph__[], food[English], pricerange[moderate], customerrating[3 out of 5], __emph__[], area[riverside], familyfriendly[no], __emph__[], near[Café Rouge], __contrast__[customerrating familyfriendly]","There is an English restaurant in riverside near Café Rouge called The Mill. It has a moderate price range and a 3 out of 5 customer rating, but it is not kids friendly."
"name[The Mill], eattype[restaurant], food[English], pricerange[more than £30], customerrating[high], __emph__[], area[riverside], familyfriendly[no], __emph__[], near[Café Rouge], __contrast__[customerrating pricerange]","Located on the Riverside close to Café Rouge, is The Mill; a highly rated yet high priced restaurant serving English food, which is not considered child friendly."
"name[The Phoenix], __emph__[], eattype[pub], food[Fast food], __emph__[], pricerange[high], __emph__[], area[city centre], familyfriendly[no], __emph__[], near[Raja Indian Cuisine], __concession__[pricerange familyfriendly]","There is a pub located in the city centre, near Raja Indian Cuisine, in the high price range. The Phoenix provides Fast food but no children friendly menu or services are offered."
"name[The Phoenix], __emph__[], eattype[pub], __emph__[], food[Fast food], __emph__[], pricerange[high], area[city centre], familyfriendly[no], near[Raja Indian Cuisine], __concession__[pricerange familyfriendly]","A  high priced pub that serves fast food is The Phoenix , but has a non-children friendly atmosphere. It is located in the city centre near Raja Indian Cuisine"
"name[The Phoenix], eattype[pub], __emph__[], food[Fast food], pricerange[more than £30], customerrating[high], area[riverside], __emph__[], familyfriendly[no], near[Café Sicilia], __contrast__[familyfriendly customerrating]",For a less child friendly and more adult fast food experience try The Phoenix pub near the Café Sicilia in the riverside area.  It charges a bit more than the average pub but is highly rated.
"name[The Phoenix], __emph__[], eattype[pub], __emph__[], food[French], pricerange[£20-25], customerrating[3 out of 5], __emph__[], area[riverside], familyfriendly[no], __emph__[], near[Café Sicilia], __contrast__[familyfriendly customerrating]","In riverside near Café Sicilia, is a French pub called The Phoenix. It is not kid friendly, but it has a 3 out of 5 rating and an average price range of £20-25"
"name[The Phoenix], __emph__[], eattype[pub], food[French], pricerange[cheap], customerrating[5 out of 5], __emph__[], area[riverside], familyfriendly[no], near[Crowne Plaza Hotel], __contrast__[familyfriendly customerrating]",pub in Riverside called The Phoenix is cheap and near Crowne Plaza Hotel. It is not family-friendly but is 5 out of 5.
"name[The Phoenix], __emph__[], eattype[pub], food[French], pricerange[cheap], customerrating[5 out of 5], __emph__[], area[riverside], familyfriendly[no], near[Crowne Plaza Hotel], __contrast__[familyfriendly customerrating]",If you are looking for a pub in the riverside area try The Phoenix. Also serving low priced French food it is located close to Crowne Plaza Hotel. It is not family-friendly but has customer ratings of 5 out of 5.
"name[The Phoenix], __emph__[], eattype[pub], __emph__[], food[French], pricerange[less than £20], customerrating[average], area[riverside], familyfriendly[no], __emph__[], near[Crowne Plaza Hotel], __contrast__[pricerange familyfriendly]","Let's go to that French pub by Crowne Plaza Hotel, The Phoenix, it's right beside the river and it's cheaper than £20, however it's not family-friendly and its customer rating is average."
"name[The Phoenix], __emph__[], eattype[pub], __emph__[], food[French], pricerange[less than £20], customerrating[low], __emph__[], area[city centre], __emph__[], familyfriendly[yes], near[Crowne Plaza Hotel], __concession__[familyfriendly pricerange]",If you are looking for a family-friendly French  pub in the city centre you should try The Phoenix. located near to Crowne Plaza Hotel.  Prices are reasonable but ratings are low.
"name[The Phoenix], __emph__[], eattype[pub], food[French], pricerange[less than £20], customerrating[low], __emph__[], area[riverside], familyfriendly[no], __emph__[], near[Crowne Plaza Hotel], __contrast__[pricerange familyfriendly]",There is a riverside pub near to Crowne Plaza Hotel called The Phoenix.   It serves French cuisine for less than £20 per head but it isn't very family-friendly and has low customer ratings.
"name[The Phoenix], __emph__[], eattype[pub], food[French], pricerange[moderate], customerrating[1 out of 5], area[city centre], familyfriendly[no], near[Crowne Plaza Hotel], __concession__[familyfriendly customerrating]","There is a pub named The Phoenix with a moderate price range in the city centre, near Crowne Plaza Hotel. It serves French food and is not kid friendly, however it only has a customer rating of 1 out of 5."
"name[The Phoenix], __emph__[], eattype[pub], __emph__[], food[French], pricerange[moderate], customerrating[1 out of 5], area[city centre], familyfriendly[yes], near[Crowne Plaza Hotel], __contrast__[familyfriendly customerrating]","There is French pub called The Phoenix which has a moderate price range and is kids friendly, but, it has a customer rating of 1 out of 5. It is located in the city centre near Crowne Plaza Hotel."
"name[The Phoenix], __emph__[], eattype[pub], food[French], pricerange[more than £30], customerrating[5 out of 5], area[city centre], familyfriendly[no], near[Crowne Plaza Hotel], __contrast__[customerrating familyfriendly]",There is Moderate price pub named The Phoenix serving French food Located in city center near Crowne Plaza Hotel with a customer rating of 5 out of 5 but not children-friendly
