mr,ref
"verify_attribute(name[The Elder Scrolls V: Skyrim], rating[good], platforms[PlayStation])","You mentioned that you enjoyed playing The Elder Scrolls V: Skyrim. In general, do you enjoy playing games for the PlayStation?"
"verify_attribute(name[The Elder Scrolls V: Skyrim], rating[good], platforms[PlayStation])","I wonder, since you enjoyed The Elder Scrolls V: Skyrim, are you a fan of PlayStation games?"
"verify_attribute(name[The Elder Scrolls V: Skyrim], developer[Bethesda Game Studios], rating[good])",You had good things to say about The Elder Scrolls V: Skyrim. Are you a fan of other projects released by Bethesda Game Studios as well?
"verify_attribute(name[The Elder Scrolls V: Skyrim], developer[Bethesda Game Studios], rating[good])","You enjoyed The Elder Scrolls V: Skyrim, if I'm not mistaken. I wanted to ask if you like other games from Bethesda Game Studios too."
"verify_attribute(name[The Elder Scrolls V: Skyrim], rating[good], player_perspective[first person])","I know you thought The Elder Scrolls V: Skyrim was a pretty fun game. In general, do you tend to enjoy first person games like that?"
"verify_attribute(name[The Elder Scrolls V: Skyrim], rating[good], player_perspective[first person])",You found The Elder Scrolls V: Skyrim to be enjoyable. Do you often find first person perspective games like that fun?
"verify_attribute(name[The Elder Scrolls V: Skyrim], rating[good], genres[adventure, role-playing])",You mentioned earlier that you thought The Elder Scrolls V: Skyrim was pretty good. Do you in general enjoy playing adventure RPGs?
"verify_attribute(name[The Elder Scrolls V: Skyrim], rating[good], genres[adventure, role-playing])","Considering you liked The Elder Scrolls V: Skyrim, I was just wondering if you're also fond of other adventure RPGs."
"verify_attribute(name[The Elder Scrolls V: Skyrim], esrb[M (for Mature)], rating[good])",So you mentioned that you thought The Elder Scrolls V: Skyrim was a fun game. Do you have similar thoughts about other M rated games?
"verify_attribute(name[The Elder Scrolls V: Skyrim], esrb[M (for Mature)], rating[good])",Are you often pleased with M rated games or is it just The Elder Scrolls V: Skyrim?
"verify_attribute(name[Transport Tycoon], developer[Chris Sawyer], rating[average])",I know you mentioned you thought Transport Tycoon was mediocre. Do you feel that way about all the games developed by Chris Sawyer?
"verify_attribute(name[Transport Tycoon], developer[Chris Sawyer], rating[average])","Do you tend to find Chris Sawyer's games average, or was it just Transport Tycoon?"
"verify_attribute(name[Transport Tycoon], rating[average], has_multiplayer[no])",I know you think that Transport Tycoon was pretty okay but not great. Do you feel similarly about other games that lack multiplayer?
"verify_attribute(name[Transport Tycoon], rating[average], has_multiplayer[no])","Do you find all single-player games average, or was it just the case of Transport Tycoon?"
"verify_attribute(name[Transport Tycoon], release_year[1994], rating[average])",You said that Transport Tycoon was so-so. Do you think that the other games released in 1994 are similarly mediocre?
"verify_attribute(name[Transport Tycoon], release_year[1994], rating[average])","I've been wondering, do you think your lukewarm feeling about Transport Tycoon had to do with it being released in 1994?"
"verify_attribute(name[Transport Tycoon], rating[average], has_mac_release[no])",Earlier you mentioned that you felt Transport Tycoon was mediocre. Do you feel the same way about all games that lack a Mac release?
"verify_attribute(name[Transport Tycoon], rating[average], has_mac_release[no])","Do you usually find games without a Mac release inadequate, or just Transport Tycoon?"
"verify_attribute(name[Transport Tycoon], rating[average], platforms[PC])","You said you felt Transport Tycoon was of average quality. In general, do you just find PC games to be so-so like that?"
"verify_attribute(name[Transport Tycoon], rating[average], platforms[PC])","You weren't quite fond of Transport Tycoon, I believe. Does it have to do with it only being released for PC?"
"verify_attribute(name[BioShock], rating[good], platforms[Xbox])",You mentioned enjoying BioShock a fair amount. Would you say it was thanks to the experience the Xbox platform provides?
"verify_attribute(name[BioShock], rating[good], platforms[Xbox])","Do you usually like Xbox games, or was BioShock just a special case?"
"verify_attribute(name[BioShock], esrb[M (for Mature)], rating[good])","Do you tend to enjoy M rated games, or is BioShock simply unique which made you like it?"
"verify_attribute(name[BioShock], esrb[M (for Mature)], rating[good])",I know you enjoyed BioShock a fair amount. Would you say that you like to play M rated games in general?
"verify_attribute(name[BioShock], rating[good], genres[action-adventure, role-playing, shooter])","You said you liked BioShock. So I'm curious, do you tend to enjoy action-adventure role-playing shooters overall?"
"verify_attribute(name[BioShock], rating[good], genres[action-adventure, role-playing, shooter])","Hey, so you enjoyed BioShock. Is such an action-adventure shooter style of games with RPG elements something you dig?"
"verify_attribute(name[BioShock], rating[good], has_multiplayer[no])","You mentioned that you had fun playing BioShock. Do you, in general, enjoy single-player only games like that?"
"verify_attribute(name[BioShock], rating[good], has_multiplayer[no])","Do you enjoy most of the single-player only games, or is BioShock special?"
"verify_attribute(name[BioShock], rating[good], player_perspective[first person])","So you liked playing BioShock, is that true for most first person games though?"
"verify_attribute(name[BioShock], rating[good], player_perspective[first person])",I know you felt BioShock was a pretty good game. Is first person a perspective you prefer in games you play?
"verify_attribute(name[Small World 2], developer[Days of Wonder], rating[poor])",You mentioned how much you dislike Small World 2. Does Days of Wonder often mess up games in your experience?
"verify_attribute(name[Small World 2], developer[Days of Wonder], rating[poor])","Do you think your disappointment with Small World 2, that you mentioned earlier, was caused by the general incompetence of the developer Days of Wonder?"
"verify_attribute(name[Small World 2], rating[poor], genres[indie, trivia/board game])","Do you tend to be disappointed by indie trivia/board games, or was it just Small World 2?"
"verify_attribute(name[Small World 2], rating[poor], genres[indie, trivia/board game])",You've mentioned how bad Small World 2 was. Do you just not enjoy indie games in the trivia/board game genre at all?
"verify_attribute(name[Small World 2], rating[poor], has_multiplayer[yes])","Just a moment ago you were talking about how poor of a game Small World 2 was. So I'm wondering, is it the multiplayer that typically spoils your experience?"
"verify_attribute(name[Small World 2], rating[poor], has_multiplayer[yes])","Do you dislike multiplayer games in general, or was it just Small World 2 that happened to be particularly bad in your view?"
"verify_attribute(name[Small World 2], rating[poor], has_linux_release[yes])",You just mentioned that Small World 2 was not your cup of tea at all. This got me wondering if you find Linux releases just poor versions of their originals.
"verify_attribute(name[Small World 2], rating[poor], has_linux_release[yes])","Do you often have a bad experience with Linux games, or was Small World 2 more of an exception?"
"verify_attribute(name[Small World 2], rating[poor], available_on_steam[yes])",You mentioned not liking Small World 2 at all. Do you end up disliking many games that you get on Steam?
"verify_attribute(name[Small World 2], rating[poor], available_on_steam[yes])","Do you tend to not enjoy playing games on Steam, or is it just a problem with Small World 2?"
