mr,ref,errors,incorrect slots
request(specifier[absorbing]),What is the game you think has the most absorbing gameplay?,0,
request(specifier[absorbing]),What game have you found particularly absorbing lately?,0,
request(specifier[absorbing]),Do you remember any games that you felt were absorbing?,0,
request(specifier[addictive]),Are there any games you find really addictive?,0,
request(specifier[addictive]),What game did you find most addictive last year?,0,
request(specifier[addictive]),Have you played a game recently that you found really addictive?,0,
request(specifier[annoying]),Have you played a game lately that you found annoying?,0,
request(specifier[annoying]),What's an annoying game that you've played recently?,0,
request(specifier[annoying]),Have you ever played a game that you just found annoying?,0,
request(specifier[beautiful]),Have you played any video games lately that you thought were beautiful?,0,
request(specifier[beautiful]),"Have you played any beautiful games recently, which you enjoy just looking at?",0,
request(specifier[beautiful]),Is there a game you enjoyed playing just because it was so beautiful?,0,
request(specifier[bizarre]),What's a game you know of that you would describe as totally bizarre?,0,
request(specifier[bizarre]),What do you think is a really bizarre game?,0,
request(specifier[bizarre]),Have you ever encountered a video game that struck you as plain bizarre?,0,
request(specifier[boring]),What's a game you found really boring and would thus never recommend?,0,
request(specifier[boring]),Did you find any releases this year to be overly boring?,0,
request(specifier[boring]),What game did you find to be really boring?,0,
request(specifier[calming]),Can you think of any calming video games?,0,
request(specifier[calming]),Have you ever played a video game that was nice and calming?,0,
request(specifier[calming]),What was the most calming game you got to play?,0,
request(specifier[challenging]),What's the last game you played that you found particularly challenging?,0,
request(specifier[challenging]),Do you have a tip for a really challenging game?,0,
request(specifier[challenging]),"I'm looking for a challenging game to play, have you played any lately?",0,
request(specifier[cheap]),What's a really cheap game you think I might like?,0,
request(specifier[cheap]),What good cheap games have just come out?,0,
request(specifier[cheap]),Have you played any cheap games that you enjoyed?,0,
request(specifier[cheerful]),Is there a nice cheerful game you can remember playing?,0,
request(specifier[cheerful]),"I've been feeling depressed lately, is their a cheerful video game you can think of that I could play?",0,
request(specifier[cheerful]),What's a cheerful game you've played lately?,0,
request(specifier[disappointing]),What was the most disappointing release this year so far in your opinion?,0,
request(specifier[disappointing]),Was there a game you found simply disappointing?,0,
request(specifier[disappointing]),Has there been a game that was really disappointing to you?,0,
request(specifier[dramatic]),What's a game you played lately that you felt was really dramatic?,0,
request(specifier[dramatic]),Is there a good dramatic game you would recommend?,0,
request(specifier[dramatic]),What's a really dramatic game that you've played?,0,
request(specifier[dynamic]),What game can you think of that has a very dynamic plot?,0,
request(specifier[dynamic]),Was there ever a game you played that you felt was really dynamic?,0,
request(specifier[dynamic]),Do you have experience with some nicely dynamic games I might like?,0,
request(specifier[empowering]),Did you find any of this year's releases particularly empowering to play through?,0,
request(specifier[empowering]),Do you know of a video game that feels empowering to play?,0,
request(specifier[empowering]),Have you played any games that were empowering for you?,0,
request(specifier[exceptional]),Have you played anything lately that you felt was an exceptional video game?,0,
request(specifier[exceptional]),Is there any game you played lately that you felt was exceptional?,0,
request(specifier[exceptional]),What was the most exceptional game you played in the last couple of months?,0,
request(specifier[fascinating]),What do you think is the most fascinating game you've played?,0,
request(specifier[fascinating]),Is there any game you've played lately that you felt was fascinating?,0,
