mr,ref
"inform(name[__slot_con_name__], releaseyear[2012], esrb[e 10+ ( for everyone 10 and older )], genres[driving/racing , sport], platforms[playstation , xbox , pc], availableonsteam[no], haslinuxrelease[no], hasmacrelease[no])","__slot_con_name__ from 2012 is a sport racing game for the playstation , xbox , pc rated e 10+ ( for everyone 10 and older ) . it 's not available on steam , linux , or mac ."
"inform(name[__slot_con_name__], releaseyear[2012], esrb[e 10+ ( for everyone 10 and older )], genres[driving/racing , sport], platforms[playstation , xbox , pc], availableonsteam[no], haslinuxrelease[no], hasmacrelease[no])","__slot_con_name__ is a sport racing game that was released in 2012. the game is available on playstation , xbox , and pc , and it has an esrb rating of e 10+ ( for everyone 10 and older ) . however , it is not yet available as a steam , linux , or mac release ."
"inform(name[__slot_con_name__], releaseyear[2012], esrb[e 10+ ( for everyone 10 and older )], genres[driving/racing , sport], platforms[playstation , xbox , pc], availableonsteam[no], haslinuxrelease[no], hasmacrelease[no])","__slot_con_name__ is a driving/racing sport game released in 2012. it is rated e 10+ , and is available on playstation , xbox and pc , but not on steam , mac , or linux ."
"request(releaseyear[2014], specifier[terrible])",were there even any terrible games in 2014 ?
"request(releaseyear[2014], specifier[terrible])",what 's the most terrible game that you played in the year 2014 ?
"request(releaseyear[2014], specifier[terrible])",what 's a truly terrible game released in 2014 that you know of ?
"give_opinion(name[__slot_con_name__], rating[good], genres[adventure , platformer , puzzle], playerperspective[side view])","adventure games that combine platforming and puzzles can be frustrating to play , but the side view perspective is perfect for them . that 's why i enjoyed playing __slot_con_name__ ."
"give_opinion(name[__slot_con_name__], rating[good], genres[adventure , platformer , puzzle], playerperspective[side view])",__slot_con_name__ is a pretty cool game that has kept me entertained . it 's an adventure side-scrolling platformer with some puzzle elements to give me a bit of a challenge .
"give_opinion(name[__slot_con_name__], rating[good], genres[adventure , platformer , puzzle], playerperspective[side view])","__slot_con_name__ is a good little adventure platforming puzzle game , i particularly enjoy what they did with the side view too ."
"inform(name[__slot_con_name__], releaseyear[1993], genres[action , strategy], platforms[nintendo , pc], availableonsteam[no], haslinuxrelease[no], hasmacrelease[no])","__slot_con_name__ is an action and strategy game from 1993 for nintendo consoles and pc only . it 's an older console game that is , unfortunately , not available to play on steam and does not offer support for mac or linux ."
"inform(name[__slot_con_name__], releaseyear[1993], genres[action , strategy], platforms[nintendo , pc], availableonsteam[no], haslinuxrelease[no], hasmacrelease[no])","__slot_con_name__ is an action strategy game that came out in 1993 for nintendo and pc only . this title is not available on either steam , linux , or mac ."
"inform(name[__slot_con_name__], releaseyear[1993], genres[action , strategy], platforms[nintendo , pc], availableonsteam[no], haslinuxrelease[no], hasmacrelease[no])","__slot_con_name__ was released in 1993 on nintendo and pc only . it is not available on steam , linux or mac . it is an action strategy game ."
"inform(name[__slot_con_name__], genres[driving/racing , sport], playerperspective[first person , third person], hasmultiplayer[yes], platforms[playstation , xbox , pc], availableonsteam[no])","the multiplayer sport racing game , __slot_con_name__ , offers both first and third person perspectives . the game is available on playstation , xbox and pc but not on steam ."
"inform(name[__slot_con_name__], genres[driving/racing , sport], playerperspective[first person , third person], hasmultiplayer[yes], platforms[playstation , xbox , pc], availableonsteam[no])","__slot_con_name__ is a multiplayer sport racing game for playstation , xbox , and pc only . there is no steam release . you can play from both the first and third person perspective ."
"inform(name[__slot_con_name__], genres[driving/racing , sport], playerperspective[first person , third person], hasmultiplayer[yes], platforms[playstation , xbox , pc], availableonsteam[no])","__slot_con_name__ is a sport racing game that is available for playstation , xbox , and pc . it is not available on steam . the game has multiplayer available , and can be played either from a first person or a third person perspective ."
"confirm(name[__slot_con_name__], genres[adventure , indie , point-and-click], playerperspective[first person])","are you referring to __slot_con_name__ , the first person indie point-and-click adventure game ?"
"confirm(name[__slot_con_name__], genres[adventure , indie , point-and-click], playerperspective[first person])",is the __slot_con_name__ you mentioned the first person indie point-and-click adventure game ?
"confirm(name[__slot_con_name__], genres[adventure , indie , point-and-click], playerperspective[first person])","__slot_con_name__ , the indie first person point-and-click adventure game ?"
"inform(name[__slot_con_name__], developer[__slot_con_developer__], rating[average], genres[driving/racing , simulation], hasmultiplayer[no], platforms[playstation , pc], availableonsteam[no])","__slot_con_name__ is a driving simulator that was released on playstation and pc by the developer __slot_con_developer__ with average reviews . there 's no multiplayer , and it 's not available on steam ."
"inform(name[__slot_con_name__], developer[__slot_con_developer__], rating[average], genres[driving/racing , simulation], hasmultiplayer[no], platforms[playstation , pc], availableonsteam[no])","__slot_con_name__ is a driving simulation game developed by __slot_con_developer__ which received average reviews . it has no multiplayer , but is available on playstation and pc . the game is not available on steam ."
"inform(name[__slot_con_name__], developer[__slot_con_developer__], rating[average], genres[driving/racing , simulation], hasmultiplayer[no], platforms[playstation , pc], availableonsteam[no])","__slot_con_name__ , by __slot_con_developer__ , is a single-player driving simulator with average ratings . it is available on playstation and pc . it is not available on steam ."
"inform(name[__slot_con_name__], releaseyear[2017], rating[poor], genres[real-time strategy , role-playing], platforms[pc], availableonsteam[yes])",__slot_con_name__ is a poor real-time strategy that came out in 2017 for pc only . the role-playing game is also on steam .
"inform(name[__slot_con_name__], releaseyear[2017], rating[poor], genres[real-time strategy , role-playing], platforms[pc], availableonsteam[yes])","__slot_con_name__ is a real-time strategy , role-playing pc game available on steam . it was released in 2017 and is rated poorly ."
"inform(name[__slot_con_name__], releaseyear[2017], rating[poor], genres[real-time strategy , role-playing], platforms[pc], availableonsteam[yes])",__slot_con_name__ is a poorly-rated role-playing real-time strategy game . it was released in 2017 for pc . you can get it through steam .
"verify_attribute(name[__slot_vow_name__], rating[excellent], hasmultiplayer[yes])","is playing multiplayer games something you 're always up to , or was __slot_vow_name__ an unusually good one ?"
"verify_attribute(name[__slot_vow_name__], rating[excellent], hasmultiplayer[yes])",i know you thought that __slot_vow_name__ was a truly excellent game . do you also love other games that have a multiplayer option ?
"verify_attribute(name[__slot_vow_name__], rating[excellent], hasmultiplayer[yes])",you 've told me before that you love __slot_vow_name__ . is that because you enjoy multiplayer games ?
"suggest(name[__slot_con_name__], availableonsteam[yes])","i bet you like it when you can play games on steam , like __slot_con_name__ , right ?"
"suggest(name[__slot_con_name__], availableonsteam[yes])","have you ever played a game on steam , such as __slot_con_name__ ?"
"suggest(name[__slot_con_name__], availableonsteam[yes])","do you enjoy other games on steam , i do n't know , like __slot_con_name__ ?"
"verify_attribute(name[__slot_con_det_name__], esrb[e ( for everyone )], rating[excellent], platforms[nintendo])",you said you loved __slot_con_det_name__ . do you often tend to play similar nintendo games that are also rated e ?
"verify_attribute(name[__slot_con_det_name__], esrb[e ( for everyone )], rating[excellent], platforms[nintendo])",i recall you saying that you really enjoyed __slot_con_det_name__ . are you typically a big fan of games on nintendo rated e ( for everyone ) ?
"verify_attribute(name[__slot_con_det_name__], esrb[e ( for everyone )], rating[excellent], platforms[nintendo])","so since you mentioned that you absolutely loved __slot_con_det_name__ , it got me curious about something . do you also love nintendo 's lineup of other e rated games ?"
"request_explanation(releaseyear[2005], rating[excellent])",so what is it about the games that were released in 2005 that you find so excellent ?
"request_explanation(releaseyear[2005], rating[excellent])",what is it about 2005 's games that you think are so great ?
"request_explanation(releaseyear[2005], rating[excellent])",what is it about games released in 2005 that makes you think it 's such a fantastic year for video games ?
"inform(name[__slot_con_name__], releaseyear[2017], genres[driving/racing], playerperspective[third person], hasmultiplayer[yes], platforms[playstation , xbox , pc], haslinuxrelease[no], hasmacrelease[no])","__slot_con_name__ was released in 2017 on playstation , xbox and pc . it was n't released on linux or mac . it is a third person driving racing game that you can be play together with your friends ."
"inform(name[__slot_con_name__], releaseyear[2017], genres[driving/racing], playerperspective[third person], hasmultiplayer[yes], platforms[playstation , xbox , pc], haslinuxrelease[no], hasmacrelease[no])","i have recently played __slot_con_name__ , a third person racing game whose multiplayer mode allows you to play with your friends online . it was released for playstation , xbox , and pc in 2017 , but has no linux or mac release ."
"inform(name[__slot_con_name__], releaseyear[2017], genres[driving/racing], playerperspective[third person], hasmultiplayer[yes], platforms[playstation , xbox , pc], haslinuxrelease[no], hasmacrelease[no])","__slot_con_name__ is a third person driving/racing game with a multiplayer mode . it came out in 2017 for playstation , xbox , and pc , but it is not available on mac or linux ."
"inform(name[__slot_con_name__], releaseyear[2002], rating[excellent], genres[real-time strategy], playerperspective[bird view], hasmultiplayer[yes])",__slot_con_name__ received excellent reviews when it was released in 2002. it really raised the bar for multiplayer bird 's eye perspective rts games .
"inform(name[__slot_con_name__], releaseyear[2002], rating[excellent], genres[real-time strategy], playerperspective[bird view], hasmultiplayer[yes])",__slot_con_name__ is an excellent multiplayer real-time strategy game with a bird 's eye perspective . it came out in 2002 .
"inform(name[__slot_con_name__], releaseyear[2002], rating[excellent], genres[real-time strategy], playerperspective[bird view], hasmultiplayer[yes])",__slot_con_name__ is a real-time strategy game with bird 's eye view player perspective and multiplayer . it was released in 2002 and received excellent reviews .
"request_explanation(developer[__slot_con_developer__], rating[excellent], genres[adventure , hack-and-slash , indie])",what is it about __slot_con_developer__ 's indie hack-and-slash adventure games that you find so unique ?
"request_explanation(developer[__slot_con_developer__], rating[excellent], genres[adventure , hack-and-slash , indie])",is there something special about __slot_con_developer__ 's indie hack-and-slash adventure games that makes you find them so appealing ?
"request_explanation(developer[__slot_con_developer__], rating[excellent], genres[adventure , hack-and-slash , indie])",why do you think that __slot_con_developer__ 's indie hack-and-slash adventure games are some of the best you ever played ?
"inform(name[__slot_vow_name__], releaseyear[2016], developer[__slot_con_developer__], rating[excellent], genres[action-adventure , shooter], playerperspective[third person], platforms[playstation])","__slot_vow_name__ , by __slot_con_developer__ came out 2016 with excellent ratings . it 's an action-adventure third person shooter game exclusively for the playstation platform ."
"inform(name[__slot_vow_name__], releaseyear[2016], developer[__slot_con_developer__], rating[excellent], genres[action-adventure , shooter], playerperspective[third person], platforms[playstation])","if you 're looking for an excellent third person , action-adventure shooter , you should try __slot_con_developer__ 's __slot_vow_name__ from 2016. it 's available on playstation ."
"inform(name[__slot_vow_name__], releaseyear[2016], developer[__slot_con_developer__], rating[excellent], genres[action-adventure , shooter], playerperspective[third person], platforms[playstation])","__slot_vow_name__ is an excellent third person action-adventure with shooter elements that came out in 2016. it was released as a playstation exclusive by the developer , __slot_con_developer__ ."
"suggest(name[__slot_con_det_name__], genres[simulation , strategy], platforms[pc])","i 'm curious , have you ever played any strategy simulators for the pc , such as __slot_con_det_name__ ?"
"suggest(name[__slot_con_det_name__], genres[simulation , strategy], platforms[pc])","do you like to play strategy simulation games on pc , like __slot_con_det_name__ ?"
"suggest(name[__slot_con_det_name__], genres[simulation , strategy], platforms[pc])",do you also like pc simulation strategy games like __slot_con_det_name__ ?
"request_explanation(rating[good], hasmultiplayer[yes])",what about multiplayer games do you find enjoyable ?
"request_explanation(rating[good], hasmultiplayer[yes])",you like multiplayer games quite a bit . can you tell me why that is ?
"request_explanation(rating[good], hasmultiplayer[yes])","so i 'm curious , why is it you seem to enjoy multiplayer games ?"
"inform(name[__slot_con_name__], developer[__slot_con_developer__], rating[poor], genres[adventure , indie , point-and-click], playerperspective[first person])","__slot_con_name__ is an adventure point-and-click indie game that the __slot_con_developer__ developed with first person support , though it 's received some poor ratings ."
"inform(name[__slot_con_name__], developer[__slot_con_developer__], rating[poor], genres[adventure , indie , point-and-click], playerperspective[first person])","__slot_con_name__ is a poorly reviewed indie point-and-click , first person adventure game developed by __slot_con_developer__ ."
"inform(name[__slot_con_name__], developer[__slot_con_developer__], rating[poor], genres[adventure , indie , point-and-click], playerperspective[first person])",__slot_con_name__ is a poor indie adventure game by __slot_con_developer__ . the point-and-click is in first person only .
"confirm(name[__slot_con_name__], playerperspective[side view], availableonsteam[yes])","are you talking about the side view game __slot_con_name__ , the one that is available on steam ?"
"confirm(name[__slot_con_name__], playerperspective[side view], availableonsteam[yes])","do you mean the __slot_con_name__ with a side view , released on steam ?"
"confirm(name[__slot_con_name__], playerperspective[side view], availableonsteam[yes])",is the __slot_con_name__ you mentioned the one on steam with the side view perspective ?
"inform(name[__slot_con_name__], releaseyear[1990], esrb[e ( for everyone )], rating[excellent], genres[platformer], playerperspective[side view], hasmultiplayer[yes], platforms[nintendo])",__slot_con_name__ is an excellent platformer that came out in 1990 for nintendo only . this game is rated e ( for everyone ) and has a side view perspective . you can also play multiplayer .
"inform(name[__slot_con_name__], releaseyear[1990], esrb[e ( for everyone )], rating[excellent], genres[platformer], playerperspective[side view], hasmultiplayer[yes], platforms[nintendo])","__slot_con_name__ is an excellent 1990 nintendo platformer . it is a side view game game with multiplayer , and it is rated e ( for everyone ) ."
"inform(name[__slot_con_name__], releaseyear[1990], esrb[e ( for everyone )], rating[excellent], genres[platformer], playerperspective[side view], hasmultiplayer[yes], platforms[nintendo])",__slot_con_name__ is an excellent platformer game that is played in the side view . it was released in 1990 on nintendo and is rated e ( for everyone ) . it can be played multiplayer .
"inform(name[__slot_con_name__], rating[excellent], genres[real-time strategy], hasmultiplayer[yes])",__slot_con_name__ is a multiplayer real-time strategy game that has received excellent ratings .
"inform(name[__slot_con_name__], rating[excellent], genres[real-time strategy], hasmultiplayer[yes])","for an excellent real-time strategy with multiplayer , check out __slot_con_name__ ."
"inform(name[__slot_con_name__], rating[excellent], genres[real-time strategy], hasmultiplayer[yes])","__slot_con_name__ is an excellent multiplayer real-time strategy game , a must have for any gamer ."
"inform(name[__slot_con_name__], developer[__slot_con_developer__], genres[text adventure], platforms[pc], availableonsteam[yes], haslinuxrelease[no], hasmacrelease[no])",__slot_con_developer__ put out a text adventure game called __slot_con_name__ . it is a pc only release that can be found on steam . it currently does n't support linux or mac though .
"inform(name[__slot_con_name__], developer[__slot_con_developer__], genres[text adventure], platforms[pc], availableonsteam[yes], haslinuxrelease[no], hasmacrelease[no])","__slot_con_developer__ developed __slot_con_name__ , a text adventure game for pc only . it is available on steam , but there is no linux or mac release ."
"inform(name[__slot_con_name__], developer[__slot_con_developer__], genres[text adventure], platforms[pc], availableonsteam[yes], haslinuxrelease[no], hasmacrelease[no])",__slot_con_name__ is a text adventure by __slot_con_developer__ for pc only . this game is available on steam and is not available for linux or mac .
"give_opinion(name[__slot_con_name__], rating[good], genres[simulation , strategy], hasmacrelease[no])","__slot_con_name__ is a pretty fun game . i enjoy strategy simulators like it and would even call it great , but its lack of a mac release holds it back a tiny bit ."
"give_opinion(name[__slot_con_name__], rating[good], genres[simulation , strategy], hasmacrelease[no])","__slot_con_name__ is a pretty good single-player strategy simulation game . my only tiny gripe with it is that it does n't run on mac , so i have to sit at my desktop computer to play it ."
"give_opinion(name[__slot_con_name__], rating[good], genres[simulation , strategy], hasmacrelease[no])","i love strategy simulators , so __slot_con_name__ would be a truly excellent game if only it had a mac release . it 's still pretty good without one though ."
"inform(name[__slot_con_det_name__], releaseyear[2014], developer[__slot_con_det_developer__], esrb[m ( for mature )], genres[adventure , indie], playerperspective[first person], platforms[playstation , xbox , pc], availableonsteam[yes])","__slot_con_det_name__ is a game released on steam in 2014 by __slot_con_det_developer__ . it is an indie adventure game viewed in first person . it is rated m ( for mature ) by esrb and available on playstation , xbox and pc via steam ."
"inform(name[__slot_con_det_name__], releaseyear[2014], developer[__slot_con_det_developer__], esrb[m ( for mature )], genres[adventure , indie], playerperspective[first person], platforms[playstation , xbox , pc], availableonsteam[yes])","you can get __slot_con_det_name__ by __slot_con_det_developer__ on steam , playstation , xbox , and pc . it is a first person , indie , adventure game rated m from 2014 ."
"inform(name[__slot_con_det_name__], releaseyear[2014], developer[__slot_con_det_developer__], esrb[m ( for mature )], genres[adventure , indie], playerperspective[first person], platforms[playstation , xbox , pc], availableonsteam[yes])","__slot_con_det_name__ is a decent first person adventure game from 2014 , rated m ( for mature ) . it was developed by the indie studio __slot_con_det_developer__ for playstation , xbox and pc . oh , and you can get in on steam ."
"request(playerperspective[first person], specifier[oldest])",what 's the oldest first person game you know of ?
"request(playerperspective[first person], specifier[oldest])",what 's the oldest game with a first person perspective that you ever played ?
"request(playerperspective[first person], specifier[oldest])","i 'm curious , what 's the oldest game you ever played that had a first person perspective ?"
"inform(name[__slot_vow_det_name__], rating[good], genres[action-adventure], playerperspective[third person], platforms[playstation , xbox , pc], availableonsteam[no])","__slot_vow_det_name__ is a good third person action-adventure game . it runs on playstation , xbox , and pc , but it is not on steam ."
"inform(name[__slot_vow_det_name__], rating[good], genres[action-adventure], playerperspective[third person], platforms[playstation , xbox , pc], availableonsteam[no])","__slot_vow_det_name__ is a good third person action-adventure game available on playstation , xbox , and pc . it 's not available on steam ."
"inform(name[__slot_vow_det_name__], rating[good], genres[action-adventure], playerperspective[third person], platforms[playstation , xbox , pc], availableonsteam[no])","__slot_vow_det_name__ is a good action-adventure game played in third person . it is playable on playstation , xbox and pc but does not have a steam release ."
"recommend(name[__slot_con_name__], availableonsteam[yes])",i know you got some steam credits for your birthday . have you tried __slot_con_name__ yet ?
"recommend(name[__slot_con_name__], availableonsteam[yes])","since you like to play your games on steam , have you heard of __slot_con_name__ ?"
"recommend(name[__slot_con_name__], availableonsteam[yes])","if you like grabbing games on steam , you should check out __slot_con_name__ . unless you 've already played it ?"
"verify_attribute(name[__slot_con_name__], releaseyear[2003], developer[__slot_con_developer__], rating[poor])",you said that you disliked __slot_con_name__ . do you not really like to play games by __slot_con_developer__ from 2003 then ?
"verify_attribute(name[__slot_con_name__], releaseyear[2003], developer[__slot_con_developer__], rating[poor])","if i remember correctly , you did not like __slot_con_name__ . did __slot_con_developer__ let go off their high standard in 2003 , you think ?"
"verify_attribute(name[__slot_con_name__], releaseyear[2003], developer[__slot_con_developer__], rating[poor])",you said earlier that you dislike __slot_con_name__ . are you just not a fan of games from 2003 by __slot_con_developer__ ?
"verify_attribute(name[__slot_con_name__], rating[good], hasmultiplayer[yes])","you said you thought __slot_con_name__ was a pretty good game , if i remember right . do you like to play games with friends in multiplayer ?"
"verify_attribute(name[__slot_con_name__], rating[good], hasmultiplayer[yes])","i know you liked __slot_con_name__ , but do you usually prefer games that offer multiplayer ?"
"verify_attribute(name[__slot_con_name__], rating[good], hasmultiplayer[yes])","are you usually a fan of multiplayer games , or was __slot_con_name__ just particularly well done ?"
"inform(name[__slot_vow_name__], releaseyear[2012], esrb[t ( for teen )], rating[poor], genres[action-adventure , shooter], playerperspective[third person])","if you 're looking for more third person action-adventure shooter games , there 's __slot_vow_name__ from 2012. it has a t ( for teen ) rating . it has received poor reviews , but it could still be worth a try ."
"inform(name[__slot_vow_name__], releaseyear[2012], esrb[t ( for teen )], rating[poor], genres[action-adventure , shooter], playerperspective[third person])",__slot_vow_name__ was released in 2012 with a t ( for teen ) rating . it is rated poor . it is a third person action-adventure shooter game .
"inform(name[__slot_vow_name__], releaseyear[2012], esrb[t ( for teen )], rating[poor], genres[action-adventure , shooter], playerperspective[third person])","__slot_vow_name__ is a third person shooter from 2012. it is an action-adventure with a t ( for teen ) . unfortunately , its reviews were pretty poor ."
