mr,ref
"request(available_on_steam[yes], specifier[challenging])",Are there any challenging games you like that are on Steam?
"request(available_on_steam[yes], specifier[challenging])","Hey, is there any challenging game on Steam right now that you like?"
"request(available_on_steam[yes], specifier[challenging])",What's a good challenging game you know of that's available on Steam?
"request(available_on_steam[yes], specifier[cheap])",What cheap game that's on Steam right now would you suggest?
"request(available_on_steam[yes], specifier[cheap])",What's a cheap game I can get on Steam right now?
"request(available_on_steam[yes], specifier[cheap])",Any games you know of on Steam that are cheap right now?
"request(available_on_steam[yes], specifier[latest])",What's the name of the latest game you got on Steam?
"request(available_on_steam[yes], specifier[latest])",What's the latest game you played on Steam?
"request(available_on_steam[yes], specifier[latest])",What's the latest game you've been playing on Steam?
"request(available_on_steam[yes], specifier[ugliest])",What do you think is the ugliest game available on Steam right now?
"request(available_on_steam[yes], specifier[ugliest])",What's the ugliest game you've found on Steam so far?
"request(available_on_steam[yes], specifier[ugliest])",What do you think is the ugliest game ever released on Steam?
"request(developer[Bloober Team], specifier[silliest])",What do you think is the silliest game made by Bloober Team?
"request(developer[Bloober Team], specifier[silliest])",What do you think is the silliest game ever made by Bloober Team?
"request(developer[Bloober Team], specifier[silliest])",What's the silliest game that Bloober Team has made?
"request(developer[EA Canada], specifier[favorite])",What is your favorite game made by EA Canada?
"request(developer[EA Canada], specifier[favorite])","I'm curious, what is your favorite game made by EA Canada?"
"request(developer[EA Canada], specifier[favorite])",What's your favorite game that EA Canada has made?
"request(developer[Firefly Studios], specifier[upcoming])",Are there any upcoming games from Firefly Studios you're looking forward to?
"request(developer[Firefly Studios], specifier[upcoming])",Is there any upcoming game by Firefly Studios that you're interested in?
"request(developer[Firefly Studios], specifier[upcoming])",What's the name of the upcoming game developed by Firefly Studios?
"request(developer[Ghost Games], specifier[exceptional])",Have you played any exceptional games by Ghost Games?
"request(developer[Ghost Games], specifier[exceptional])",Is there a game made by Ghost Games that you found exceptional?
"request(developer[Ghost Games], specifier[exceptional])",Has Ghost Games made anything exceptional?
"request(developer[Guerrilla Games], specifier[overrated])",What would you say is the most overrated game made by Guerrilla Games?
"request(developer[Guerrilla Games], specifier[overrated])",Is there a game made by Guerrilla Games that you felt was overrated?
"request(developer[Guerrilla Games], specifier[overrated])",What's an overrated game made by Guerrilla Games?
"request(developer[Hazelight Studios], specifier[classic])",Did Hazelight Studios make any classic games?
"request(developer[Hazelight Studios], specifier[classic])",What do you think is the most classic game made by Hazelight Studios?
"request(developer[Hazelight Studios], specifier[classic])",Do you know of a game from Hazelight Studios that has a classic feel?
"request(developer[Neversoft Entertainment], specifier[other])",What other game developed by Neversoft Entertainment have you played?
"request(developer[Neversoft Entertainment], specifier[other])",What other games does Neversoft Entertainment make?
"request(developer[Neversoft Entertainment], specifier[other])",So have you played any other games from Neversoft Entertainment lately?
