mr,ref
"confirm(name[Anthem], genres[action-adventure, role-playing, shooter], player_perspective[third person])",Do you mean Anthem that is a third person action-adventure and role-playing shooter?
"confirm(name[Anthem], exp_release_date[February 22, 2020], has_multiplayer[yes])","Are you talking about Anthem with multiplayer that is expected to be released on February 22, 2020?"
"confirm(name[Anthem], developer[BioWare], platforms[PlayStation])",Is that Anthem developed by BioWare that you can play on PlayStation?
"confirm(name[Anthem], genres[action-adventure, role-playing, shooter], has_multiplayer[yes])",Do you mean Anthem that is an action-adventure role-playing shooter with multiplayer?
"confirm(name[Anthem], has_multiplayer[yes], platforms[PlayStation])",Is that Anthem that you can play on PlayStation with multiplayer?
"confirm(name[Tomb Raider: The Angel of Darkness], release_year[2003], developer[Core Design])",Are you talking about the Tomb Raider: The Angel of Darkness developed by Core Design in 2003?
"confirm(name[Tomb Raider: The Angel of Darkness], player_perspective[third person], platforms[PC])",Do you mean Tomb Raider: The Angel of Darkness with a third person perspective that you can play on PC?
"confirm(name[Tomb Raider: The Angel of Darkness], esrb[T (for Teen)], has_mac_release[yes])",Is that the Tomb Raider: The Angel of Darkness with a teen content rating that has a Mac release?
"confirm(name[Tomb Raider: The Angel of Darkness], has_multiplayer[no], has_linux_release[no])",Are you talking about the Tomb Raider: The Angel of Darkness with a Linux release that doesn't have multiplayer?
"confirm(name[Tomb Raider: The Angel of Darkness], developer[Core Design], available_on_steam[yes])",Do you mean the Tomb Raider: The Angel of Darkness developed by Core Design that is available on Steam?
"confirm(name[Worms: Reloaded], genres[action, platformer, strategy], platforms[PC])","You mean Worms: Reloaded, the PC action and strategy platformer?"
"confirm(name[Worms: Reloaded], player_perspective[side view], available_on_steam[yes])","Are you talking about the side view game Worms: Reloaded, the one that is available on Steam?"
"confirm(name[Worms: Reloaded], developer[Team17 Digital Ltd], platforms[PC])",Are you talking about the PC game by Team17 Digital Ltd called Worms: Reloaded?
"confirm(name[Worms: Reloaded], release_year[2010], platforms[PC])","Is that Worms: Reloaded, the 2010 PC game?"
"confirm(name[Worms: Reloaded], has_linux_release[yes], has_mac_release[yes])","Are you talking about Worms: Reloaded, the game released on both Linux and Mac?"
"confirm(name[Shadow of the Tomb Raider], exp_release_date[September 14, 2019], platforms[Xbox])","Do you mean the Shadow of the Tomb Raider expected to be released on September 14, 2019, that you will be able to play on Xbox?"
"confirm(name[Shadow of the Tomb Raider], developer[Eidos Montréal], player_perspective[third person])","Is that the Shadow of the Tomb Raider developed by Eidos Montréal, with a third person perspective?"
"confirm(name[Shadow of the Tomb Raider], genres[adventure, shooter], platforms[Xbox])","Are you talking about Shadow of the Tomb Raider, the adventure shooter that you can play on Xbox?"
"confirm(name[Shadow of the Tomb Raider], exp_release_date[September 14, 2019], developer[Eidos Montréal])","Is that the Shadow of the Tomb Raider developed by Eidos Montréal that is expected to be released on September 14, 2019?"
"confirm(name[Shadow of the Tomb Raider], genres[adventure, shooter], player_perspective[third person])","Do you mean the adventure shooter, Shadow of the Tomb Raider, with a third person perspective?"
"confirm(name[Hellblade: Senua's Sacrifice], platforms[PC], available_on_steam[yes])",Are you talking about Hellblade: Senua's Sacrifice which is available on Steam for the PC?
"confirm(name[Hellblade: Senua's Sacrifice], release_year[2017], developer[Ninja Theory])",Is that the Hellblade: Senua's Sacrifice developed by Ninja Theory and released in 2017?
"confirm(name[Hellblade: Senua's Sacrifice], genres[adventure, hack-and-slash, indie], player_perspective[third person])","Is it Hellblade: Senua's Sacrifice that you're talking about, the indie hack-and-slash adventure game with a third person perspective?"
"confirm(name[Hellblade: Senua's Sacrifice], esrb[M (for Mature)], has_linux_release[no])","Are you referring to Hellblade: Senua's Sacrifice, which has an M (for Mature) rating and no Linux release?"
"confirm(name[Hellblade: Senua's Sacrifice], release_year[2017], has_multiplayer[no])","Is it Hellblade: Senua's Sacrifice you are referring to, released in 2017 with no multiplayer?"
"confirm(name[FIFA 12], release_year[2011], developer[EA Canada])","That's the FIFA 12 from EA Canada, released in 2011?"
"confirm(name[FIFA 12], genres[simulation, sport], player_perspective[bird view])","You're talking about FIFA 12, the sports simulation game with a bird's eye view?"
"confirm(name[FIFA 12], esrb[E (for Everyone)], platforms[Nintendo])","So you mean FIFA 12, rated E (for Everyone), for the Nintendo system?"
"confirm(name[FIFA 12], has_multiplayer[yes], platforms[Nintendo])","To clarify, that's FIFA 12 with the multiplayer mode for the Nintendo platform?"
"confirm(name[FIFA 12], developer[EA Canada], genres[simulation, sport])",Oh! So you're referring to the FIFA 12 sports simulation game from EA Canada?
"confirm(name[Undertale], developer[tobyfox], available_on_steam[yes])","Do you mean Undertale, the game tobyfox made, available on Steam?"
"confirm(name[Undertale], player_perspective[bird view], has_linux_release[yes])","Undertale, that bird view game that's available on Linux, right?"
"confirm(name[Undertale], release_year[2015], genres[adventure, indie, role-playing])","2015's indie adventure RPG, Undertale, is that correct?"
"confirm(name[Undertale], esrb[E (for Everyone)], has_multiplayer[no])","Undertale is the single-player game rated E (for Everyone), if I remember right?"
"confirm(name[Undertale], has_linux_release[yes], has_mac_release[yes])","Are you talking about Undertale, which is available on both Mac and Linux?"
"confirm(name[BioShock], release_year[2007], genres[action-adventure, role-playing, shooter])",Are you talking about the 2007 action-adventure role-playing shooter game BioShock?
"confirm(name[BioShock], release_year[2007], developer[2K Boston])","BioShock, which was released in 2007 by 2K Boston, right?"
"confirm(name[BioShock], player_perspective[first person], available_on_steam[yes])","Do you mean the first person perspective game, BioShock, that can be bought on Steam?"
"confirm(name[BioShock], esrb[M (for Mature)], platforms[PC])",Is that the M rated PC game BioShock?
"confirm(name[BioShock], platforms[PC], available_on_steam[yes])","Are you talking about BioShock, the PC game you can buy on Steam?"
"confirm(name[The Elder Scrolls Online], release_year[2014], platforms[PC])","The Elder Scrolls Online which was released on PC in 2014, correct?"
"confirm(name[The Elder Scrolls Online], genres[MMORPG], platforms[PC])",You mean the PC MMORPG game The Elder Scrolls Online?
"confirm(name[The Elder Scrolls Online], release_year[2014], developer[ZeniMax Online Studios])","The game The Elder Scrolls Online, which was released by ZeniMax Online Studios in 2014?"
"confirm(name[The Elder Scrolls Online], developer[ZeniMax Online Studios], platforms[PC])","Is it the PC game, The Elder Scrolls Online, which was developed by ZeniMax Online Studios?"
"confirm(name[The Elder Scrolls Online], genres[MMORPG], has_mac_release[yes])",Was it the MMORPG game The Elder Scrolls Online that was released on Mac?
"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], release_year[1999], genres[turn-based strategy])","Is that the Heroes of Might and Magic III: The Restoration of Erathia with turn-based strategy, released in 1999?"
"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], player_perspective[bird view], platforms[PC])","Do you mean Heroes of Might and Magic III: The Restoration of Erathia with a bird's eye view, for PC?"
"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], developer[Loki Software], has_multiplayer[yes])",Are you talking about Heroes of Might and Magic III: The Restoration of Erathia developed by Loki Software that has multiplayer?
"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], esrb[E (for Everyone)], has_mac_release[yes])",Do you mean Heroes of Might and Magic III: The Restoration of Erathia with an E rated content that has been released on Mac?
"confirm(name[Heroes of Might and Magic III: The Restoration of Erathia], available_on_steam[no], has_linux_release[yes])",Are you talking about the Heroes of Might and Magic III: The Restoration of Erathia that has been released on Linux though not available on Steam?
"confirm(name[Tony Hawk's Pro Skater 3], player_perspective[third person], platforms[PC])","Are you talking about Tony Hawk's Pro Skater 3, the PC game in third person?"
"confirm(name[Tony Hawk's Pro Skater 3], release_year[2001], genres[sport])","You mean Tony Hawk's Pro Skater 3, the 2001 sports game?"
"confirm(name[Tony Hawk's Pro Skater 3], release_year[2001], developer[Neversoft Entertainment])","You're talking about Tony Hawk's Pro Skater 3, the 2001 game developed by Neversoft Entertainment, right?"
"confirm(name[Tony Hawk's Pro Skater 3], player_perspective[third person], has_multiplayer[yes])","Are you talking about Tony Hawk's Pro Skater 3, the third person multiplayer game?"
"confirm(name[Tony Hawk's Pro Skater 3], platforms[PC], available_on_steam[no])","You mean Tony Hawk's Pro Skater 3, the PC game you can't get on Steam?"
"confirm(name[Layers of Fear], developer[Bloober Team], player_perspective[first person])",Do you mean the first person Layers of Fear game that was developed by the Bloober Team?
"confirm(name[Layers of Fear], esrb[M (for Mature)], platforms[PlayStation])",Are you talking about the M rated Layers of Fear for the PlayStation?
"confirm(name[Layers of Fear], genres[adventure, indie, point-and-click], player_perspective[first person])","Are you referring to Layers of Fear, the first person indie point-and-click adventure game?"
"confirm(name[Layers of Fear], release_year[2015], developer[Bloober Team])",Do you mean the Layers of Fear game that the Bloober Team released back in 2015?
"confirm(name[Layers of Fear], player_perspective[first person], platforms[PlayStation])",Are you speaking of the first person Layers of Fear game that was released for the PlayStation?
"confirm(name[Superhot], release_year[2016], has_multiplayer[no])","Are you talking about Superhot, the single-player game that came out in 2016?"
"confirm(name[Superhot], release_year[2016], platforms[PlayStation])","Would that be Superhot, the 2016 game released on PlayStation?"
"confirm(name[Superhot], player_perspective[first person], has_multiplayer[no])","Is the game you are talking about Superhot, the single-player game played from the first person perspective?"
"confirm(name[Superhot], developer[SUPERHOT Team], genres[indie, shooter, tactical])","Superhot, the indie tactical shooter released by SUPERHOT Team?"
"confirm(name[Superhot], release_year[2016], developer[SUPERHOT Team])","Do you mean Superhot, released in 2016 by SUPERHOT Team?"
"confirm(name[Mafia], release_year[2002], developer[Illusion Softworks])","Is that Mafia, the title from Illusion Softworks released in 2002?"
"confirm(name[Mafia], has_linux_release[no], has_mac_release[no])","Would that be Mafia, the game that has neither a Mac nor Linux release?"
"confirm(name[Mafia], esrb[M (for Mature)], has_multiplayer[no])","Would that be the game known as Mafia, which is rated M and doesn't have any multiplayer?"
"confirm(name[Mafia], genres[driving/racing, fighting, shooter], player_perspective[third person])","Are you talking about Mafia, the mixed driving, fighting and shooter game that is played from the third person perspective?"
"confirm(name[Mafia], platforms[PC], available_on_steam[yes])","Would that be Mafia, the PC game available on Steam?"
"confirm(name[Little Big Adventure], release_year[1994], esrb[T (for Teen)])","Are you talking about the T rated game Little Big Adventure, released in 1994?"
"confirm(name[Little Big Adventure], release_year[1994], developer[Adeline Software International])","Is that Little Big Adventure, developed by Adeline Software International in 1994?"
"confirm(name[Little Big Adventure], genres[action-adventure], platforms[PlayStation])","That's Little Big Adventure, the PlayStation action-adventure game, right?"
"confirm(name[Little Big Adventure], genres[action-adventure], player_perspective[third person])","Are you talking about Little Big Adventure, the third person action-adventure game?"
"confirm(name[Little Big Adventure], developer[Adeline Software International], player_perspective[third person])","You mean Little Big Adventure, the third person game released by Adeline Software International?"
"confirm(name[Football Manager 2015], genres[simulation, sport, strategy], has_multiplayer[yes])",Is that the multiplayer sports simulation and strategy game called Football Manager 2015?
"confirm(name[Football Manager 2015], release_year[2014], genres[simulation, sport, strategy])","Are you talking about Football Manager 2015, the sports simulation game with strategy elements, released in 2014?"
"confirm(name[Football Manager 2015], developer[Sports Interactive], genres[simulation, sport, strategy])","Football Manager 2015 the sports simulation game mixed with strategy, developed by Sports Interactive?"
"confirm(name[Football Manager 2015], release_year[2014], developer[Sports Interactive])",Do you mean the 2014 Sports Interactive game called Football Manager 2015?
"confirm(name[Football Manager 2015], release_year[2014], has_multiplayer[yes])","Are you referring to the 2014 multiplayer game, Football Manager 2015?"
"confirm(name[Might & Magic: Heroes VI], release_year[2011], developer[Black Hole Entertainment])",Do you mean the Might & Magic: Heroes VI that was made by Black Hole Entertainment back in 2011?
"confirm(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment], available_on_steam[yes])",Were you referring to the Might & Magic: Heroes VI that is available on Steam and developed by Black Hole Entertainment?
