mr,ref
"suggest(name[BioShock], developer[2K Boston], available_on_steam[yes])","Just curious, do you think 2K Boston's games available on Steam are any good, for instance BioShock?"
"suggest(name[BioShock], developer[2K Boston], available_on_steam[yes])","I was wondering, have you played any of the 2K Boston developed games that are on Steam, such as BioShock?"
"suggest(name[BioShock], developer[2K Boston], available_on_steam[yes])","Do you like 2K Boston's games on Steam, like BioShock?"
"suggest(name[BioShock], esrb[M (for Mature)], genres[action-adventure, role-playing, shooter])",Do you enjoy M rated action adventure shooter RPGs like BioShock?
"suggest(name[BioShock], esrb[M (for Mature)], genres[action-adventure, role-playing, shooter])","So I've gotten curious now, do you enjoy playing M rated action-adventure shooters with role-playing elements, such as BioShock?"
"suggest(name[BioShock], esrb[M (for Mature)], genres[action-adventure, role-playing, shooter])","Are you also a fan of action-adventure role-playing shooter games rated M (for Mature), such as BioShock?"
"suggest(name[BioShock], esrb[M (for Mature)], platforms[PC])",Do you enjoy games like BioShock? It's a mature PC game.
"suggest(name[BioShock], esrb[M (for Mature)], platforms[PC])","If you don't mind me asking, do you play M rated games for the PC, such as BioShock?"
"suggest(name[BioShock], esrb[M (for Mature)], platforms[PC])","Do you enjoy PC games rated M (for Mature), such as BioShock?"
"suggest(name[BioShock], player_perspective[first person], platforms[PC])",Do you normally play first person PC games like BioShock?
"suggest(name[BioShock], player_perspective[first person], platforms[PC])","Do you enjoy playing PC games with a first person perspective, like for instance BioShock?"
"suggest(name[BioShock], player_perspective[first person], platforms[PC])","Do you enjoy first person PC games, such as BioShock?"
"suggest(name[BioShock], release_year[2007], genres[action-adventure, role-playing, shooter])","Did you ever play any of the action-adventure shooter RPGs that came out in 2007, like BioShock?"
"suggest(name[BioShock], release_year[2007], genres[action-adventure, role-playing, shooter])","Do you think highly of any action-adventure RPG shooters from 2007, perhaps BioShock?"
"suggest(name[BioShock], release_year[2007], genres[action-adventure, role-playing, shooter])","Are you a fan of games from 2007, specifically action-adventure RPG shooters like BioShock?"
"suggest(name[Bus Driver], developer[SCS Software], available_on_steam[yes])","If you don't mind me asking, have you ever played any of the SCS Software games available on Steam, such as Bus Driver?"
"suggest(name[Bus Driver], developer[SCS Software], available_on_steam[yes])",Do you like SCS Software's Steam games like Bus Driver?
"suggest(name[Bus Driver], developer[SCS Software], available_on_steam[yes])","You ever played one of SCS Software's games on Steam, like for example Bus Driver?"
