mr,ref,alignment
"name[Blue Spice], eatType[coffee shop], area[city centre]",A coffee shop in the city centre area called Blue Spice.,(2: eattype) (21: area) (45: name)
"name[Blue Spice], eatType[coffee shop], area[city centre]",Blue Spice is a coffee shop in city centre.,(0: name) (16: eattype) (31: area)
"name[Blue Spice], eatType[coffee shop], area[riverside]",There is a coffee shop Blue Spice in the riverside area.,(11: eattype) (23: name) (41: area)
"name[Blue Spice], eatType[coffee shop], area[riverside]","At the riverside, there is a coffee shop called The Blue Spice.",(7: area) (30: eattype) (53: name)
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",The coffee shop Blue Spice is based near Crowne Plaza Hotel and has a high customer rating of 5 out of 5.,(4: eattype) (16: name) (41: near) (94: customerrating)
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]","The Blue Spice coffee shop, near Crowne Plaza Hotel, has a customer rating of 5 out of 5.",(4: name) (15: eattype) (34: near) (80: customerrating)
"name[Blue Spice], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]",If you want a coffee shop rated 5 out of 5 pick Blue Spice. It is located near Crowne Plaza Hotel.,(14: eattype) (32: customerrating) (48: name) (80: near)
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Burger King is near the coffee shop Blue Spice which has an average customer rating.,(0: near) (24: eattype) (36: name) (60: customerrating)
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]","The Blue Spice coffee shop near Burger King has good customer ratings with excellent food and service, with a lovely atmosphere.",(4: name) (15: eattype) (32: near)
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Average customer rating coffee shop include Blue Spice near Burger King.,(0: customerrating) (24: eattype) (44: name) (60: near)
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",The Blue Spice coffee shop located near Burger King has been rated average by customers.,(4: name) (15: eattype) (40: near) (67: customerrating)
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Located near Burger King is a coffee shop named Blue Spice that has an average customer rating.,(13: near) (30: eattype) (48: name) (71: customerrating)
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Near Burger King is a coffee shop called Blue Spice which has an average customer rating.,(5: near) (22: eattype) (41: name) (65: customerrating)
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Near Burger King is the Blue Spice coffee shop.  It has average customer ratings.,(5: near) (24: name) (35: eattype) (56: customerrating)
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Crowne Plaza Hotel]",Crowne Plaza Hotel has a coffee shop nearby with an average customer rating called Blue Spice.,(0: near) (25: eattype) (52: customerrating) (83: name)
"name[Blue Spice], eatType[pub], area[city centre]",A pub in the city centre area called Blue Spice.,(2: eattype) (13: area) (37: name)
"name[Blue Spice], eatType[pub], area[city centre]",Blue Spice is a pub in city centre.,(0: name) (16: eattype) (23: area)
"name[Blue Spice], eatType[pub], area[riverside]",There is a pub Blue Spice in the riverside area.,(11: eattype) (15: name) (33: area)
"name[Blue Spice], eatType[pub], area[riverside]","At the riverside, there is a pub called The Blue Spice.",(7: area) (29: eattype) (45: name)
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]",The pub Blue Spice is based near Crowne Plaza Hotel and has a high customer rating of 5 out of 5.,(4: eattype) (8: name) (33: near) (86: customerrating)
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]","The Blue Spice pub, near Crowne Plaza Hotel, has a customer rating of 5 out of 5.",(4: name) (15: eattype) (26: near) (72: customerrating)
"name[Blue Spice], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]",If you want a pub rated 5 out of 5 pick Blue Spice. It is located near Crowne Plaza Hotel.,(14: eattype) (24: customerrating) (40: name) (72: near)
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",Burger King is near the pub Blue Spice which has an average customer rating.,(0: near) (24: eattype) (28: name) (52: customerrating)
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]","The Blue Spice pub near Burger King has good customer ratings with excellent food and service, with a lovely atmosphere.",(4: name) (15: eattype) (24: near)
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",Average customer rating pub include Blue Spice near Burger King.,(0: customerrating) (24: eattype) (36: name) (52: near)
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",The Blue Spice pub located near Burger King has been rated average by customers.,(4: name) (15: eattype) (32: near) (59: customerrating)
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",Located near Burger King is a pub named Blue Spice that has an average customer rating.,(13: near) (30: eattype) (40: name) (63: customerrating)
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",Near Burger King is a pub called Blue Spice which has an average customer rating.,(5: near) (22: eattype) (33: name) (57: customerrating)
"name[Blue Spice], eatType[pub], customer rating[average], near[Burger King]",Near Burger King is the Blue Spice pub.  It has average customer ratings.,(5: near) (24: name) (35: eattype) (48: customerrating)
"name[Blue Spice], eatType[pub], customer rating[average], near[Crowne Plaza Hotel]",Crowne Plaza Hotel has a pub nearby with an average customer rating called Blue Spice.,(0: near) (25: eattype) (44: customerrating) (75: name)
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]","Blue Spice, located near Rainbow Vegetarian Café in the city centre, is a pub that also sells Chinese food.  Children should not visit.",(0: name) (26: near) (57: area) (74: eattype) (96: food) (108: familyfriendly)
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",A pub named Blue Spice is located in the city centre. It is for adults and is close to Rainbow Vegetarian Café. They offer Chinese food.,(2: eattype) (12: name) (41: area) (64: familyfriendly) (88: near) (125: food)
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]","The Blue Spice is a pub that also serves Chinese food, it's located in the city center. The pub isn't very family friendly, but the proximity to the Rainbow Vegetarian Café makes up for it.",(4: name) (41: food) (82: area) (93: eattype) (109: familyfriendly) (154: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",Near Rainbow Vegetarian Café Blue Spice pub Chinese in city centre family friendly no.,(5: near) (29: name) (40: eattype) (44: food) (55: area)
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",There is a pub Blue Spice located in the centre of the city that provides Chinese food. It is not family friendly and is located near Rainbow Vegetarian Café.,(11: eattype) (15: name) (41: area) (74: food) (98: familyfriendly) (135: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]","located in the city center. right next to the Rainbow Vegetarian Café, the pub, Blue Spice, has wonderful Chinese food. The Blue Spice is perfect for date night, but i wouldn't recommend bringing your family there.",(20: area) (47: near) (75: eattype) (83: name) (110: food) (202: familyfriendly)
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is a pub located in the city centre. It has Chinese food and is not family friendly and is located near Rainbow Vegetarian Café.,(0: name) (16: eattype) (35: area) (56: food) (79: familyfriendly) (116: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a pub providing Chinese food It is located in the city centre. It is near Rainbow Vegetarian Café.,(0: name) (16: eattype) (30: food) (64: area) (89: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",In the city centre near the Rainbow Vegetarian Café there is a family friendly pub called Blue Spice. They serve Chinese food.,(7: area) (28: near) (63: familyfriendly) (79: eattype) (90: name) (114: food)
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a pub providing Chinese food It is located in the city centre. It is near Rainbow Vegetarian Café.,(0: name) (16: eattype) (30: food) (64: area) (89: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]","For Chinese, head to Blue Spice. It's a family friendly pub located in the City Centre near the Rainbow Vegetarian Café.",(4: food) (22: name) (41: familyfriendly) (57: eattype) (78: area) (99: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a fusion pub and Chinese. It's located in the City Centre near the Rainbow Vegetarian Café. Families are welcome.,(0: name) (23: eattype) (31: food) (62: area) (83: near) (107: familyfriendly)
"name[Blue Spice], eatType[pub], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a family friendly pub located in the city centre. It serves Chinese food and is near the Rainbow Vegetarian Café.,(0: name) (16: familyfriendly) (32: eattype) (51: area) (75: food) (104: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",There is a non-family friendly pub along the riverside and near Rainbow Vegetarian Café. Its name is Blue Spice and serves Chinese food.,(15: familyfriendly) (31: eattype) (45: area) (64: near) (102: name) (124: food)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]","Blue Spice, a pub located riverside near the Rainbow Vegetarian Café, serves Chines food. It is not family friendly.",(0: name) (5: food) (14: eattype) (27: area) (46: near) (100: familyfriendly)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]","The Blue Spice is a great pub along the riverside, and is located near Rainbow Vegetarian Café. It is not family friendly, but serves Chinese food.",(4: name) (26: eattype) (40: area) (72: near) (106: familyfriendly) (137: food)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is a pub that serves Chinese food near the riverside and the Rainbow Vegetarian Café. It is not family friendly.,(0: name) (16: eattype) (32: food) (54: area) (72: near) (107: familyfriendly)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice pub in riverside serves Chinese food. It is not family friendly and can be found near Rainbow Vegetarian Café.,(0: name) (11: eattype) (18: area) (35: food) (59: familyfriendly) (98: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is a pub providing Chinese food It is located in the riverside. It is near Rainbow Vegetarian Café.,(0: name) (16: eattype) (30: food) (64: area) (87: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a family friendly Chinese pub in Riverside near the Rainbow Vegetarian Café.,(0: name) (16: familyfriendly) (32: food) (40: eattype) (47: area) (66: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","Blue Spice, a kid-friendly pub near the Rainbow Vegetarian Café in the riverside area, is a place where one can order Chinese food.",(0: name) (14: familyfriendly) (27: eattype) (41: near) (72: area) (120: food)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a family friendly pub serving Chinese in riverside near the Rainbow Vegetarian Café.,(0: name) (16: familyfriendly) (32: eattype) (44: food) (55: area) (74: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a pub providing Chinese food It is located in the riverside. It is near Rainbow Vegetarian Café.,(0: name) (16: eattype) (30: food) (64: area) (87: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","Kid friendly, .Blue Spice Chinese pub is in riverside, near Rainbow Vegetarian Café.",(1: familyfriendly) (16: name) (27: food) (33: eattype) (45: area) (62: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a Chinese pub located in the riverside. It is family friendly is is near the Rainbow Vegetarian Café.,(0: name) (16: food) (24: eattype) (43: area) (60: familyfriendly) (92: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a kid friendly pub that serves Chinese food in riverside near Rainbow Vegetarian Café.,(0: name) (16: familyfriendly) (29: eattype) (45: food) (61: area) (76: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","Located in riverside near the Rainbow Vegetarian Café is Blue Spice pub, serving Chinese food in a family friendly environment.",(11: area) (30: near) (57: name) (68: eattype) (82: food) (99: familyfriendly)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","Blue Spice is a Chinese pub and pub  in Riverside, besides being children Friendly. It is around the Rainbow Vegetarian Café",(0: name) (16: food) (32: eattype) (39: area) (64: familyfriendly) (102: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","When in the riverside area, try the family friendly pub Blue Spice. Offering Chinese food, located near Rainbow Vegetarian Café.",(12: area) (36: familyfriendly) (52: eattype) (57: name) (79: food) (107: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Near the Rainbow Vegetarian Café in Riverside is a pub called Blue Spice. It is child friendly and serves Chinese food.,(9: near) (36: area) (51: eattype) (62: name) (80: familyfriendly) (107: food)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",In the riverside near the Rainbow Vegetarian Café is a family friendly Chinese pub named the Blue Spice.,(7: area) (26: near) (55: familyfriendly) (71: food) (79: eattype) (93: name)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",The pub Blue Spice not only has Chinese food but is also considered to have a kid friendly environment whether this is because of its location in the area known as riverside or its proximity near Rainbow Vegetarian Café its amazing.,(4: eattype) (8: name) (32: food) (78: familyfriendly) (164: area) (196: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]","Blue Spice Chinese pub in riverside, near Rainbow Vegetarian Café, is kid friendly.",(0: name) (11: food) (19: eattype) (26: area) (43: near) (70: familyfriendly)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a pub that is child friendly and serves Chinese food. It is located in riverside near the Rainbow Vegetarian Café.,(0: name) (16: eattype) (28: familyfriendly) (54: food) (86: area) (105: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",A kid friendly pub called Blue Spice is in riverside is near Rainbow Vegetarian Café serves Chinese food.,(2: familyfriendly) (15: eattype) (26: name) (43: area) (61: near) (92: food)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a pub and Chinese pub located in Riverside near to Rainbow Vegetarian Café,(0: name) (24: food) (32: eattype) (47: area) (65: near)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice pub offers Chinese food.  It is located near Rainbow Vegetarian Café near the riverside and it children friendly.,(0: name) (11: eattype) (22: food) (56: near) (89: area) (105: familyfriendly)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Near Rainbow Vegetarian Café near the riverside is a children friendly pub called the Blue Spice.  It has Chinese food.,(5: near) (38: area) (53: familyfriendly) (71: eattype) (86: name) (106: food)
"name[Blue Spice], eatType[pub], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]",Blue Spice is a family-oriented pub near the Rainbow Vegetarian Café in the riverside area. Chinese food is served at Blue Spice.,(0: name) (16: familyfriendly) (32: eattype) (45: near) (76: area) (93: food)
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is a pub that serves English food.  It is located near Rainbow Vegetarian Café is the city centre area.  It is also a pub.  It is not family-friendly.,(0: name) (32: food) (66: near) (97: area) (127: eattype) (142: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",The pub Blue Spice is not conducive for families.  They serve English food and located in the city centre  near the Rainbow Vegetarian Café.,(4: eattype) (8: name) (40: familyfriendly) (62: food) (94: area) (115: near)
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is a pub that serves English food.  It is located near Rainbow Vegetarian Café is the city centre area.  It is also a pub.  It is not family-friendly.,(0: name) (32: food) (66: near) (97: area) (127: eattype) (142: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is a pub located near Rainbow Vegetarian Café located in city centre. It sells English food and is not a family-friendly shop.,(0: name) (16: eattype) (33: near) (68: area) (91: food) (116: familyfriendly)
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",Near the Rainbow Vegetarian Café in the city centre is the family-unfriendly pub Blue Spice.  They serve English food.,(9: near) (40: area) (77: eattype) (81: name) (105: food)
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]",The Blue Spice sells English food and is not a family-friendly pub located in city centre near Rainbow Vegetarian Café.,(4: name) (21: food) (47: familyfriendly) (63: eattype) (78: area) (95: near)
"name[Blue Spice], eatType[pub], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]","Near the Rainbow Vegetarian Café in the city centre, you will find the family-friendly pub Blue Spice, serving an English food menu.",(9: near) (40: area) (71: familyfriendly) (87: eattype) (92: name) (116: food)
