HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Answer.feedback,Answer.utterance,Approve,Reject
366FYU4PTGAMBT8ZX0FSAWFY8I3KES,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Sun May 05 00:59:26 PDT 2019,,,39RP059MEIFMGYUCYNVKCLX7GXGMBI,A2ITJNPW1LDUN7,Submitted,Fri Apr 26 11:01:39 PDT 2019,Fri Apr 26 11:02:03 PDT 2019,Sat May 11 11:02:03 PDT 2019,,,,24,100% (334/334),100% (334/334),100% (277/277),<b>Worms: Reloaded</b>,,,,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,,,,Platform: <b>PC</b>,,,,,"One E10+ game on PC I really liked was Worms: Reloaded, have you heard of it?",,
366FYU4PTGAMBT8ZX0FSAWFY8I3KES,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Sun May 05 00:59:26 PDT 2019,,,3NVC2EB65RLH7KFD2X4POXM22YG3Y0,A1MW021IG07IMF,Submitted,Sat May 04 21:57:41 PDT 2019,Sat May 04 21:58:39 PDT 2019,Sun May 19 21:58:39 PDT 2019,,,,58,100% (404/404),100% (404/404),100% (246/246),<b>Worms: Reloaded</b>,,,,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,,,,Platform: <b>PC</b>,,,,,"If you're looking for an E 10+ rated game you can play on the PC, there's always Worms: Reloaded. Have you heard of it before?",,
372AGES0I4QH4XCBIPEHZXMJJG8RX1,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Fri Apr 26 00:59:21 PDT 2019,,,30IQTZXKALSWQNQ6EE043LHMVJGX0B,A1MW021IG07IMF,Submitted,Wed Apr 24 21:59:38 PDT 2019,Wed Apr 24 22:00:16 PDT 2019,Thu May 09 22:00:16 PDT 2019,,,,38,100% (404/404),100% (404/404),100% (246/246),<b>Worms: Reloaded</b>,,,,,,"Genres: <b>action, platformer, strategy</b>",Player perspective: <b>side view</b>,,,,,,,A good side view action strategy platformer I know of is Worms: Reloaded. Have you heard of it?,,
372AGES0I4QH4XCBIPEHZXMJJG8RX1,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Fri Apr 26 00:59:21 PDT 2019,,,3WYGZ5XF3X1Q7WBBOX4ZNXF3U8QKSE,A2ITJNPW1LDUN7,Submitted,Thu Apr 25 12:19:12 PDT 2019,Thu Apr 25 12:19:42 PDT 2019,Fri May 10 12:19:42 PDT 2019,,,,30,100% (334/334),100% (334/334),100% (277/277),<b>Worms: Reloaded</b>,,,,,,"Genres: <b>action, platformer, strategy</b>",Player perspective: <b>side view</b>,,,,,,,"On the topic of side view action/strategy/platofrmers, have you tried out Worms: Reloaded ?",,
3NCN4N1H1G2PCWHIKM5I1GQHZGVNB0,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Sun May 05 00:59:26 PDT 2019,,,3ND9UOO81LOUYJA2T2Q1ZMV3RY9LW7,A33G1EEP3ZVBPL,Submitted,Thu May 02 13:19:49 PDT 2019,Thu May 02 13:20:57 PDT 2019,Fri May 17 13:20:57 PDT 2019,,,,68,100% (15/15),100% (15/15),100% (15/15),<b>Worms: Reloaded</b>,,,,,,,,,,,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,"Speaking of strategy games suitable for Mac and Linux platform, have you heard of Worms: Reloaded?",,
3NCN4N1H1G2PCWHIKM5I1GQHZGVNB0,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Sun May 05 00:59:26 PDT 2019,,,3QHK8ZVMIN42AGCRYBU5C8IIHBSLBK,A1MW021IG07IMF,Submitted,Sat May 04 22:35:22 PDT 2019,Sat May 04 22:36:11 PDT 2019,Sun May 19 22:36:11 PDT 2019,,,,49,100% (404/404),100% (404/404),100% (246/246),<b>Worms: Reloaded</b>,,,,,,,,,,,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,"If you're looking for a game with both a Mac release and a Linux release, Worms: Reloaded is one. Have you heard of it before?",,
3U18MJKL1U78M19OYM1DC0WZH1VNC7,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Fri May 03 00:59:26 PDT 2019,,,3KGTPGBS6Y7B5TZPOWTV22BXY5QU2J,A2ITJNPW1LDUN7,Submitted,Thu Apr 25 12:28:10 PDT 2019,Thu Apr 25 12:28:25 PDT 2019,Fri May 10 12:28:25 PDT 2019,,,,15,100% (334/334),100% (334/334),100% (277/277),<b>Worms: Reloaded</b>,,,,,,,Player perspective: <b>side view</b>,Has multiplayer: <b>yes</b>,,,,,,"Are you a fan of multiplayer side view games? You should try out Worms: Reloaded, i think you'd be into it.",,
3U18MJKL1U78M19OYM1DC0WZH1VNC7,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Fri May 03 00:59:26 PDT 2019,,,3X3OR7WPZ0MJ8IEKVZAVL6SH9R9L8V,A33G1EEP3ZVBPL,Submitted,Thu May 02 13:41:56 PDT 2019,Thu May 02 13:44:19 PDT 2019,Fri May 17 13:44:19 PDT 2019,,,,143,100% (15/15),100% (15/15),100% (15/15),<b>Worms: Reloaded</b>,,,,,,,Player perspective: <b>side view</b>,Has multiplayer: <b>yes</b>,,,,,,A side-view multiplayer game that I enjoyed was Worms: Reloaded. Have you played it?,,
3DGDV62G7OUVR4TZH8PZ4CS85PJP2W,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Fri Apr 26 00:59:21 PDT 2019,,,3D3VGR7TA118AJ3RO2CVG1T5XKLR3M,A2ITJNPW1LDUN7,Submitted,Thu Apr 25 12:20:13 PDT 2019,Thu Apr 25 12:27:04 PDT 2019,Fri May 10 12:27:04 PDT 2019,,,,411,100% (334/334),100% (334/334),100% (277/277),<b>Worms: Reloaded</b>,,,Developer: <b>Team17 Digital Ltd</b>,,,"Genres: <b>action, platformer, strategy</b>",,,,,,,,"Oh you like action strategy platformers? there's this game from Team17 Digital LTD you may like, Worms: Reloaded",,
3DGDV62G7OUVR4TZH8PZ4CS85PJP2W,3BHRGUFAI9IPS59C0ANGVAZWPHXCSS,Write a conversational response about a video game based on its given attributes and context (type: recommend; attributes: 3),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 00:59:21 PDT 2019,2,BatchId:3617191;OriginalHitTemplateId:920937336;,3600,1296000,Fri Apr 26 00:59:21 PDT 2019,,,3X0H8UUIT2AH2W5SDBN2B89YH9VWS6,A1MW021IG07IMF,Submitted,Wed Apr 24 22:02:38 PDT 2019,Wed Apr 24 22:03:18 PDT 2019,Thu May 09 22:03:18 PDT 2019,,,,40,100% (404/404),100% (404/404),100% (246/246),<b>Worms: Reloaded</b>,,,Developer: <b>Team17 Digital Ltd</b>,,,"Genres: <b>action, platformer, strategy</b>",,,,,,,,"If you enjoy the action strategy platformers made by Team17 Digital Ltd, have you ever played Worms: Reloaded?",,
