HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Answer.feedback,Answer.selected_attr11,Answer.selected_attr12,Answer.selected_attr21,Answer.selected_attr22,Answer.selected_attr31,Answer.selected_attr32,Answer.selected_attr41,Answer.selected_attr42,Answer.selected_attr51,Answer.selected_attr52,Answer.utterance1,Answer.utterance2,Answer.utterance3,Answer.utterance4,Answer.utterance5,Approve,Reject
3MYASTQBG7W3UQSUEAO5009M7PZDQF,3L55M9M850E8WFAGH9WG9FONM7PO9O,Write 5 conversational responses about a video game based on its attributes and context (type: recommend; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.30 ,Tue Apr 09 12:40:21 PDT 2019,1,BatchId:3600816;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 11 12:40:21 PDT 2019,,,3I7DHKZYGOMEL8LMBQ0UE9D65T0F53,A2BX8ZUNDJUCAY,Submitted,Wed Apr 10 17:16:48 PDT 2019,Wed Apr 10 17:25:31 PDT 2019,Thu Apr 25 17:25:31 PDT 2019,,,,523,0% (0/0),0% (0/0),0% (0/0),<b>Metroid Prime Pinball</b>,Year: <b>2005</b>,,Developer: <b>Fuse Games</b>,ESRB content rating: <b>E (for Everyone)</b>,,Genres: <b>pinball; puzzle</b>,,Has multiplayer: <b>yes</b>,Platform: <b>Nintendo</b>,,,,,name,genres,name,developer,name,platforms,name,esrb,name,has_multiplayer,"Since you mentioned you like pinball and puzzle games, have you played Metroid Prime Pinball?",I heard you're a fan of Fuse Games - have you played Metroid Prime Pinball yet?,I know you have a Nintendo - have you played Metroid Prime Pinball?,You mentioned you liked games rated E; have you played Metroid Prime Pinball?,"Considering you like multiplayer games, have you played Metroid Prime Pinball?",,
3QTFNPMJC63LUUKYQ0LLNYXKQ1BZNC,32X1LLNITQKVDGUBARHQ7892I19D30,Write 5 conversational responses about a video game based on its attributes and context (type: recommend; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:26:44 PDT 2019,1,BatchId:3606385;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:26:44 PDT 2019,,,3MRNMEIQW6SVPDABC7LB7Y6IGM1DLS,A1ELPYAFO7MANS,Submitted,Sat Apr 13 19:34:31 PDT 2019,Sat Apr 13 20:12:10 PDT 2019,Sun Apr 28 20:12:10 PDT 2019,,,,2259,0% (0/0),0% (0/0),0% (0/0),<b>The Forest of Doom</b>,Year: <b>2014</b>,,Developer: <b>Tin Man Games</b>,,,Genres: <b>role-playing; text adventure</b>,,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,name,genres,name,platforms,name,has_mac_release,name,available_on_steam,name,developer,Hey have you heard of the role-playing text adventure game The Forest of Doom?,"Speaking of great PC games, have you heard of The Forest of Doom?",Ever heard of The Forest of Doom on Mac?,"I know you have Steam, have you ever tried The Forest of Doom?","I wonder if you've heard of The Forest of Doom, developed by Tin Man Games?",,
3SSN80MU8C9VHTZGS55KYL05O68KXV,32X1LLNITQKVDGUBARHQ7892I19D30,Write 5 conversational responses about a video game based on its attributes and context (type: recommend; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:26:44 PDT 2019,1,BatchId:3606385;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:26:44 PDT 2019,,,3JPSL1DZ5TLNF6AK4AAOUP210E4NA2,A1ELPYAFO7MANS,Submitted,Sat Apr 13 19:34:16 PDT 2019,Sat Apr 13 20:04:04 PDT 2019,Sun Apr 28 20:04:04 PDT 2019,,,,1788,0% (0/0),0% (0/0),0% (0/0),<b>The Witcher 3: Wild Hunt</b>,Year: <b>2015</b>,,Developer: <b>CD Projekt RED</b>,ESRB content rating: <b>M (for Mature)</b>,,Genres: <b>action-adventure; role-playing</b>,Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>Xbox</b>,,,,,name,esrb,name,platforms,name,player_perspective,name,developer,name,genres,"I know you like M rated games, have you tried The Witcher 3: Wild Hunt?",Have you ever heard of The Witcher 3: Wild Hunt on Xbox?,"Since you like third person perspective games, I wonder if you've heard of The Witcher 3: Wild Hunt?",Ever heard of The Witcher 3: Wild Hunt by CD Projekt RED?,"I know you live action-adventure and role-playing games, so I wonder if you've heard of The Witcher 3: Wild Hunt?",,
3PKVGQTFIH56422LNL0JIBTSL4WRY1,32X1LLNITQKVDGUBARHQ7892I19D30,Write 5 conversational responses about a video game based on its attributes and context (type: recommend; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:26:44 PDT 2019,1,BatchId:3606385;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:26:44 PDT 2019,,,3GGAI1SQEWK5Q3MICNRFN53PVRCCMQ,AXY0D2AMLKE2A,Submitted,Sat Apr 13 17:55:40 PDT 2019,Sat Apr 13 18:08:26 PDT 2019,Sun Apr 28 18:08:26 PDT 2019,,,,766,100% (7/7),0% (0/0),0% (0/0),<b>Transport Tycoon</b>,Year: <b>1994</b>,,Developer: <b>Chris Sawyer</b>,ESRB content rating: <b>E (for Everyone)</b>,,Genres: <b>simulation; strategy</b>,Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,"first hit, thanks for the opportunity",name,genres,name,developer,name,available_on_steam,name,release_year,name,has_multiplayer,"A good simulation/strategy is hard to find, but have you played Transport Tycoon?","One of my favorite developers is Chris Sawyer.  He developed Transport Tycoon, have you played it?","Since you like to play your games on Steam, have you ever tried Transport Tycoon?","One of my favorite games from 1994 is Transport Tycoon, have you played it?","Since you want a game with multiplayer, have you tried Transport Tycoon?",,
3P458N04Q1200DVQ3ZZGYPEB76MX2M,32X1LLNITQKVDGUBARHQ7892I19D30,Write 5 conversational responses about a video game based on its attributes and context (type: recommend; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:26:44 PDT 2019,1,BatchId:3606385;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:26:44 PDT 2019,,,37Q970SNZFUO1VPPGNYHIIJ4JJ6S1V,A1ELPYAFO7MANS,Submitted,Sat Apr 13 19:33:33 PDT 2019,Sat Apr 13 19:45:56 PDT 2019,Sun Apr 28 19:45:56 PDT 2019,,,,743,0% (0/0),0% (0/0),0% (0/0),<b>Madden NFL 15</b>,Year: <b>2014</b>,,Developer: <b>EA Tiburon</b>,,,Genres: <b>simulation; sport</b>,Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,name,genres,name,player_perspective,name,platforms,name,release_year,name,developer,Do you like simulation sport games like Madden NFL 15?,Are you into third person games like Madden NFL 15?,"I know you have a Playstation, have you tried Madden NFL 15?",I know you just got into gaming but have you tried the 2014 game  Madden NFL 15?,Ever tried out Madden NFL 15? It was developed by EA Tiburon.,,
32ZCLEW0BZ5VX0R7OTVR3TEP7IZPJD,32X1LLNITQKVDGUBARHQ7892I19D30,Write 5 conversational responses about a video game based on its attributes and context (type: recommend; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:26:45 PDT 2019,1,BatchId:3606385;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:26:45 PDT 2019,,,3O6CYIULEENXH9XW2GI2Q9RM0T0UWC,A1ELPYAFO7MANS,Submitted,Sat Apr 13 19:33:15 PDT 2019,Sat Apr 13 19:44:01 PDT 2019,Sun Apr 28 19:44:01 PDT 2019,,,,646,0% (0/0),0% (0/0),0% (0/0),<b>NBA 2K16</b>,Year: <b>2015</b>,,Developer: <b>Visual Concepts</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,Genres: <b>sport</b>,Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,name,has_multiplayer,name,player_perspective,name,developer,name,available_on_steam,name,release_year,Have you tried playing the multiplayer game NBA2K16? You can play with your friends.,I know you like third person perspective games - ever tried NBA2K16?,Ever tried NBA2K16 developed by Visual Concepts?,Have you ever tried NBA2K16? You can get it on Steam,"Ever heard of NBA2K16, released in 2015? You might like it.",,
3IKMEYR0LWGUGDWJ4GKR8V69BX82K3,32X1LLNITQKVDGUBARHQ7892I19D30,Write 5 conversational responses about a video game based on its attributes and context (type: recommend; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:26:45 PDT 2019,1,BatchId:3606385;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:26:45 PDT 2019,,,369J354OFEWGICHVRTGHO0RI3JSG6X,AGRKG3YT3KMD8,Submitted,Sat Apr 13 19:34:05 PDT 2019,Sat Apr 13 19:56:47 PDT 2019,Sun Apr 28 19:56:47 PDT 2019,,,,1362,0% (0/0),0% (0/0),0% (0/0),<b>Sid Meier's Civilization V</b>,Year: <b>2010</b>,,Developer: <b>Firaxis Games</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,Genres: <b>simulation; turn-based strategy</b>,Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,name,release_year,name,has_mac_release,name,developer,name,player_perspective,name,available_on_steam,"Since you seem to like turn-based strategy games made in 2010, have you heard about Civ V?","It's hard to find good games for Mac, but have you heard of Sid Meier's Civilization v?","You seem to be a fan of Firaxis Games titles, so have you played Sid Meier's Civilization V?","You seem to enjoy games with a bird's eye view, so have you heard of Sid Meier's Civilization V?","You're a fan of games that are on Steam, so have you played Sid Meier's Civilization V?",,
375VSR8FVWU69SCQJ722WI2URY0RZS,32X1LLNITQKVDGUBARHQ7892I19D30,Write 5 conversational responses about a video game based on its attributes and context (type: recommend; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:26:45 PDT 2019,1,BatchId:3606385;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:26:45 PDT 2019,,,3DZQRBDBSM1KBY343RC06BY1H3KS3N,A1ELPYAFO7MANS,Submitted,Sat Apr 13 19:33:47 PDT 2019,Sat Apr 13 19:49:15 PDT 2019,Sun Apr 28 19:49:15 PDT 2019,,,,928,0% (0/0),0% (0/0),0% (0/0),<b>Never Alone</b>,Year: <b>2014</b>,,Developer: <b>Upper One Games</b>,ESRB content rating: <b>T (for Teen)</b>,,Genres: <b>adventure; indie; platformer</b>,Player perspective: <b>side view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,name,platforms,name,player_perspective,name,esrb,name,genres,name,has_multiplayer,"I wonder, since you have a Playstation, have you played Never Alone?","I know you're into side view games, have you tried Never Alone?","There's a cool game that's even rated T (for Teen) called Never Alone, have you heard of it?","I know you like indie adventure games, have you played Never Alone? It's also a platformer.","Since you like multiplayer games, have you tried Never Alone?",,
3D1TUISJWILCUUFXNX9L1YMO2K2UI2,32X1LLNITQKVDGUBARHQ7892I19D30,Write 5 conversational responses about a video game based on its attributes and context (type: recommend; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:26:45 PDT 2019,1,BatchId:3606385;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:26:45 PDT 2019,,,3I02618YA1S7X00VQU47YFJQ7WXPUC,A1ELPYAFO7MANS,Submitted,Sat Apr 13 19:34:01 PDT 2019,Sat Apr 13 19:52:11 PDT 2019,Sun Apr 28 19:52:11 PDT 2019,,,,1090,0% (0/0),0% (0/0),0% (0/0),<b>Need for Speed: The Run</b>,Year: <b>2011</b>,,Developer: <b>Firebrand Games</b>,ESRB content rating: <b>T (for Teen)</b>,,Genres: <b>driving/racing</b>,Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>Xbox</b>,,,,,name,platforms,name,has_multiplayer,name,player_perspective,name,esrb,name,release_year,"Man, you have an Xbox. Surely you've heard of Need for Speed: The Run?",I know you like killing all your friends in multiplayer games. Have you tried Need for Speed: The Run?,"Since first person games are your favorite, have you tried Need for Speed: The Run?",Have you played Need for Speed: The Run? I think your mom would be OK with it since it's rated T (for Teen).,"Ever heard of Need for Speed: The Run? It's a little old (2011), but you'd love it.",,
3VLL1PIENQ93CFKARFLY2NXPGBGZOR,32X1LLNITQKVDGUBARHQ7892I19D30,Write 5 conversational responses about a video game based on its attributes and context (type: recommend; attributes: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 17:26:45 PDT 2019,1,BatchId:3606385;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 17:26:45 PDT 2019,,,336YQZE83W0KRID3XD479ZXF3CYM54,A2EED3HLTA96CP,Submitted,Sun Apr 14 07:47:19 PDT 2019,Sun Apr 14 07:52:44 PDT 2019,Mon Apr 29 07:52:44 PDT 2019,,,,325,0% (0/0),0% (0/0),0% (0/0),<b>The Wolf Among Us</b>,Year: <b>2013</b>,,Developer: <b>Telltale Games</b>,ESRB content rating: <b>M (for Mature)</b>,,Genres: <b>adventure; point-and-click</b>,Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,,name,platforms,name,available_on_steam,name,developer,name,esrb,name,player_perspective,I know that you play games on the PC. Have you heard of a great PC game called The Wolf Among Us?,I know that you're a true blue Steam gamer.  Do you know the  Steam game The Wolf Among Us?,I hear that you like games developed by Telltale Games. and was wondering if you have heard of The Wolf Among Us.,I understand that you like games for Mature Audiences. Have you played The Wolf Among Us?,I hear you like third-person perspective games. Have you tried The Wolf Among Us?,,
