mr,ref
"recommend(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], esrb[T (for Teen)])","Since you seem to be a fan of teen-rated games by Ensemble Studios, I thought you might like Age of Empires II: The Age of Kings. Have you heard about the game?"
"recommend(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], esrb[T (for Teen)])","Speaking of T (for Teen) games from Ensemble Studios, have you heard of Age of Empires II: The Age of Kings?"
"recommend(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], esrb[T (for Teen)])","If we're talking about T rated games made by Ensemble Studios, Age of Empires II: The Age of Kings is one of the best. Have you played it before?"
"recommend(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], genres[real-time strategy])",A classic real-time strategy game made by Ensemble Studios is Age of Empires II: The Age of Kings. Have you played it before?
"recommend(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], genres[real-time strategy])","Speaking of good real-time strategy games, have you tried Age of Empires II: The Age of Kings by Ensemble Studios?"
"recommend(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], genres[real-time strategy])","Speaking of real-time strategy from Ensemble Studios, have you heard of Age of Empires II: The Age of Kings?"
"recommend(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], has_multiplayer[yes])",A multiplayer strategy game made by Ensemble Studios that I enjoyed was Age of Empires II: The Age of Kings. Have you played it?
"recommend(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], has_multiplayer[yes])","Speaking of multiplayer games from Ensemble Studios, have you heard of Age of Empires II: The Age of Kings?"
"recommend(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], has_multiplayer[yes])",A fun multiplayer game made by Ensemble Studios was Age of Empires II: The Age of Kings. Did you ever play it?
"recommend(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], platforms[PlayStation])","Since you seem to be a fan of PlayStation games by Ensemble Studios, I thought you might also like Age of Empires II: The Age of Kings. Have you checked that one out?"
"recommend(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], platforms[PlayStation])","Hey have you played Age of Empires II: The Age of Kings? It's this PlayStation game from Ensemble Studios, I think you'd like it."
"recommend(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], platforms[PlayStation])","Speaking of PlayStation games from Ensemble Studios, have you heard of Age of Empires II: The Age of Kings?"
"recommend(name[Age of Empires II: The Age of Kings], release_year[1999], developer[Ensemble Studios])",A classic game that Ensemble Studios released back in 1999 was Age of Empires II: The Age of Kings. Have you ever played it?
"recommend(name[Age of Empires II: The Age of Kings], release_year[1999], developer[Ensemble Studios])","Speaking of 1999 releases from Ensemble Studios, have you heard of Age of Empires II: The Age of Kings?"
"recommend(name[Age of Empires II: The Age of Kings], release_year[1999], developer[Ensemble Studios])","Speaking of games from 1999, have you ever heard of the Ensemble Studios game Age of Empires II: The Age of Kings?"
"recommend(name[Assetto Corsa], developer[Kunos Simulazioni], esrb[E (for Everyone)])","And as long as we're talking about E rated games made by Kunos Simulazioni, have you heard of Assetto Corsa?"
"recommend(name[Assetto Corsa], developer[Kunos Simulazioni], esrb[E (for Everyone)])","Oh, have you heard of Assetto Corsa? It's this E rated game from Kunos Simulazioni."
"recommend(name[Assetto Corsa], developer[Kunos Simulazioni], esrb[E (for Everyone)])",A game developed by Kunos Simulazioni rated E (for Everyone) that I enjoyed was Assetto Corsa. Have you played it?
"recommend(name[Assetto Corsa], developer[Kunos Simulazioni], player_perspective[first person])","Since you like first person games, I wondering if you've ever tried Assetto Corsa by Kunos Simulazioni?"
"recommend(name[Assetto Corsa], developer[Kunos Simulazioni], player_perspective[first person])",A first person perspective game developed by Kunos Simulazioni that I enjoyed was Assetto Corsa. Have you played it?
"recommend(name[Assetto Corsa], developer[Kunos Simulazioni], player_perspective[first person])","While we're on the subject of first person games made by Kunos Simulazioni, have you ever played Assetto Corsa?"
"recommend(name[Assetto Corsa], genres[driving/racing, simulation, sport], player_perspective[first person])",A driving/racing sport sim that you can play in first person is Assetto Corsa. You played it?
"recommend(name[Assetto Corsa], genres[driving/racing, simulation, sport], player_perspective[first person])",A first person sport racing sim that I enjoyed was Assetto Corsa. Have you played it?
"recommend(name[Assetto Corsa], genres[driving/racing, simulation, sport], player_perspective[first person])","While we're on the subject of first person driving/racing sport simulators, have you ever heard of Assetto Corsa?"
"recommend(name[Assetto Corsa], has_multiplayer[yes], platforms[PC])",A multiplayer game that I enjoyed on the PC was Assetto Corsa. Have you played it?
"recommend(name[Assetto Corsa], has_multiplayer[yes], platforms[PC])","One multiplayer PC game I'm fond of is Assetto Corsa, have you tried it out?"
"recommend(name[Assetto Corsa], has_multiplayer[yes], platforms[PC])","Speaking of PC games with multiplayer, have you heard of Assetto Corsa?"
"recommend(name[Assetto Corsa], player_perspective[first person], available_on_steam[yes])",Assetto Corsa is a first person title on Steam. Are you familiar with it?
"recommend(name[Assetto Corsa], player_perspective[first person], available_on_steam[yes])",A first person perspective game that I enjoyed on Steam was Assetto Corsa. Have you played it?
"recommend(name[Assetto Corsa], player_perspective[first person], available_on_steam[yes])",A first person game I recently got on Steam is Assetto Corsa. Have you heard of it?
"recommend(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], available_on_steam[yes])","Speaking of games made by Sledgehammer Games playable on Steam, have you heard of Call of Duty: Advanced Warfare?"
"recommend(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], available_on_steam[yes])","Speaking of games developed by Sledgehammer Games available on Steam, have you tried Call of Duty: Advanced Warfare?"
"recommend(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], available_on_steam[yes])",If you like the work of Sledgehammer Games then Call of Duty: Advanced Warfare is out on Steam. Are you familiar with it?
"recommend(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], esrb[M (for Mature)])",An M rated game from Sledgehammer Games that I thought was decent is Call of Duty: Advanced Warfare. Are you familiar with it?
"recommend(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], esrb[M (for Mature)])","Speaking of M rated games developed by Sledgehammer Games, have you tried Call of Duty: Advanced Warfare?"
"recommend(name[Call of Duty: Advanced Warfare], developer[Sledgehammer Games], esrb[M (for Mature)])","Do you know about Call of Duty: Advanced Warfare? It's basically an M rated game from Sledgehammer Games that also has Kevin Spacey in it, but like, before we knew about all the stuff he did."
